7/7/2014,624.09,17813600
7/8/2014,624.82,10005500
7/9/2014,624.51,9819150
7/10/2014,616.76,15880700
7/11/2014,632,16467100
7/12/2014,633.71,13329000
7/13/2014,626.5,11291000
7/14/2014,619.32,12706800
7/15/2014,621.59,10873200
7/16/2014,616.8,13182400
7/17/2014,623.09,16576700
7/18/2014,628.78,14158100
7/19/2014,628.52,7222030
7/20/2014,623.9,5760120
7/21/2014,622.21,10711900
7/22/2014,621.55,9602880
7/23/2014,619.41,11056600
7/24/2014,601.73,20917200
7/25/2014,601.09,12279500
7/26/2014,595.81,10752900
7/27/2014,593.85,7774230
7/28/2014,585.69,19316400
7/29/2014,584.72,11275400
7/30/2014,567.29,14898800
7/31/2014,586.23,22467900
8/1/2014,594.92,18215900
8/2/2014,589.33,8359080
8/3/2014,586.67,9917990
8/4/2014,588.78,9867570
8/5/2014,585.44,10790800
8/6/2014,584.65,14497900
8/7/2014,588.87,11131400
8/8/2014,592.58,11072000
8/9/2014,589.37,7922070
8/10/2014,591.06,7555310
8/11/2014,576.37,14764200
8/12/2014,569.64,13978200
8/13/2014,546.66,25777500
8/14/2014,505.97,35803900
8/15/2014,497.01,25598300
8/16/2014,519.71,22832500
8/17/2014,491.8,24300900
8/18/2014,461.46,50783800
8/19/2014,485.24,38422400
8/20/2014,511.98,46527600
8/21/2014,517.24,49444200
8/22/2014,514.04,36563900
8/23/2014,498.08,25171900
8/24/2014,508.29,19441700
8/25/2014,502.5,18356700
8/26/2014,511.57,23235100
8/27/2014,511.15,22648500
8/28/2014,507.82,19862000
8/29/2014,508.52,17624800
8/30/2014,504.25,9424070
8/31/2014,477.76,44632300
9/1/2014,474.88,20432000
9/2/2014,477.43,23337900
9/3/2014,477.59,13342200
9/4/2014,489.66,26081400
9/5/2014,483.34,15302500
9/6/2014,484.83,10601400
9/7/2014,482.28,8994050
9/8/2014,474.6,30238000
9/9/2014,475.26,21447800
9/10/2014,479.36,22787800
9/11/2014,479.75,16852900
9/12/2014,477.75,15437200
9/13/2014,479,15588000
9/14/2014,477.89,13105500
9/15/2014,475.37,15345200
9/16/2014,466.06,16797300
9/17/2014,457.33,21056800
9/18/2014,424.44,34483200
9/19/2014,394.8,37919700
9/20/2014,408.9,36863600
9/21/2014,398.82,26580100
9/22/2014,402.15,24127600
9/23/2014,435.79,45099500
9/24/2014,423.2,30627700
9/25/2014,411.57,26814400
9/26/2014,404.42,21460800
9/27/2014,399.52,15029300
9/28/2014,377.18,23613300
9/29/2014,375.47,32497700
9/30/2014,386.94,34707300
10/1/2014,383.61,26229400
10/2/2014,375.07,21777700
10/3/2014,359.51,30901200
10/4/2014,328.87,47236500
10/5/2014,320.51,83308096
10/6/2014,330.08,79011800
10/7/2014,336.19,49199900
10/8/2014,352.94,54736300
10/9/2014,365.03,83641104
10/10/2014,361.56,43665700
10/11/2014,362.3,13345200
10/12/2014,378.55,17552800
10/13/2014,390.41,35221400
10/14/2014,400.87,38491500
10/15/2014,394.77,25267100
10/16/2014,382.56,26990000
10/17/2014,383.76,13600700
10/18/2014,391.44,11416800
10/19/2014,389.55,5914570
10/20/2014,382.85,16419000
10/21/2014,386.48,14188900
10/22/2014,383.16,11641300
10/23/2014,358.42,26456900
10/24/2014,358.35,15585700
10/25/2014,347.27,18127500
10/26/2014,354.7,11272500
10/27/2014,352.99,13033000
10/28/2014,357.62,7845880
10/29/2014,335.59,18192700
10/30/2014,345.3,30177900
10/31/2014,338.32,12545400
11/1/2014,325.75,16677200
11/2/2014,325.89,8603620
11/3/2014,327.55,12948500
11/4/2014,330.49,15655500
11/5/2014,339.49,19817200
11/6/2014,349.29,18797000
11/7/2014,342.42,16834200
11/8/2014,345.49,8535470
11/9/2014,363.26,24205600
11/10/2014,366.92,30450100
11/11/2014,367.7,15838900
11/12/2014,423.56,45783200
11/13/2014,420.73,58945000
11/14/2014,397.82,29589200
11/15/2014,376.13,15727500
11/16/2014,387.88,11905600
11/17/2014,387.41,41518800
11/18/2014,375.2,32222500
11/19/2014,380.55,18931800
11/20/2014,357.84,25233200
11/21/2014,350.85,29850100
11/22/2014,352.92,15273000
11/23/2014,367.57,15151600
11/24/2014,376.9,30930100
11/25/2014,375.35,25442200
11/26/2014,368.37,18601700
11/27/2014,369.67,8748030
11/28/2014,376.45,22946500
11/29/2014,375.49,15375600
11/30/2014,378.05,9194440
12/1/2014,379.24,11763000
12/2/2014,381.32,12364100
12/3/2014,375.01,13340100
12/4/2014,369.6,14529600
12/5/2014,376.85,15181800
12/6/2014,374.79,7009320
12/7/2014,375.1,6491650
12/8/2014,361.91,18898700
12/9/2014,352.22,32915500
12/10/2014,346.36,16427700
12/11/2014,350.51,32431300
12/12/2014,352.54,16989800
12/13/2014,347.38,11675900
12/14/2014,351.63,12415200
12/15/2014,345.35,17264200
12/16/2014,327.06,30864900
12/17/2014,319.78,37567900
12/18/2014,311.4,39173000
12/19/2014,317.84,23823100
12/20/2014,329.96,20856700
12/21/2014,320.84,15207600
12/22/2014,331.89,22315100
12/23/2014,334.57,16574200
12/24/2014,322.53,15092300
12/25/2014,319.01,9883640
12/26/2014,327.92,16410500
12/27/2014,315.86,15185200
12/28/2014,317.24,11676600
12/29/2014,312.67,12302500
12/30/2014,310.74,12528300
12/31/2014,320.19,13942900
1/1/2015,314.25,8036550
1/2/2015,315.03,7860650
1/3/2015,281.08,33054400
1/4/2015,264.2,55629100
1/5/2015,274.47,43962800
1/6/2015,286.19,23245700
1/7/2015,294.34,24866800
1/8/2015,283.35,19982500
1/9/2015,290.41,18718600
1/10/2015,274.8,15264300
1/11/2015,265.66,18200800
1/12/2015,267.8,18880300
1/13/2015,225.86,72843904
1/14/2015,178.1,97638704
1/15/2015,209.84,81773504
1/16/2015,208.1,38421000
1/17/2015,199.26,23469700
1/18/2015,210.34,30085100
1/19/2015,214.86,18658300
1/20/2015,211.32,24051100
1/21/2015,226.9,29924600
1/22/2015,233.41,33544600
1/23/2015,232.88,24621700
1/24/2015,247.85,24782500
1/25/2015,253.72,33582700
1/26/2015,273.47,106794000
1/27/2015,263.48,44399000
1/28/2015,233.91,44352200
1/29/2015,233.51,32213400
1/30/2015,226.43,26605200
1/31/2015,217.46,23348200
2/1/2015,226.97,29128500
2/2/2015,238.23,30612100
2/3/2015,227.27,40783700
2/4/2015,226.85,26594300
2/5/2015,217.11,22516400
2/6/2015,222.27,24435300
2/7/2015,227.75,21604200
2/8/2015,223.41,17145200
2/9/2015,220.11,27791300
2/10/2015,219.84,21115100
2/11/2015,219.18,17201900
2/12/2015,221.76,15206200
2/13/2015,235.43,42744400
2/14/2015,257.32,49732500
2/15/2015,234.82,56552400
2/16/2015,233.84,28153700
2/17/2015,243.61,27363100
2/18/2015,236.33,25200800
2/19/2015,240.28,18270500
2/20/2015,243.78,23876700
2/21/2015,244.53,12284200
2/22/2015,235.98,19527000
2/23/2015,238.89,16400000
2/24/2015,238.74,14200400
2/25/2015,237.47,11496200
2/26/2015,236.43,13619400
2/27/2015,253.83,44013900
2/28/2015,254.26,13949300
3/1/2015,260.2,25213700
3/2/2015,275.67,40465700
3/3/2015,281.7,50461300
3/4/2015,273.09,41383000
3/5/2015,276.18,41302400
3/6/2015,272.72,28918900
3/7/2015,276.26,17825900
3/8/2015,274.35,22067900
3/9/2015,289.61,59178200
3/10/2015,291.76,67770800
3/11/2015,296.38,33963900
3/12/2015,294.35,32585200
3/13/2015,285.34,31421500
3/14/2015,281.89,22612300
3/15/2015,286.39,11970100
3/16/2015,290.59,21516100
3/17/2015,285.51,21497200
3/18/2015,256.3,57008000
3/19/2015,260.93,52732000
3/20/2015,261.75,18456700
3/21/2015,260.02,17130100
3/22/2015,267.96,18438100
3/23/2015,266.74,22811900
3/24/2015,245.6,40073700
3/25/2015,246.2,35866900
3/26/2015,248.53,25730000
3/27/2015,247.03,17274900
3/28/2015,252.8,16040900
3/29/2015,242.71,21699400
3/30/2015,247.53,23009600
3/31/2015,244.22,22672000
4/1/2015,247.27,22877200
4/2/2015,253.01,26272600
4/3/2015,254.32,23146600
4/4/2015,253.7,12493500
4/5/2015,260.6,19649200
4/6/2015,255.49,20034200
4/7/2015,253.18,18467400
4/8/2015,245.02,30086400
4/9/2015,243.68,21643500
4/10/2015,236.07,28882000
4/11/2015,236.55,16365200
4/12/2015,236.15,12387900
4/13/2015,224.59,31181800
4/14/2015,219.16,31719000
4/15/2015,223.83,22562000
4/16/2015,228.57,24805400
4/17/2015,222.88,20429800
4/18/2015,223.36,12939000
4/19/2015,222.6,15021500
4/20/2015,224.63,18364700
4/21/2015,235.27,24978000
4/22/2015,234.18,23847900
4/23/2015,236.46,17036000
4/24/2015,231.27,21448700
4/25/2015,226.39,13957200
4/26/2015,219.43,28943700
4/27/2015,229.29,38574000
4/28/2015,225.85,21469200
