,y_test_original,y_test_model
0,5392.31,5758.804
1,5014.48,5584.37
2,5225.63,5413.8823
3,5238.44,5377.591
4,6191.19,5399.5176
5,6198.78,5777.5645
6,6185.07,6120.5
7,5830.25,6308.396
8,6416.31,6259.1597
9,6734.8,6383.3423
10,6681.06,6633.154
11,6716.44,6797.7275
12,6469.8,6888.9478
13,6242.19,6836.067
14,5922.04,6682.6143
15,6429.84,6441.9834
16,6438.64,6457.81
17,6606.78,6540.6587
18,6793.62,6668.8364
19,6733.39,6831.163
20,6867.53,6918.9727
21,6791.13,7004.0977
22,7271.78,7029.166
23,7176.41,7208.9937
24,7334.1,7327.1
25,7302.09,7441.239
26,6865.49,7500.32
27,6859.08,7357.4775
28,6971.09,7214.495
29,6845.04,7171.18
30,6842.43,7122.2456
31,6642.11,7086.49
32,7116.8,6993.986
33,7096.18,7099.0366
34,7257.66,7211.504
35,7189.42,7339.896
36,6881.96,7398.0728
37,6880.32,7299.795
38,7117.21,7198.657
39,7429.72,7226.7925
40,7550.9,7395.884
41,7569.94,7580.9185
42,7679.87,7705.8833
43,7795.6,7809.3203
44,7807.06,7913.723
45,8801.04,7982.667
46,8658.55,8395.449
47,8864.77,8685.489
48,8988.6,8904.024
49,8897.47,9071.239
50,8912.65,9125.572
51,9003.07,9135.968
52,9268.76,9167.716
53,9951.52,9295.644
54,9842.67,9663.224
55,9593.9,9903.49
56,8756.43,9913.307
57,8601.8,9537.399
58,8804.48,9159.563
59,9269.99,9013.752
60,9733.72,9161.788
61,9328.2,9502.249
62,9377.01,9594.61
63,9670.74,9607.236
64,9726.57,9715.609
65,9729.04,9827.165
66,9522.98,9891.995
67,9081.76,9838.52
68,9182.58,9605.057
69,9209.29,9462.006
70,8790.37,9411.298
71,8906.93,9236.159
72,8835.05,9143.55
73,9181.02,9083.439
74,9525.75,9187.998
75,9439.12,9427.477
76,9700.41,9569.884
77,9461.06,9731.861
78,10167.27,9743.829
79,9529.8,9990.648
80,9656.72,9947.965
81,9800.64,9896.301
82,9665.53,9924.858
83,9653.68,9908.214
84,9758.85,9880.832
85,9771.49,9903.578
86,9795.7,9935.255
87,9870.09,9964.388
88,9321.78,10012.31
89,9480.84,9828.024
90,9475.28,9723.323
91,9386.79,9681.784
92,9450.7,9634.825
93,9538.02,9629.285
94,9480.26,9671.228
95,9411.84,9685.169
96,9288.02,9659.4
97,9332.34,9586.507
98,9303.63,9547.709
99,9648.72,9522.884
100,9629.66,9645.471
101,9313.61,9748.515
102,9264.81,9679.477
103,9162.92,9577.389
104,9045.39,9470.672
105,9143.58,9358.764
106,9190.85,9327.469
107,9137.99,9347.232
108,9228.33,9349.87
109,9123.41,9382.843
110,9087.3,9369.977
111,9132.49,9335.6455
112,9073.94,9328.281
113,9375.47,9307.737
114,9252.28,9408.868
115,9428.33,9453.116
116,9277.97,9532.317
117,9278.81,9531.55
118,9240.35,9510.986
119,9276.5,9479.749
120,9243.61,9472.259
121,9243.21,9460.771
122,9192.84,9451.921
123,9132.23,9428.352
124,9151.39,9386.238
125,9159.04,9364.408
126,9185.82,9359.078
127,9164.23,9370.136
128,9374.89,9372.22
129,9525.36,9453.503
130,9581.07,9581.652
131,9536.89,9691.326
132,9677.11,9734.979
133,9905.17,9800.46
134,10990.87,9936.167
135,10912.82,10463.341
136,11100.47,10844.619
137,11111.21,11104.058
138,11323.47,11237.206
139,11759.59,11372.359
140,11053.61,11628.903
141,11246.35,11522.249
142,11205.89,11448.804
143,11747.02,11402.659
144,11779.77,11599.497
145,11601.47,11784.35
146,11754.05,11814.595
147,11675.74,11858.905
148,11878.11,11859.377
149,11410.53,11931.066
150,11584.93,11798.663
151,11784.14,11743.446
152,11768.87,11812.47
153,11865.7,11874.977
154,11892.8,11947.281
155,12254.4,12003.34
156,11991.23,12179.794
157,11758.28,12203.911
158,11878.37,12086.345
159,11592.49,12035.123
160,11681.83,11906.395
161,11664.85,11847.582
162,11774.6,11823.433
163,11366.14,11860.793
164,11488.36,11731.495
165,11323.4,11666.534
166,11542.5,11578.997
167,11506.87,11609.03
168,11711.51,11640.908
169,11680.82,11740.484
170,11970.48,11803.585
171,11414.03,11948.596
172,10245.3,11828.351
173,10511.81,11222.308
174,10169.57,10864.843
175,10280.35,10580.184
176,10369.56,10466.719
177,10131.52,10475.002
178,10242.35,10413.794
179,10363.14,10404.123
180,10400.91,10462.241
181,10442.17,10526.744
182,10323.76,10580.645
183,10680.84,10564.906
184,10796.95,10680.083
185,10974.9,10828.408
186,10948.99,10993.288
187,10944.59,11084.094
188,11094.35,11118.634
189,10938.27,11186.898
190,10462.26,11172.996
191,10538.46,10953.313
192,10246.19,10805.574
193,10760.07,10621.887
194,10692.72,10706.392
195,10750.72,10795.543
196,10775.27,10868.452
197,10709.65,10919.134
198,10844.64,10918.891
199,10784.49,10960.546
200,10619.45,10971.053
201,10575.98,10903.2295
202,10549.33,10826.662
203,10669.58,10770.764
204,10793.34,10789.635
205,10604.41,10867.986
206,10668.97,10852.321
207,10915.69,10845.6
208,11064.46,10944.628
209,11296.36,11087.777
210,11384.18,11274.211
211,11555.36,11429.929
212,11425.9,11582.996
213,11429.51,11621.098
214,11495.35,11617.585
215,11322.12,11633.081
216,11358.1,11576.613
217,11483.36,11540.408
218,11742.04,11575.334
219,11916.34,11716.781
220,12823.69,11894.577
221,12965.89,12375.284
222,12931.54,12785.616
223,13108.06,12989.168
224,13031.17,13134.073
225,13075.25,13174.407
226,13654.22,13191.076
227,13271.29,13434.441
228,13437.88,13466.25
229,13546.52,13502.105
230,13780.99,13573.449
231,13737.11,13718.207
232,13550.49,13798.081
233,13950.3,13750.749
234,14133.71,13862.378
235,15579.85,14039.191
236,15565.88,14758.454
237,14833.75,15279.929
238,15479.57,15213.006
239,15332.32,15326.689
240,15290.9,15372.164
241,15701.34,15358.944
242,16276.34,15512.439
243,16317.809999999998,15879.016
244,16068.139999999998,16143.48
245,15955.59,16161.715
246,16716.11,16072.78
247,17645.41,16327.706
248,17804.01,16941.83
249,17817.09,17417.521
250,18621.31,17650.707
251,18642.23,18082.018
252,18370.0,18365.695
253,18364.12,18363.639
254,19107.46,18302.543
255,18732.12,18584.988
256,17150.62,18636.934
257,17108.4,17919.34
258,17717.42,17369.975
