,y_test_original,y_test_model
0,5014.48,5151.515
1,5225.63,5109.605
2,5238.44,5130.516
3,6191.19,5174.888
4,6198.78,5535.0723
5,6185.07,5956.4893
6,5830.25,6184.9897
7,6416.31,6114.4756
8,6734.8,6140.106
9,6681.06,6384.5586
10,6716.44,6610.8345
11,6469.8,6716.6787
12,6242.19,6660.201
13,5922.04,6462.55
14,6429.84,6180.786
15,6438.64,6138.492
16,6606.78,6276.191
17,6793.62,6454.569
18,6733.39,6640.334
19,6867.53,6744.363
20,6791.13,6801.509
21,7271.78,6816.701
22,7176.41,6962.2344
23,7334.1,7121.664
24,7302.09,7242.644
25,6865.49,7304.211
26,6859.08,7166.842
27,6971.09,6963.114
28,6845.04,6885.935
29,6842.43,6860.5454
30,6642.11,6841.2593
31,7116.8,6765.235
32,7096.18,6835.6396
33,7257.66,6983.983
34,7189.42,7130.748
35,6881.96,7204.0005
36,6880.32,7105.91
37,7117.21,6952.8774
38,7429.72,6946.6997
39,7550.9,7131.3096
40,7569.94,7371.6304
41,7679.87,7531.171
42,7795.6,7623.7563
43,7807.06,7706.6255
44,8801.04,7768.318
45,8658.55,8132.4263
46,8864.77,8518.9
47,8988.6,8760.042
48,8897.47,8910.088
49,8912.65,8951.056
50,9003.07,8925.281
51,9268.76,8934.654
52,9951.52,9053.265
53,9842.67,9420.158
54,9593.9,9748.421
55,8756.43,9793.386
56,8601.8,9406.823
57,8804.48,8901.801
58,9269.99,8663.956
59,9733.72,8822.941
60,9328.2,9247.833
61,9377.01,9473.193
62,9670.74,9465.559
63,9726.57,9499.63
64,9729.04,9598.17
65,9522.98,9677.0625
66,9081.76,9646.619
67,9182.58,9415.498
68,9209.29,9203.984
69,8790.37,9132.944
70,8906.93,9002.328
71,8835.05,8889.1
72,9181.02,8834.232
73,9525.75,8926.254
74,9439.12,9186.448
75,9700.41,9392.367
76,9461.06,9547.43
77,10167.27,9573.694
78,9529.8,9747.073
79,9656.72,9779.672
80,9800.64,9694.376
81,9665.53,9686.006
82,9653.68,9689.53
83,9758.85,9660.425
84,9771.49,9677.321
85,9795.7,9715.62
86,9870.09,9751.976
87,9321.78,9797.541
88,9480.84,9649.73
89,9475.28,9482.474
90,9386.79,9420.766
91,9450.7,9392.114
92,9538.02,9391.929
93,9480.26,9442.916
94,9411.84,9473.58
95,9288.02,9450.3545
96,9332.34,9369.324
97,9303.63,9307.826
98,9648.72,9281.658
99,9629.66,9391.897
100,9313.61,9536.43
101,9264.81,9506.844
102,9162.92,9370.145
103,9045.39,9231.518
104,9143.58,9105.755
105,9190.85,9063.4
106,9137.99,9100.352
107,9228.33,9129.715
108,9123.41,9162.072
109,9087.3,9157.57
110,9132.49,9114.083
111,9073.94,9091.146
112,9375.47,9075.2705
113,9252.28,9161.162
114,9428.33,9242.542
115,9277.97,9319.115
116,9278.81,9332.873
117,9240.35,9297.848
118,9276.5,9251.827
119,9243.61,9235.655
120,9243.21,9229.399
121,9192.84,9225.887
122,9132.23,9205.902
123,9151.39,9162.883
124,9159.04,9130.338
125,9185.82,9123.865
126,9164.23,9138.312
127,9374.89,9148.674
128,9525.36,9219.88
129,9581.07,9358.103
130,9536.89,9489.298
131,9677.11,9545.202
132,9905.17,9591.503
133,10990.87,9711.816
134,10912.82,10198.628
135,11100.47,10699.404
136,11111.21,10998.645
137,11323.47,11119.298
138,11759.59,11204.235
139,11053.61,11415.94
140,11246.35,11400.035
141,11205.89,11270.997
142,11747.02,11196.605
143,11779.77,11352.333
144,11601.47,11593.503
145,11754.05,11685.748
146,11675.74,11701.942
147,11878.11,11690.915
148,11410.53,11729.329
149,11584.93,11642.204
150,11784.14,11544.711
151,11768.87,11589.67
152,11865.7,11683.62
153,11892.8,11769.361
154,12254.4,11837.264
155,11991.23,11988.42
156,11758.28,12059.357
157,11878.37,11948.467
158,11592.49,11842.746
159,11681.83,11719.345
160,11664.85,11634.539
161,11774.6,11615.942
162,11366.14,11659.505
163,11488.36,11576.39
164,11323.4,11472.59
165,11542.5,11377.922
166,11506.87,11382.898
167,11711.51,11436.686
168,11680.82,11543.673
169,11970.48,11630.985
170,11414.03,11762.94
171,10245.3,11698.207
172,10511.81,11124.435
173,10169.57,10588.4795
174,10280.35,10272.216
175,10369.56,10160.263
176,10131.52,10212.5205
177,10242.35,10220.542
178,10363.14,10198.198
179,10400.91,10239.673
180,10442.17,10308.417
181,10323.76,10372.14
182,10680.84,10370.955
183,10796.95,10452.337
184,10974.9,10616.217
185,10948.99,10800.286
186,10944.59,10916.834
187,11094.35,10950.222
188,10938.27,10990.443
189,10462.26,10987.558
190,10538.46,10786.393
191,10246.19,10577.992
192,10760.07,10388.89
193,10692.72,10426.204
194,10750.72,10572.731
195,10775.27,10684.622
196,10709.65,10741.43
197,10844.64,10738.099
198,10784.49,10749.032
199,10619.45,10765.964
200,10575.98,10709.704
201,10549.33,10620.086
202,10669.58,10550.81
203,10793.34,10558.105
204,10604.41,10646.204
205,10668.97,10669.265
206,10915.69,10650.484
207,11064.46,10723.094
208,11296.36,10876.856
209,11384.18,11078.59
210,11555.36,11260.992
211,11425.9,11416.473
212,11429.51,11469.643
213,11495.35,11446.836
214,11322.12,11437.218
215,11358.1,11391.67
216,11483.36,11341.605
217,11742.04,11365.619
218,11916.34,11506.137
219,12823.69,11709.603
220,12965.89,12162.78
221,12931.54,12655.486
222,13108.06,12920.0
223,13031.17,13035.456
224,13075.25,13057.355
225,13654.22,13042.456
226,13271.29,13233.435
227,13437.88,13356.287
228,13546.52,13387.506
229,13780.99,13439.815
230,13737.11,13569.674
231,13550.49,13676.304
232,13950.3,13656.133
233,14133.71,13709.866
234,15579.85,13889.225
235,15565.88,14530.223
236,14833.75,15215.699
237,15479.57,15314.286
238,15332.32,15282.675
239,15290.9,15296.455
240,15701.34,15275.342
241,16276.34,15393.599
242,16317.809999999998,15758.974
243,16068.139999999998,16113.102
244,15955.59,16206.456
245,16716.11,16093.319
246,17645.41,16217.268
247,17804.01,16788.309
248,17817.09,17409.04
249,18621.31,17756.05
250,18642.23,18118.357
251,18370.0,18440.814
252,18364.12,18500.242
253,19107.46,18409.879
254,18732.12,18577.363
255,17150.62,18730.867
256,17108.4,18209.023
257,17717.42,17477.43
258,18177.48,17260.035
259,19625.84,17557.504
260,18803.0,18414.938
261,19201.09,18960.492
262,19445.4,19122.49
263,18699.77,19235.928
264,19154.23,19075.18
265,19345.12,18942.652
266,19191.63,19043.486
267,18321.14,19136.889
268,18553.92,18861.283
269,18264.99,18553.07
270,18058.9,18329.94
271,18803.66,18130.87
272,19142.38,18253.463
273,19246.64,18649.512
274,19417.08,19004.955
275,21310.6,19241.05
276,22805.16,19986.203
277,23137.96,21313.934
278,23869.83,22493.5
279,23477.3,23325.076
280,22803.08,23626.59
281,23783.03,23329.62
282,23241.34,23237.854
283,23735.95,23246.93
284,24664.79,23356.371
285,26437.04,23833.416
286,26272.29,24918.799
287,27084.81,25847.025
288,27362.44,26500.387
289,28840.95,26960.865
290,29001.72,27678.266
291,29374.15,28396.275
292,32127.27,28910.836
293,32782.02,30075.027
294,31971.91,31506.99
295,33992.43,32105.975
296,36824.36,32700.086
297,39371.04,34263.293
298,40797.61,36591.9
299,40254.55,38815.43
300,38356.44,39910.98
301,35566.66,39406.355
302,33922.96,37501.32
303,37316.36,35207.06
304,39187.33,34854.625
305,36825.37,36410.535
306,36178.14,37213.242
307,35791.28,36765.4
308,36630.08,35957.215
309,36069.81,35665.344
310,35547.75,35629.73
311,30825.7,35439.71
312,33005.76,33652.027
313,32067.639999999996,32284.756
314,32289.38,31779.209
315,32366.389999999996,31706.785
316,32569.85,31832.932
317,30432.55,32055.846
318,33466.1,31473.197
319,34316.39,31634.512
320,34269.52,32694.387
321,33114.36,33599.203
322,33537.18,33588.664
323,35510.29,33296.64
324,37472.09,33779.51
325,36926.06,35222.516
326,38144.31,36325.805
327,39266.01,37079.383
328,38903.44,37906.277
329,46196.46,38390.48
330,46481.1,40853.844
331,44918.18,43872.457
332,47909.33,44991.453
333,47504.85,45710.926
334,47105.52,46325.016
335,48717.29,46367.945
336,47945.06,46722.273
337,49199.87,46997.895
338,52149.01,47375.047
339,51679.8,48737.016
340,55888.13,49962.71
341,56099.52,51759.473
342,57539.94,53496.363
343,54207.32,54780.59
344,48824.43,54422.863
345,49705.33,51609.21
346,47093.85,49040.703
347,46339.76,47221.82
348,46188.45,45881.42
349,45137.77,45202.707
350,49631.24,44692.4
351,48378.99,45738.035
352,50538.24,46981.86
353,48561.17,48098.895
354,48927.3,48299.105
355,48912.38,47967.47
356,51206.69,47699.95
357,52246.52,48370.633
358,54824.12,49617.984
359,56008.55,51378.39
360,57805.12,53104.08
361,57332.09,54667.805
362,61243.08,55472.76
363,59302.32,56823.945
364,55907.2,57595.793
365,56804.9,56448.336
366,58870.89,55156.094
367,57858.92,55336.43
368,58346.65,55789.04
369,58313.64,56077.613
370,57523.42,56229.83
371,54529.15,56001.848
372,54738.94,54713.03
373,52774.26,53437.918
374,51704.16,52247.84
375,55137.31,51064.785
376,55973.51,51425.324
377,55950.75,52825.316
378,57750.2,53855.562
379,58917.69,54804.24
380,58918.83,55878.906
381,59095.81,56585.043
382,59384.31,56886.234
383,57603.89,57050.23
384,58758.56,56579.96
385,59057.88,56284.83
386,58192.36,56472.914
387,56048.94,56462.492
388,58323.95,55583.69
389,58245.0,55337.89
390,59793.24,55709.254
391,60204.96,56523.465
392,59893.45,57380.02
393,63503.46000000001,57767.566
394,63109.7,58886.684
395,63314.01,60048.58
396,61572.79,60589.6
397,60683.82,60174.61
398,56216.19,59204.965
399,55724.27,57059.223
400,56473.03,54919.094
401,53906.09,54064.996
402,51762.27,53318.566
403,51093.65,51880.242
404,50050.87,50471.094
405,49004.25,49352.633
406,54021.75,48388.74
407,55033.12,49421.297
408,54824.7,51563.566
409,53555.11,52949.035
410,57750.18,52946.473
411,57828.05,53725.26
412,56631.08,54968.16
413,57200.29,55330.406
414,53333.54,55256.36
415,57424.01,53997.945
416,56396.51,53762.977
417,57356.4,54257.816
418,58803.78,54827.562
419,58232.32,55698.33
420,55859.8,56258.414
421,56704.57,55555.76
422,49150.53,54819.434
423,49716.19,52188.95
424,49880.53,49441.016
425,46760.19,48245.19
426,46456.06,47134.664
427,43537.51,45985.24
428,42909.4,44461.223
429,37002.44,42912.79
430,40782.74,40131.555
431,37304.69,38737.05
432,37536.63,37910.113
433,34770.58,37195.78
434,38705.98,35966.26
435,38402.22,36113.562
436,39294.2,37051.027
437,38436.97,38011.594
438,35697.61,38300.027
439,34616.07,37250.957
440,35678.13,35530.85
441,37332.85,34726.055
442,36684.92,35308.36
443,37575.18,36045.285
444,39208.77,36623.914
445,36894.41,37529.27
446,35551.96,37554.44
447,35862.38,36492.523
448,33560.71,35577.273
449,33472.63,34476.5
450,37345.12,33482.395
451,36702.6,34308.46
452,37334.4,35636.676
453,35552.52,36498.9
454,39097.86,36297.45
455,40218.48,36778.29
456,40406.27,38137.996
457,38347.06,39309.043
458,38053.5,39158.043
459,35787.24,38312.54
460,35615.87,36897.37
461,35698.3,35651.92
462,31676.69,35090.92
463,32505.66,33712.176
464,33723.03,32404.533
465,34662.44,32335.463
466,31637.78,33149.25
467,32186.28,32926.805
468,34649.64,32221.646
469,34434.34,32632.387
470,35867.78,33494.266
471,35040.84,34463.055
472,33572.12,34944.016
473,33897.05,34407.562
474,34668.55,33724.555
475,35287.78,33681.195
476,33746.0,34167.234
477,34235.19,34152.773
478,33855.33,33909.44
479,32877.37,33675.39
480,33798.01,33177.27
481,33520.52,33000.207
482,34240.19,33079.8
483,33155.85,33372.586
484,32702.029999999995,33334.383
485,32822.35,32893.477
486,31780.729999999996,32522.195
487,31421.54,32048.422
488,31533.07,31491.441
489,31796.810000000005,31185.71
490,30817.83,31210.03
491,29807.35,31028.762
492,32110.69,30384.47
493,32313.11,30534.047
494,33581.55,31282.3
495,34292.45,32263.943
496,35350.19,33247.707
497,37337.53,34195.36
498,39406.94,35458.24
499,39995.91,37179.254
500,40008.42,38662.207
501,42235.55,39417.152
502,41626.2,40311.188
503,39974.9,40949.31
504,39201.95,40548.344
505,38152.98,39552.74
506,39747.51,38452.938
507,40869.55,38239.133
508,42816.5,39018.113
509,44555.8,40481.91
510,43798.12,42240.957
511,46365.4,43193.562
512,45585.03,44122.273
513,45593.64,44731.42
514,44428.29,44817.18
515,47793.32,44344.348
516,47096.95,44893.66
517,47047.0,45735.742
518,46004.48,46102.734
519,44695.36,45781.996
520,44801.19,44869.285
521,46717.58,44071.19
