,y_test_original,y_test_model
0,5200.37,6336.4883
1,5392.31,5729.203
2,5014.48,5335.397
3,5225.63,5283.685
4,5238.44,5228.2656
5,6191.19,5239.128
6,6198.78,5536.889
7,6185.07,5846.43
8,5830.25,6059.601
9,6416.31,6099.5537
10,6734.8,6187.714
11,6681.06,6374.684
12,6716.44,6519.514
13,6469.8,6683.4023
14,6242.19,6653.833
15,5922.04,6509.6753
16,6429.84,6292.546
17,6438.64,6275.4375
18,6606.78,6312.3926
19,6793.62,6430.106
20,6733.39,6623.6313
21,6867.53,6695.701
22,6791.13,6791.5386
23,7271.78,6821.8223
24,7176.41,6976.059
25,7334.1,7085.383
26,7302.09,7204.135
27,6865.49,7295.696
28,6859.08,7164.781
29,6971.09,7058.714
30,6845.04,6990.709
31,6842.43,6908.2554
32,6642.11,6895.854
33,7116.8,6820.5327
34,7096.18,6896.6626
35,7257.66,6978.4727
36,7189.42,7097.8467
37,6881.96,7194.4565
38,6880.32,7108.268
39,7117.21,7032.5938
40,7429.72,7029.1846
41,7550.9,7146.198
42,7569.94,7325.778
43,7679.87,7474.339
44,7795.6,7593.387
45,7807.06,7685.7705
46,8801.04,7749.4873
47,8658.55,8118.0176
48,8864.77,8371.94
49,8988.6,8620.651
50,8897.47,8848.623
51,8912.65,8876.185
52,9003.07,8916.488
53,9268.76,8949.943
54,9951.52,9049.591
55,9842.67,9366.7705
56,9593.9,9595.391
57,8756.43,9678.089
58,8601.8,9425.049
59,8804.48,9069.04
60,9269.99,8866.14
61,9733.72,8902.904
62,9328.2,9202.473
63,9377.01,9336.584
64,9670.74,9416.849
65,9726.57,9511.11
66,9729.04,9556.11
67,9522.98,9645.058
68,9081.76,9639.084
69,9182.58,9448.818
70,9209.29,9313.291
71,8790.37,9219.386
72,8906.93,9042.182
73,8835.05,8985.07
74,9181.02,8906.281
75,9525.75,8955.621
76,9439.12,9166.737
77,9700.41,9299.684
78,9461.06,9491.964
79,10167.27,9524.362
80,9529.8,9729.066
81,9656.72,9709.828
82,9800.64,9689.746
83,9665.53,9745.59
84,9653.68,9666.862
85,9758.85,9677.589
86,9771.49,9701.789
87,9795.7,9710.71
88,9870.09,9743.267
89,9321.78,9793.815
90,9480.84,9644.993
91,9475.28,9563.758
92,9386.79,9497.654
93,9450.7,9413.721
94,9538.02,9434.22
