,y_test_original_15_2,y_test_model_15_2
0,5014.48,5369.5947
1,5225.63,5104.2163
2,5238.44,5007.848
3,6191.19,5017.365
4,6198.78,5295.398
5,6185.07,5646.625
6,5830.25,5954.178
7,6416.31,6089.9683
8,6734.8,6248.602
9,6681.06,6459.452
10,6716.44,6638.012
11,6469.8,6762.5083
12,6242.19,6780.0415
13,5922.04,6685.1143
14,6429.84,6482.892
15,6438.64,6391.7534
16,6606.78,6379.156
17,6793.62,6445.957
18,6733.39,6580.018
19,6867.53,6699.5024
20,6791.13,6814.815
21,7271.78,6882.7905
22,7176.41,7026.0747
23,7334.1,7150.999
24,7302.09,7274.45
25,6865.49,7360.663
26,6859.08,7304.692
27,6971.09,7189.954
28,6845.04,7099.3696
29,6842.43,7013.737
30,6642.11,6948.687
31,7116.8,6861.371
32,7096.18,6894.0737
33,7257.66,6972.481
34,7189.42,7093.0327
35,6881.96,7189.4062
36,6880.32,7179.8784
37,7117.21,7119.435
38,7429.72,7104.9795
39,7550.9,7190.6455
40,7569.94,7333.698
41,7679.87,7476.115
42,7795.6,7610.0903
43,7807.06,7734.9424
44,8801.04,7828.7383
45,8658.55,8121.154
46,8864.77,8409.917
47,8988.6,8676.348
48,8897.47,8896.823
49,8912.65,9018.512
50,9003.07,9064.662
51,9268.76,9084.096
52,9951.52,9149.657
53,9842.67,9386.779
54,9593.9,9622.627
55,8756.43,9737.17
56,8601.8,9557.309
57,8804.48,9238.668
58,9269.99,8980.413
59,9733.72,8929.987
60,9328.2,9104.028
61,9377.01,9245.569
62,9670.74,9345.804
63,9726.57,9471.198
64,9729.04,9592.618
65,9522.98,9683.9
66,9081.76,9688.268
67,9182.58,9541.866
68,9209.29,9381.664
69,8790.37,9261.124
70,8906.93,9087.283
71,8835.05,8958.397
72,9181.02,8865.102
73,9525.75,8895.532
74,9439.12,9062.344
75,9700.41,9233.445
76,9461.06,9428.828
77,10167.27,9530.652
78,9529.8,9734.262
79,9656.72,9783.223
80,9800.64,9775.293
81,9665.53,9776.294
82,9653.68,9749.318
83,9758.85,9711.834
84,9771.49,9702.833
85,9795.7,9712.897
86,9870.09,9734.638
87,9321.78,9774.565
88,9480.84,9678.75
89,9475.28,9578.291
90,9386.79,9499.711
91,9450.7,9429.682
92,9538.02,9397.621
93,9480.26,9411.634
94,9411.84,9431.312
95,9288.02,9432.025
96,9332.34,9392.843
97,9303.63,9355.116
98,9648.72,9321.158
99,9629.66,9381.881
100,9313.61,9469.803
101,9264.81,9472.359
102,9162.92,9419.468
103,9045.39,9328.624
104,9143.58,9213.466
105,9190.85,9139.019
106,9137.99,9114.621
107,9228.33,9107.715
108,9123.41,9132.397
109,9087.3,9140.803
110,9132.49,9130.4
111,9073.94,9124.772
112,9375.47,9109.127
113,9252.28,9166.479
114,9428.33,9215.66
115,9277.97,9291.31
116,9278.81,9325.066
117,9240.35,9330.104
118,9276.5,9310.5205
119,9243.61,9292.97
120,9243.21,9272.805
121,9192.84,9256.022
122,9132.23,9232.68
123,9151.39,9196.609
124,9159.04,9167.671
125,9185.82,9151.187
126,9164.23,9151.207
