,y_test_original,y_test_model
0,5225.63,5307.3325
1,5238.44,5086.9087
2,6191.19,4965.498
3,6198.78,5127.263
4,6185.07,5337.656
5,5830.25,5557.0923
6,6416.31,5681.6934
7,6734.8,5903.631
8,6681.06,6159.8906
9,6716.44,6362.4814
10,6469.8,6525.4863
11,6242.19,6586.936
12,5922.04,6557.8594
13,6429.84,6430.6104
14,6438.64,6405.169
15,6606.78,6385.696
16,6793.62,6413.4287
17,6733.39,6489.1494
18,6867.53,6552.4976
19,6791.13,6639.123
20,7271.78,6697.665
21,7176.41,6848.0747
22,7334.1,6960.074
23,7302.09,7084.24
24,6865.49,7175.8423
25,6859.08,7144.738
26,6971.09,7091.1675
27,6845.04,7051.9375
28,6842.43,6984.33
29,6642.11,6921.9736
30,7116.8,6825.4053
31,7096.18,6847.467
32,7257.66,6878.936
33,7189.42,6954.063
34,6881.96,7013.5923
35,6880.32,6997.6943
36,7117.21,6972.209
37,7429.72,6993.9595
38,7550.9,7083.413
39,7569.94,7196.1245
40,7679.87,7302.6934
41,7795.6,7416.421
42,7807.06,7534.6255
43,8801.04,7631.6
44,8658.55,7925.0938
45,8864.77,8157.7524
46,8988.6,8395.636
47,8897.47,8612.262
48,8912.65,8756.803
49,9003.07,8854.859
50,9268.76,8930.327
51,9951.52,9031.401
52,9842.67,9258.566
53,9593.9,9433.5205
54,8756.43,9518.04
55,8601.8,9378.282
56,8804.48,9179.567
57,9269.99,9024.948
58,9733.72,8993.603
59,9328.2,9091.919
60,9377.01,9116.655
61,9670.74,9156.187
62,9726.57,9257.891
63,9729.04,9363.15
64,9522.98,9453.794
65,9081.76,9478.577
66,9182.58,9385.04
67,9209.29,9302.974
68,8790.37,9228.106
69,8906.93,9069.599
70,8835.05,8954.144
71,9181.02,8845.76
72,9525.75,8841.018
73,9439.12,8936.97
74,9700.41,9026.702
75,9461.06,9174.098
76,10167.27,9254.698
77,9529.8,9472.877
78,9656.72,9521.1
79,9800.64,9567.717
80,9665.53,9620.897
81,9653.68,9624.409
82,9758.85,9611.157
83,9771.49,9613.394
84,9795.7,9615.28
85,9870.09,9621.765
86,9321.78,9644.512
87,9480.84,9542.816
88,9475.28,9478.138
89,9386.79,9419.838
90,9450.7,9353.725
91,9538.02,9315.296
92,9480.26,9309.68
93,9411.84,9302.073
94,9288.02,9286.291
95,9332.34,9247.427
96,9303.63,9222.726
97,9648.72,9197.133
98,9629.66,9255.028
99,9313.61,9312.133
100,9264.81,9295.922
101,9162.92,9263.211
102,9045.39,9204.771
103,9143.58,9122.33
104,9190.85,9069.865
105,9137.99,9040.099
106,9228.33,9011.323
107,9123.41,9013.648
108,9087.3,9000.437
109,9132.49,8984.242
110,9073.94,8981.819
111,9375.47,8969.286
112,9252.28,9026.723
113,9428.33,9056.91
114,9277.97,9122.993
115,9278.81,9148.257
116,9240.35,9164.515
117,9276.5,9163.429
118,9243.61,9164.212
119,9243.21,9154.217
120,9192.84,9142.9
121,9132.23,9120.741
122,9151.39,9086.976
123,9159.04,9061.149
124,9185.82,9042.194
125,9164.23,9034.921
126,9374.89,9027.78
127,9525.36,9071.593
128,9581.07,9150.386
129,9536.89,9237.648
130,9677.11,9304.611
131,9905.17,9388.264
132,10990.87,9506.534
133,10912.82,9850.158
134,11100.47,10147.471
135,11111.21,10440.702
136,11323.47,10676.87
137,11759.59,10897.384
138,11053.61,11154.924
139,11246.35,11193.231
140,11205.89,11223.109
141,11747.02,11206.819
142,11779.77,11292.145
143,11601.47,11372.1
144,11754.05,11398.878
145,11675.74,11446.536
146,11878.11,11463.859
147,11410.53,11516.462
148,11584.93,11453.375
149,11784.14,11423.667
150,11768.87,11438.71
151,11865.7,11452.646
152,11892.8,11488.7705
153,12254.4,11528.915
154,11991.23,11646.167
155,11758.28,11693.778
156,11878.37,11673.902
157,11592.49,11668.073
158,11681.83,11590.648
159,11664.85,11533.447
160,11774.6,11478.895
161,11366.14,11459.559
162,11488.36,11358.505
163,11323.4,11297.202
164,11542.5,11212.759
165,11506.87,11194.365
166,11711.51,11183.318
167,11680.82,11230.735
168,11970.48,11276.818
169,11414.03,11387.3
170,10245.3,11363.096
171,10511.81,11062.802
172,10169.57,10825.217
173,10280.35,10535.991
174,10369.56,10316.694
175,10131.52,10171.592
176,10242.35,10026.261
177,10363.14,9952.8955
178,10400.91,9945.288
179,10442.17,9974.092
180,10323.76,10027.724
181,10680.84,10059.355
182,10796.95,10168.414
183,10974.9,10294.961
184,10948.99,10445.748
185,10944.59,10567.45
186,11094.35,10659.983
187,10938.27,10757.7
188,10462.26,10793.434
189,10538.46,10699.157
190,10246.19,10609.937
191,10760.07,10455.704
192,10692.72,10431.026
193,10750.72,10410.517
194,10775.27,10419.904
195,10709.65,10445.577
196,10844.64,10461.009
197,10784.49,10506.726
198,10619.45,10535.353
199,10575.98,10520.693
200,10549.33,10490.575
201,10669.58,10452.077
202,10793.34,10442.645
203,10604.41,10465.452
204,10668.97,10448.936
205,10915.69,10448.438
206,11064.46,10504.618
207,11296.36,10593.658
208,11384.18,10729.164
209,11555.36,10870.598
210,11425.9,11028.941
211,11429.51,11129.281
212,11495.35,11199.233
213,11322.12,11255.399
214,11358.1,11248.783
215,11483.36,11233.538
216,11742.04,11237.496
217,11916.34,11296.607
218,12823.69,11392.2705
219,12965.89,11686.307
220,12931.54,11992.382
221,13108.06,12250.826
222,13031.17,12494.484
223,13075.25,12660.053
224,13654.22,12777.11
225,13271.29,12975.594
226,13437.88,13042.0
227,13546.52,13107.271
228,13780.99,13165.874
229,13737.11,13254.42
230,13550.49,13313.083
231,13950.3,13310.576
232,14133.71,13384.668
233,15579.85,13488.95
234,15565.88,13911.361
235,14833.75,14300.757
236,15479.57,14465.633
237,15332.32,14710.146
238,15290.9,14853.163
239,15701.34,14927.677
240,16276.34,15049.133
241,16317.809999999998,15265.9375
242,16068.139999999998,15456.709
243,15955.59,15549.375
244,16716.11,15574.632
245,17645.41,15743.389
246,17804.01,16099.627
247,17817.09,16454.941
248,18621.31,16756.03
249,18642.23,17173.123
250,18370.0,17513.994
251,18364.12,17702.963
252,19107.46,17805.973
253,18732.12,18012.252
254,17150.62,18075.316
255,17108.4,17725.61
256,17717.42,17349.582
257,18177.48,17139.666
258,19625.84,17088.621
259,18803.0,17427.445
260,19201.09,17596.914
261,19445.4,17848.664
262,18699.77,18121.531
263,19154.23,18169.21
264,19345.12,18270.756
265,19191.63,18372.627
266,18321.14,18404.562
267,18553.92,18206.16
268,18264.99,18051.953
269,18058.9,17841.57
270,18803.66,17613.215
271,19142.38,17600.465
272,19246.64,17706.547
273,19417.08,17862.55
274,21310.6,18062.31
275,22805.16,18686.023
276,23137.96,19607.482
277,23869.83,20501.066
278,23477.3,21403.918
279,22803.08,22013.578
280,23783.03,22253.584
281,23241.34,22546.332
282,23735.95,22572.39
283,24664.79,22621.988
284,26437.04,22833.346
285,26272.29,23425.312
286,27084.81,23918.887
287,27362.44,24516.512
288,28840.95,25061.02
289,29001.72,25824.389
290,29374.15,26467.86
291,32127.27,27030.291
292,32782.02,28083.121
293,31971.91,29097.717
294,33992.43,29686.945
295,36824.36,30533.902
296,39371.04,31839.133
297,40797.61,33510.07
298,40254.55,35213.906
299,38356.44,36400.29
300,35566.66,36715.062
301,33922.96,36011.277
302,37316.36,34726.06
303,39187.33,34281.586
304,36825.37,34397.684
305,36178.14,34050.99
306,35791.28,33646.2
307,36630.08,33234.45
308,36069.81,33120.92
309,35547.75,32954.97
310,30825.7,32733.324
311,33005.76,31413.977
312,32067.639999999996,30757.67
313,32289.38,30040.428
314,32366.389999999996,29573.127
315,32569.85,29304.312
316,30432.55,29236.53
317,33466.1,28761.246
318,34316.39,29122.758
319,34269.52,29745.66
320,33114.36,30352.344
321,33537.18,30599.666
322,35510.29,30833.895
323,37472.09,31441.074
324,36926.06,32423.344
325,38144.31,33124.38
326,39266.01,33943.56
327,38903.44,34826.684
328,46196.46,35399.723
329,46481.1,37548.18
330,44918.18,39464.305
331,47909.33,40597.02
332,47504.85,42044.766
333,47105.52,42952.715
334,48717.29,43381.277
335,47945.06,43901.645
336,49199.87,43991.758
337,52149.01,44224.848
338,51679.8,45062.336
339,55888.13,45643.45
340,56099.52,47117.71
341,57539.94,48392.445
342,54207.32,49724.074
343,48824.43,49883.566
344,49705.33,48459.633
345,47093.85,47197.332
346,46339.76,45379.55
347,46188.45,43658.668
348,45137.77,42260.93
349,49631.24,41022.016
350,48378.99,41310.53
351,50538.24,41556.65
352,48561.17,42496.87
353,48927.3,42939.66
354,48912.38,43390.336
355,51206.69,43711.906
356,52246.52,44472.07
357,54824.12,45327.836
358,56008.55,46640.09
359,57805.12,47981.273
360,57332.09,49458.895
361,61243.08,50454.26
362,59302.32,52066.57
363,55907.2,52807.805
364,56804.9,52382.438
365,58870.89,51993.465
366,57858.92,52023.168
367,58346.65,51771.965
368,58313.64,51671.285
369,57523.42,51579.99
370,54529.15,51331.29
371,54738.94,50389.098
372,52774.26,49624.574
373,51704.16,48524.977
374,55137.31,47384.926
375,55973.51,47349.402
376,55950.75,47711.992
377,57750.2,48177.285
378,58917.69,49097.066
379,58918.83,50197.742
380,59095.81,51110.47
381,59384.31,51825.03
382,57603.89,52374.168
383,58758.56,52274.906
384,59057.88,52324.12
385,58192.36,52347.09
386,56048.94,52113.46
387,58323.95,51353.164
388,58245.0,51230.125
389,59793.24,51152.836
390,60204.96,51533.17
391,59893.45,52019.484
392,63503.46000000001,52388.555
393,63109.7,53564.91
394,63314.01,54451.566
395,61572.79,55181.996
396,60683.82,55260.34
397,56216.19,54958.42
398,55724.27,53479.605
399,56473.03,51989.93
400,53906.09,50903.2
401,51762.27,49466.656
402,51093.65,47859.344
403,50050.87,46474.82
404,49004.25,45232.168
405,54021.75,44130.938
406,55033.12,44645.48
407,54824.7,45617.71
408,53555.11,46597.426
409,57750.18,47169.39
410,57828.05,48615.395
411,56631.08,49813.56
412,57200.29,50416.582
413,53333.54,50886.387
414,57424.01,50165.645
415,56396.51,50376.7
416,57356.4,50262.355
417,58803.78,50395.273
418,58232.32,50868.598
419,55859.8,51148.277
420,56704.57,50790.23
421,49150.53,50628.703
422,49716.19,48602.457
423,49880.53,46923.953
424,46760.19,45572.26
425,46456.06,43803.93
426,43537.51,42393.465
427,42909.4,40693.35
428,37002.44,39298.477
429,40782.74,36877.082
430,37304.69,35896.438
431,37536.63,34519.234
432,34770.58,33649.668
433,38705.98,32489.062
434,38402.22,32628.258
435,39294.2,32937.344
436,38436.97,33600.723
437,35697.61,34061.61
438,34616.07,33789.33
439,35678.13,33200.258
440,37332.85,32867.848
441,36684.92,33010.816
442,37575.18,33044.55
