,y_test_original,y_test_model
0,5014.48,5214.5757
1,5225.63,5073.603
2,5238.44,5120.4595
3,6191.19,5185.3384
4,6198.78,5758.343
5,6185.07,6106.029
6,5830.25,6229.5835
7,6416.31,6050.5576
8,6734.8,6247.9814
9,6681.06,6566.273
10,6716.44,6698.6924
11,6469.8,6749.9663
12,6242.19,6618.008
13,5922.04,6399.058
14,6429.84,6102.72
15,6438.64,6240.022
16,6606.78,6371.1484
17,6793.62,6529.733
18,6733.39,6712.9644
19,6867.53,6766.2573
20,6791.13,6846.102
21,7271.78,6840.085
22,7176.41,7094.2275
23,7334.1,7190.8516
24,7302.09,7300.8184
25,6865.49,7331.0757
26,6859.08,7083.6533
27,6971.09,6925.1865
28,6845.04,6926.078
29,6842.43,6878.9233
30,6642.11,6851.4424
31,7116.8,6729.9736
32,7096.18,6930.5234
33,7257.66,7057.138
34,7189.42,7198.132
35,6881.96,7224.937
36,6880.32,7045.6313
37,7117.21,6931.34
38,7429.72,7020.0684
39,7550.9,7266.5566
40,7569.94,7471.5366
41,7679.87,7570.068
42,7795.6,7659.804
43,7807.06,7761.3213
44,8801.04,7812.243
45,8658.55,8390.0625
46,8864.77,8641.335
47,8988.6,8824.437
48,8897.47,8959.96
49,8912.65,8954.853
50,9003.07,8935.042
51,9268.76,8970.152
52,9951.52,9142.031
53,9842.67,9626.974
54,9593.9,9822.78
55,8756.43,9724.193
56,8601.8,9152.427
57,8804.48,8738.632
58,9269.99,8688.21
59,9733.72,8986.1875
60,9328.2,9440.432
61,9377.01,9437.774
62,9670.74,9401.38
63,9726.57,9543.821
64,9729.04,9661.042
65,9522.98,9709.433
66,9081.76,9600.549
67,9182.58,9274.851
68,9209.29,9155.762
69,8790.37,9146.133
70,8906.93,8920.582
71,8835.05,8860.0
72,9181.02,8816.746
73,9525.75,9001.526
74,9439.12,9316.03
75,9700.41,9427.36
76,9461.06,9598.091
77,10167.27,9541.247
78,9529.8,9886.439
79,9656.72,9724.886
80,9800.64,9654.663
81,9665.53,9713.341
82,9653.68,9678.582
83,9758.85,9643.317
84,9771.49,9687.183
85,9795.7,9724.859
86,9870.09,9754.967
87,9321.78,9809.731
88,9480.84,9522.045
89,9475.28,9437.966
90,9386.79,9424.279
91,9450.7,9379.796
92,9538.02,9394.768
93,9480.26,9461.332
94,9411.84,9466.583
95,9288.02,9422.031
96,9332.34,9324.105
97,9303.63,9298.371
98,9648.72,9280.75
99,9629.66,9473.063
100,9313.61,9577.86
101,9264.81,9432.114
102,9162.92,9303.155
103,9045.39,9187.633
104,9143.58,9071.051
105,9190.85,9076.52
106,9137.99,9125.074
107,9228.33,9125.175
108,9123.41,9171.797
109,9087.3,9139.457
110,9132.49,9093.772
111,9073.94,9096.994
112,9375.47,9071.8545
113,9252.28,9229.875
114,9428.33,9255.544
115,9277.97,9350.083
116,9278.81,9314.089
117,9240.35,9279.4795
118,9276.5,9240.356
119,9243.61,9242.357
120,9243.21,9229.992
121,9192.84,9222.662
122,9132.23,9191.461
123,9151.39,9139.841
124,9159.04,9125.183
125,9185.82,9128.61
126,9164.23,9148.824
127,9374.89,9148.518
128,9525.36,9266.535
129,9581.07,9421.807
130,9536.89,9528.171
131,9677.11,9542.125
132,9905.17,9613.54
133,10990.87,9781.416
134,10912.82,10491.718
135,11100.47,10834.286
136,11111.21,11039.758
137,11323.47,11107.166
138,11759.59,11230.869
139,11053.61,11536.548
140,11246.35,11279.5625
141,11205.89,11197.443
142,11747.02,11155.242
143,11779.77,11454.657
144,11601.47,11650.766
145,11754.05,11619.176
146,11675.74,11659.814
147,11878.11,11637.846
148,11410.53,11735.154
149,11584.93,11520.282
150,11784.14,11484.947
151,11768.87,11607.76
152,11865.7,11675.391
153,11892.8,11754.644
154,12254.4,11805.663
155,11991.23,12032.944
156,11758.28,12000.739
157,11878.37,11814.708
158,11592.49,11779.429
159,11681.83,11616.8545
160,11664.85,11581.91
161,11774.6,11575.073
162,11366.14,11642.198
163,11488.36,11446.282
164,11323.4,11397.654
165,11542.5,11300.913
166,11506.87,11381.547
167,11711.51,11421.961
168,11680.82,11555.087
169,11970.48,11608.341
170,11414.03,11788.616
171,10245.3,11559.582
172,10511.81,10726.198
173,10169.57,10432.445
174,10280.35,10180.298
175,10369.56,10148.751
176,10131.52,10225.299
177,10242.35,10145.537
178,10363.14,10158.474
179,10400.91,10249.104
180,10442.17,10324.172
181,10323.76,10380.253
182,10680.84,10334.029
183,10796.95,10504.599
184,10974.9,10675.301
185,10948.99,10852.942
186,10944.59,10914.663
187,11094.35,10920.236
188,10938.27,10997.55
189,10462.26,10947.832
190,10538.46,10631.683
191,10246.19,10498.694
192,10760.07,10295.995
193,10692.72,10496.7
194,10750.72,10604.644
195,10775.27,10677.375
196,10709.65,10718.966
197,10844.64,10694.354
198,10784.49,10751.043
199,10619.45,10750.953
200,10575.98,10647.334
201,10549.33,10561.632
202,10669.58,10510.533
203,10793.34,10562.985
204,10604.41,10672.988
205,10668.97,10621.628
206,10915.69,10614.549
207,11064.46,10758.912
208,11296.36,10928.963
209,11384.18,11141.097
210,11555.36,11288.872
211,11425.9,11440.89
212,11429.51,11428.545
213,11495.35,11398.607
214,11322.12,11416.88
215,11358.1,11328.473
216,11483.36,11294.992
217,11742.04,11359.408
218,11916.34,11551.181
219,12823.69,11753.686
220,12965.89,12369.903
221,12931.54,12773.73
222,13108.06,12894.983
223,13031.17,13002.061
224,13075.25,12990.691
225,13654.22,12987.6
226,13271.29,13319.358
