,y_test_original_15_3,y_test_model_15_3
0,5014.48,5321.594
1,5225.63,5129.5156
2,5238.44,5200.442
3,6191.19,5211.5405
4,6198.78,5912.5806
5,6185.07,6211.455
6,5830.25,6295.092
7,6416.31,5988.492
8,6734.8,6260.225
9,6681.06,6623.6323
10,6716.44,6767.4883
11,6469.8,6782.2373
12,6242.19,6577.483
13,5922.04,6335.1157
14,6429.84,6021.42
15,6438.64,6277.7925
16,6606.78,6427.222
17,6793.62,6618.5547
18,6733.39,6773.181
19,6867.53,6785.5645
20,6791.13,6863.163
21,7271.78,6832.8438
22,7176.41,7158.0938
23,7334.1,7222.3354
24,7302.09,7349.9897
25,6865.49,7336.056
26,6859.08,7030.8853
27,6971.09,6883.6113
28,6845.04,6919.769
29,6842.43,6893.731
30,6642.11,6876.448
31,7116.8,6718.857
32,7096.18,6987.6714
33,7257.66,7098.1714
34,7189.42,7263.172
35,6881.96,7238.846
36,6880.32,7009.1772
37,7117.21,6897.22
38,7429.72,7035.715
39,7550.9,7346.178
40,7569.94,7554.3755
41,7679.87,7617.7593
42,7795.6,7680.1787
43,7807.06,7776.3887
44,8801.04,7826.371
45,8658.55,8524.589
46,8864.77,8713.893
47,8988.6,8899.367
48,8897.47,8969.199
49,8912.65,8943.24
50,9003.07,8925.844
51,9268.76,8978.871
52,9951.52,9193.349
53,9842.67,9748.801
54,9593.9,9892.703
55,8756.43,9729.7
56,8601.8,9019.25
57,8804.48,8629.931
58,9269.99,8665.486
59,9733.72,9097.677
60,9328.2,9606.816
61,9377.01,9495.331
62,9670.74,9407.565
63,9726.57,9540.364
64,9729.04,9685.805
65,9522.98,9745.764
66,9081.76,9598.638
67,9182.58,9219.139
68,9209.29,9132.148
69,8790.37,9154.092
70,8906.93,8917.017
71,8835.05,8882.52
72,9181.02,8823.058
73,9525.75,9070.421
74,9439.12,9407.846
75,9700.41,9486.939
76,9461.06,9650.961
77,10167.27,9524.82
78,9529.8,9959.558
79,9656.72,9695.905
80,9800.64,9672.726
81,9665.53,9712.369
82,9653.68,9693.721
83,9758.85,9663.833
84,9771.49,9713.448
85,9795.7,9753.644
86,9870.09,9783.97
87,9321.78,9839.789
88,9480.84,9482.569
89,9475.28,9434.931
90,9386.79,9423.386
91,9450.7,9407.352
92,9538.02,9430.137
93,9480.26,9499.062
94,9411.84,9491.333
95,9288.02,9432.702
96,9332.34,9317.326
97,9303.63,9306.223
98,9648.72,9294.786
99,9629.66,9538.549
100,9313.61,9625.221
101,9264.81,9433.639
102,9162.92,9282.876
103,9045.39,9161.326
104,9143.58,9065.49
105,9190.85,9103.978
106,9137.99,9164.732
107,9228.33,9157.572
108,9123.41,9203.528
