,y_test_original_5_3,y_test_model_5_3
261,19625.84,17413.797
262,18803.0,18253.084
263,19201.09,18465.326
264,19445.4,18543.986
265,18699.77,18808.982
266,19154.23,18543.613
267,19345.12,18549.227
268,19191.63,18726.63
269,18321.14,18711.186
270,18553.92,18336.787
271,18264.99,18150.629
272,18058.9,18004.83
273,18803.66,17776.807
274,19142.38,18021.402
275,19246.64,18371.637
276,19417.08,18585.8
277,21310.6,18783.037
278,22805.16,19691.363
279,23137.96,20972.031
280,23869.83,21785.746
281,23477.3,22475.477
282,22803.08,22676.996
283,23783.03,22356.984
284,23241.34,22572.775
285,23735.95,22566.328
286,24664.79,22645.248
287,26437.04,23212.572
288,26272.29,24255.098
289,27084.81,24853.531
290,27362.44,25354.17
291,28840.95,25820.725
292,29001.72,26571.48
293,29374.15,27160.059
294,32127.27,27497.398
295,32782.02,28826.686
296,31971.91,29937.562
297,33992.43,30033.76
298,36824.36,30804.693
299,39371.04,32467.623
300,40797.61,34330.77
301,40254.55,35838.83
302,38356.44,36298.46
303,35566.66,35649.61
304,33922.96,34131.78
305,37316.36,32600.7
306,39187.33,33174.03
307,36825.37,34572.914
308,36178.14,34318.77
309,35791.28,33716.86
310,36630.08,33333.78
311,36069.81,33388.86
312,35547.75,33346.84
313,30825.7,33027.26
314,33005.76,31055.219
315,32067.639999999996,30503.215
316,32289.38,30390.494
317,32366.389999999996,30101.096
318,32569.85,30250.414
319,30432.55,30316.555
320,33466.1,29544.355
321,34316.39,30150.07
322,34269.52,31215.66
323,33114.36,31538.662
324,33537.18,31298.74
325,35510.29,31179.297
326,37472.09,31987.33
327,36926.06,33268.566
328,38144.31,33753.836
329,39266.01,34294.633
330,38903.44,35108.85
331,46196.46,35321.117
332,46481.1,38043.562
333,44918.18,40012.77
334,47909.33,39875.78
335,47504.85,40831.188
336,47105.52,41341.773
337,48717.29,41185.785
338,47945.06,41731.78
339,49199.87,41812.746
340,52149.01,42116.32
341,51679.8,43419.84
342,55888.13,43949.83
343,56099.52,45367.1
344,57539.94,46393.258
345,54207.32,47005.74
346,48824.43,46360.887
347,49705.33,43984.156
348,47093.85,43021.07
349,46339.76,42038.85
350,46188.45,41037.438
351,45137.77,40723.285
352,49631.24,40194.812
353,48378.99,41471.46
354,50538.24,42045.79
355,48561.17,42643.57
356,48927.3,42563.84
357,48912.38,42282.215
358,51206.69,42350.36
359,52246.52,43072.59
360,54824.12,43946.69
361,56008.55,45104.2
362,57805.12,46134.152
363,57332.09,47053.06
364,61243.08,47365.35
365,59302.32,48545.523
366,55907.2,48747.086
367,56804.9,47416.84
368,58870.89,47049.81
369,57858.92,47736.61
370,58346.65,47787.598
371,58313.64,47808.73
372,57523.42,47913.453
373,54529.15,47655.332
374,54738.94,46577.652
375,52774.26,46006.293
376,51704.16,45314.688
377,55137.31,44478.69
378,55973.51,45300.85
379,55950.75,46212.305
380,57750.2,46457.973
381,58917.69,47125.207
382,58918.83,47868.84
383,59095.81,48147.188
384,59384.31,48267.97
385,57603.89,48414.074
386,58758.56,47932.945
387,59057.88,47945.62
388,58192.36,48226.34
389,56048.94,48012.832
390,58323.95,47214.145
391,58245.0,47471.348
392,59793.24,47827.227
393,60204.96,48297.82
394,59893.45,48770.246
395,63503.46000000001,48790.47
396,63109.7,49846.086
397,63314.01,50405.97
398,61572.79,50456.54
399,60683.82,50039.234
400,56216.19,49452.22
401,55724.27,47911.14
402,56473.03,46820.58
403,53906.09,46813.824
404,51762.27,46042.35
405,51093.65,44828.34
406,50050.87,44084.57
407,49004.25,43446.254
408,54021.75,42775.07
409,55033.12,44150.56
410,54824.7,45512.195
411,53555.11,45798.395
412,57750.18,45510.133
413,57828.05,46596.387
414,56631.08,47440.793
415,57200.29,47170.613
416,53333.54,47202.44
417,57424.01,46076.43
418,56396.51,46556.125
419,57356.4,46976.43
420,58803.78,47091.86
421,58232.32,47798.438
422,55859.8,47913.84
423,56704.57,47126.332
424,49150.53,46926.87
425,49716.19,44623.562
426,49880.53,43139.51
427,46760.19,43066.918
428,46456.06,41840.785
429,43537.51,41036.8
430,42909.4,39817.793
