,y_test_original_20_3,y_test_model_20_3
0,5225.63,5086.055
1,5238.44,5080.6245
2,6191.19,5168.621
3,6198.78,5754.475
4,6185.07,6166.752
5,5830.25,6241.2695
6,6416.31,6027.1343
7,6734.8,6203.7783
8,6681.06,6596.1807
9,6716.44,6742.926
10,6469.8,6741.288
11,6242.19,6608.944
12,5922.04,6381.9775
13,6429.84,6086.8486
14,6438.64,6209.742
15,6606.78,6402.994
16,6793.62,6542.503
17,6733.39,6710.0684
18,6867.53,6774.24
19,6791.13,6837.025
20,7271.78,6844.1587
21,7176.41,7082.808
22,7334.1,7221.3164
23,7302.09,7301.7573
24,6865.49,7331.707
25,6859.08,7090.4653
26,6971.09,6893.714
27,6845.04,6916.9194
28,6842.43,6896.446
29,6642.11,6847.843
30,7116.8,6725.181
31,7096.18,6907.204
32,7257.66,7085.2905
33,7189.42,7205.741
34,6881.96,7226.5283
35,6880.32,7043.8354
36,7117.21,6905.414
37,7429.72,7012.1743
38,7550.9,7284.0825
39,7569.94,7497.5493
40,7679.87,7577.9385
41,7795.6,7652.4985
42,7807.06,7764.07
43,8801.04,7824.42
44,8658.55,8376.229
45,8864.77,8709.453
46,8988.6,8832.694
47,8897.47,8955.984
48,8912.65,8973.361
49,9003.07,8941.433
50,9268.76,8979.504
51,9951.52,9154.138
52,9842.67,9641.059
53,9593.9,9881.278
54,8756.43,9742.344
55,8601.8,9158.105
56,8804.48,8703.3125
57,9269.99,8685.178
58,9733.72,9020.06
59,9328.2,9479.498
60,9377.01,9486.439
61,9670.74,9378.854
62,9726.57,9532.728
63,9729.04,9698.681
64,9522.98,9737.075
65,9081.76,9617.151
66,9182.58,9285.301
67,9209.29,9141.102
68,8790.37,9166.306
69,8906.93,8958.445
70,8835.05,8845.016
71,9181.02,8826.285
72,9525.75,9007.48
73,9439.12,9338.658
74,9700.41,9465.08
75,9461.06,9594.176
76,10167.27,9564.908
77,9529.8,9872.073
78,9656.72,9793.206
79,9800.64,9645.903
80,9665.53,9712.54
81,9653.68,9718.429
82,9758.85,9658.231
83,9771.49,9696.566
84,9795.7,9746.039
85,9870.09,9775.047
86,9321.78,9824.389
87,9480.84,9556.364
88,9475.28,9419.27
89,9386.79,9440.781
90,9450.7,9410.411
91,9538.02,9403.596
92,9480.26,9473.328
93,9411.84,9487.574
94,9288.02,9435.687
95,9332.34,9334.019
96,9303.63,9303.089
97,9648.72,9298.34
98,9629.66,9480.223
99,9313.61,9611.37
100,9264.81,9457.644
101,9162.92,9292.441
102,9045.39,9195.011
103,9143.58,9088.544
104,9190.85,9083.675
105,9137.99,9141.83
106,9228.33,9143.888
107,9123.41,9177.033
108,9087.3,9155.736
109,9132.49,9101.722
110,9073.94,9102.861
111,9375.47,9088.656
112,9252.28,9232.952
113,9428.33,9287.05
114,9277.97,9355.358
115,9278.81,9333.262
116,9240.35,9286.623
117,9276.5,9250.318
118,9243.61,9255.514
119,9243.21,9246.641
120,9192.84,9235.506
121,9132.23,9203.955
122,9151.39,9151.29
123,9159.04,9133.002
124,9185.82,9141.937
125,9164.23,9162.34
126,9374.89,9162.518
127,9525.36,9271.677
128,9581.07,9441.548
129,9536.89,9551.789
130,9677.11,9558.13
131,9905.17,9617.831
132,10990.87,9796.281
133,10912.82,10494.591
134,11100.47,10916.007
135,11111.21,11057.995
136,11323.47,11115.026
137,11759.59,11248.84
138,11053.61,11563.588
139,11246.35,11363.196
140,11205.89,11187.798
141,11747.02,11181.581
142,11779.77,11481.988
143,11601.47,11712.154
144,11754.05,11664.33
145,11675.74,11664.195
146,11878.11,11676.412
147,11410.53,11765.886
148,11584.93,11582.062
149,11784.14,11493.053
150,11768.87,11635.155
151,11865.7,11731.415
152,11892.8,11786.72
153,12254.4,11837.657
154,11991.23,12054.078
155,11758.28,12063.486
156,11878.37,11850.923
157,11592.49,11791.1875
158,11681.83,11672.189
159,11664.85,11611.337
160,11774.6,11613.592
161,11366.14,11676.78
162,11488.36,11499.393
163,11323.4,11407.61
164,11542.5,11338.591
165,11506.87,11408.03
166,11711.51,11465.118
167,11680.82,11582.222
168,11970.48,11646.04
169,11414.03,11810.799
170,10245.3,11622.774
171,10511.81,10775.473
172,10169.57,10385.256
173,10280.35,10232.879
174,10369.56,10186.69
175,10131.52,10250.463
176,10242.35,10178.633
177,10363.14,10157.661
178,10400.91,10265.576
179,10442.17,10353.788
180,10323.76,10402.432
181,10680.84,10357.202
182,10796.95,10507.009
183,10974.9,10712.069
184,10948.99,10884.374
185,10944.59,10944.314
186,11094.35,10941.554
187,10938.27,11014.976
188,10462.26,10990.049
189,10538.46,10670.171
190,10246.19,10494.753
191,10760.07,10332.291
192,10692.72,10503.394
193,10750.72,10657.143
194,10775.27,10704.848
195,10709.65,10732.714
196,10844.64,10719.569
197,10784.49,10767.825
198,10619.45,10785.963
199,10575.98,10677.675
200,10549.33,10577.11
201,10669.58,10533.042
202,10793.34,10586.6
203,10604.41,10702.578
204,10668.97,10659.925
205,10915.69,10624.84
206,11064.46,10773.224
207,11296.36,10966.484
208,11384.18,11170.878
209,11555.36,11320.6455
