,y_test_original_20_3,y_test_model_20_3
261,19445.4,17784.268
262,18699.77,18045.254
263,19154.23,18053.516
264,19345.12,17976.783
265,19191.63,17938.666
266,18321.14,17923.176
267,18553.92,17760.432
268,18264.99,17562.076
269,18058.9,17358.346
270,18803.66,17164.674
271,19142.38,17156.29
272,19246.64,17346.6
273,19417.08,17622.406
274,21310.6,17891.178
275,22805.16,18421.973
276,23137.96,19299.227
277,23869.83,20239.951
278,23477.3,21074.98
279,22803.08,21557.219
280,23783.03,21575.148
281,23241.34,21493.008
282,23735.95,21347.018
283,24664.79,21290.395
284,26437.04,21482.225
285,26272.29,22097.545
286,27084.81,22791.084
287,27362.44,23440.076
288,28840.95,23941.021
289,29001.72,24483.662
290,29374.15,24980.977
291,32127.27,25380.947
292,32782.02,26087.945
293,31971.91,26958.531
294,33992.43,27541.953
295,36824.36,28094.168
296,39371.04,29000.588
297,40797.61,30329.033
298,40254.55,31770.09
299,38356.44,32784.73
300,35566.66,32978.496
301,33922.96,32233.59
302,37316.36,30914.947
303,39187.33,30191.035
304,36825.37,30399.287
305,36178.14,30693.68
306,35791.28,30725.188
307,36630.08,30510.5
308,36069.81,30362.34
309,35547.75,30244.771
310,30825.7,30080.594
311,33005.76,29175.24
312,32067.639999999996,28340.287
313,32289.38,27718.54
314,32366.389999999996,27402.818
315,32569.85,27339.822
316,30432.55,27443.25
317,33466.1,27246.271
318,34316.39,27366.043
319,34269.52,27859.867
320,33114.36,28421.918
321,33537.18,28649.447
322,35510.29,28662.613
323,37472.09,28904.787
324,36926.06,29584.953
325,38144.31,30263.674
326,39266.01,30898.475
327,38903.44,31530.94
328,46196.46,31964.262
329,46481.1,33265.2
330,44918.18,34872.93
331,47909.33,35932.957
332,47504.85,36778.89
333,47105.52,37321.363
334,48717.29,37519.01
335,47945.06,37715.434
336,49199.87,37803.496
337,52149.01,37969.047
338,51679.8,38555.254
339,55888.13,39190.75
340,56099.52,40204.14
341,57539.94,41239.51
342,54207.32,42185.465
343,48824.43,42444.543
344,49705.33,41546.21
345,47093.85,40317.895
346,46339.76,38959.11
347,46188.45,37745.04
348,45137.77,36879.312
349,49631.24,36255.01
350,48378.99,36495.1
351,50538.24,37017.79
352,48561.17,37772.086
353,48927.3,38199.285
354,48912.38,38349.824
355,51206.69,38343.88
356,52246.52,38591.285
357,54824.12,39099.734
358,56008.55,39955.527
359,57805.12,40947.582
360,57332.09,41980.93
361,61243.08,42732.777
362,59302.32,43625.14
363,55907.2,44206.77
364,56804.9,44036.78
365,58870.89,43587.258
366,57858.92,43413.49
367,58346.65,43353.18
368,58313.64,43390.438
369,57523.42,43457.98
370,54529.15,43418.58
371,54738.94,42948.93
372,52774.26,42351.96
373,51704.16,41614.863
374,55137.31,40825.727
375,55973.51,40633.156
376,55950.75,40965.215
377,57750.2,41460.973
378,58917.69,42106.4
379,58918.83,42829.9
380,59095.81,43426.465
381,59384.31,43830.098
382,57603.89,44082.227
383,58758.56,43996.453
384,59057.88,43879.83
385,58192.36,43848.67
386,56048.94,43771.348
387,58323.95,43405.586
388,58245.0,43223.516
389,59793.24,43222.574
390,60204.96,43494.85
391,59893.45,43900.66
392,63503.46000000001,44227.156
393,63109.7,44850.98
394,63314.01,45486.023
395,61572.79,45976.566
396,60683.82,46072.02
397,56216.19,45821.152
398,55724.27,44930.68
399,56473.03,43808.32
400,53906.09,42950.555
401,51762.27,42146.523
402,51093.65,41234.305
403,50050.87,40354.816
404,49004.25,39566.062
405,54021.75,38863.984
406,55033.12,39023.492
407,54824.7,39803.21
408,53555.11,40644.883
409,57750.18,41096.816
410,57828.05,41744.33
411,56631.08,42435.9
412,57200.29,42826.09
413,53333.54,43011.15
414,57424.01,42589.16
415,56396.51,42418.676
416,57356.4,42392.914
417,58803.78,42540.41
418,58232.32,42919.562
419,55859.8,43263.832
420,56704.57,43189.54
421,49150.53,42983.363
422,49716.19,41850.754
423,49880.53,40458.305
424,46760.19,39349.99
425,46456.06,38277.414
426,43537.51,37373.105
427,42909.4,36367.938
428,37002.44,35408.47
429,40782.74,33862.914
430,37304.69,32828.527
431,37536.63,31936.123
432,34770.58,31292.607
433,38705.98,30517.64
434,38402.22,30406.904
435,39294.2,30731.443
436,38436.97,31294.912
437,35697.61,31687.67
438,34616.07,31429.537
439,35678.13,30671.22
440,37332.85,30031.105
441,36684.92,29951.857
442,37575.18,30132.258
443,39208.77,30485.928
444,36894.41,31083.3
445,35551.96,31319.27
446,35862.38,31021.379
447,33560.71,30552.748
448,33472.63,29805.055
449,37345.12,29056.232
450,36702.6,29135.348
451,37334.4,29634.408
452,35552.52,30251.664
453,39097.86,30462.072
454,40218.48,30894.836
455,40406.27,31611.396
456,38347.06,32332.184
457,38053.5,32529.348
458,35787.24,32297.53
459,35615.87,31578.203
460,35698.3,30742.082
461,31676.69,30107.584
462,32505.66,29134.352
463,33723.03,28255.111
464,34662.44,27894.252
465,31637.78,28094.95
466,32186.28,28047.9
467,34649.64,27846.453
468,34434.34,28036.916
469,35867.78,28434.871
470,35040.84,29037.605
471,33572.12,29469.193
472,33897.05,29421.459
473,34668.55,29151.406
474,35287.78,28999.402
475,33746.0,29092.629
476,34235.19,29056.873
477,33855.33,28981.07
478,32877.37,28858.648
479,33798.01,28584.56
480,33520.52,28429.002
481,34240.19,28367.908
482,33155.85,28479.566
483,32702.029999999995,28489.953
484,32822.35,28329.832
485,31780.729999999996,28130.943
486,31421.54,27814.123
487,31533.07,27439.838
488,31796.810000000005,27151.668
489,30817.83,27041.305
490,29807.35,26899.408
491,32110.69,26573.152
492,32313.11,26587.453
493,33581.55,26892.443
494,34292.45,27467.742
495,35350.19,28153.643
496,37337.53,28877.89
497,39406.94,29755.244
498,39995.91,30842.193
499,40008.42,31871.322
500,42235.55,32585.533
501,41626.2,33272.562
502,39974.9,33736.48
503,39201.95,33702.85
504,38152.98,33270.91
505,39747.51,32595.59
506,40869.55,32213.781
507,42816.5,32311.578
508,44555.8,32934.77
509,43798.12,33927.69
510,46365.4,34734.02
511,45585.03,35552.996
512,45593.64,36110.36
513,44428.29,36373.457
514,47793.32,36263.32
515,47096.95,36456.203
516,47047.0,36749.56
517,46004.48,36981.37
518,44695.36,36960.24
519,44801.19,36609.777
520,46717.58,36180.54
521,49339.18,36113.918
522,48905.49,36664.855
523,49321.65,37359.61
524,49546.15,37953.25
525,47706.12,38363.46
526,48960.79,38334.69
527,46942.22,38233.97
528,49058.67,37898.18
529,48902.4,37783.875
530,48829.83,37844.688
531,47054.98,37955.805
532,47166.69,37806.14
533,48847.03,37534.375
534,49327.72,37516.348
535,50025.37,37743.58
536,49944.63,38129.246
537,51753.41,38481.117
538,52633.54,38954.418
539,46811.13,39519.793
540,46091.39,39225.95
541,46391.42,38344.312
542,44883.91,37449.79
543,45201.46,36617.984
544,46063.27,36050.145
545,44963.07,35885.65
546,47092.49,35819.863
547,48176.35,36072.9
548,47783.36,36610.152
549,47267.52,37104.87
550,48278.36,37352.09
551,47260.22,37537.387
552,42843.8,37540.06
553,40693.68,36823.277
554,43574.51,35526.113
555,44895.1,34662.555
556,42839.75,34544.57
557,42716.59,34560.867
558,43208.54,34529.26
559,42235.73,34531.16
560,41034.54,34425.86
561,41564.36,34098.816
