,y_test_original_15_3,y_test_model_15_3
0,5014.48,4924.1074
1,5225.63,4817.1934
2,5238.44,4868.257
3,6191.19,4992.4565
4,6198.78,5372.0713
5,6185.07,5827.147
6,5830.25,6183.3477
7,6416.31,6282.257
8,6734.8,6354.6143
9,6681.06,6518.5894
10,6716.44,6690.748
11,6469.8,6817.688
12,6242.19,6806.5137
13,5922.04,6648.1035
14,6429.84,6362.949
15,6438.64,6227.775
16,6606.78,6247.711
17,6793.62,6386.4004
18,6733.39,6594.4453
19,6867.53,6762.4907
20,6791.13,6887.6797
21,7271.78,6938.2227
22,7176.41,7065.2524
23,7334.1,7194.955
24,7302.09,7322.244
25,6865.49,7402.927
26,6859.08,7306.4683
27,6971.09,7121.875
28,6845.04,6986.54
29,6842.43,6895.0947
30,6642.11,6846.77
31,7116.8,6775.5405
32,7096.18,6835.9565
33,7257.66,6966.3022
34,7189.42,7134.0435
35,6881.96,7253.498
36,6880.32,7217.0464
37,7117.21,7095.597
38,7429.72,7041.2676
39,7550.9,7145.819
40,7569.94,7349.7397
41,7679.87,7544.41
42,7795.6,7697.057
43,7807.06,7816.2026
44,8801.04,7890.115
45,8658.55,8204.852
46,8864.77,8554.888
47,8988.6,8851.192
48,8897.47,9058.125
49,8912.65,9127.233
50,9003.07,9101.645
51,9268.76,9065.428
52,9951.52,9121.077
53,9842.67,9419.828
54,9593.9,9735.36
55,8756.43,9856.012
56,8601.8,9563.628
57,8804.48,9082.586
58,9269.99,8745.108
59,9733.72,8756.5
60,9328.2,9095.958
61,9377.01,9367.601
62,9670.74,9489.831
63,9726.57,9586.619
64,9729.04,9678.433
65,9522.98,9742.718
66,9081.76,9707.086
67,9182.58,9489.007
68,9209.29,9267.12
69,8790.37,9140.556
70,8906.93,8982.35
71,8835.05,8872.363
72,9181.02,8808.224
73,9525.75,8889.79
74,9439.12,9136.51
75,9700.41,9369.234
76,9461.06,9582.177
77,10167.27,9651.933
78,9529.8,9828.658
79,9656.72,9844.94
80,9800.64,9777.745
81,9665.53,9743.652
82,9653.68,9707.988
83,9758.85,9671.444
84,9771.49,9676.582
85,9795.7,9708.731
86,9870.09,9749.367
87,9321.78,9801.852
88,9480.84,9678.553
89,9475.28,9532.51
90,9386.79,9438.781
91,9450.7,9380.402
92,9538.02,9371.895
93,9480.26,9419.468
94,9411.84,9463.176
95,9288.02,9464.516
96,9332.34,9404.002
97,9303.63,9343.457
98,9648.72,9300.723
99,9629.66,9385.537
100,9313.61,9515.059
101,9264.81,9520.437
102,9162.92,9428.411
103,9045.39,9290.875
104,9143.58,9143.887
105,9190.85,9069.437
106,9137.99,9076.257
107,9228.33,9105.0625
108,9123.41,9156.063
109,9087.3,9172.713
110,9132.49,9150.591
111,9073.94,9130.212
112,9375.47,9104.955
113,9252.28,9174.158
114,9428.33,9245.126
115,9277.97,9336.048
116,9278.81,9367.344
117,9240.35,9350.166
118,9276.5,9304.767
119,9243.61,9272.1875
120,9243.21,9250.21
121,9192.84,9238.569
122,9132.23,9219.707
123,9151.39,9182.47
124,9159.04,9151.877
125,9185.82,9139.487
126,9164.23,9149.322
127,9374.89,9160.957
128,9525.36,9231.335
129,9581.07,9362.631
130,9536.89,9501.887
131,9677.11,9583.1045
132,9905.17,9645.822
133,10990.87,9755.117
134,10912.82,10190.629
135,11100.47,10664.03
136,11111.21,11026.168
137,11323.47,11206.219
138,11759.59,11297.898
139,11053.61,11461.516
140,11246.35,11406.35
141,11205.89,11283.537
142,11747.02,11173.515
143,11779.77,11277.62
144,11601.47,11479.861
145,11754.05,11591.629
146,11675.74,11650.65
147,11878.11,11649.223
148,11410.53,11681.709
149,11584.93,11586.717
150,11784.14,11496.823
151,11768.87,11515.598
152,11865.7,11584.2295
153,11892.8,11675.142
154,12254.4,11753.121
155,11991.23,11907.24
156,11758.28,11976.674
157,11878.37,11893.992
158,11592.49,11799.112
159,11681.83,11658.105
160,11664.85,11563.428
161,11774.6,11525.293
162,11366.14,11558.923
163,11488.36,11490.946
164,11323.4,11415.953
165,11542.5,11324.051
166,11506.87,11319.925
167,11711.51,11358.308
168,11680.82,11460.822
169,11970.48,11553.386
170,11414.03,11692.678
171,10245.3,11645.085
172,10511.81,11140.546
173,10169.57,10639.717
174,10280.35,10249.215
175,10369.56,10073.663
176,10131.52,10088.703
177,10242.35,10111.601
178,10363.14,10144.674
179,10400.91,10214.066
180,10442.17,10296.3
181,10323.76,10370.332
182,10680.84,10379.587
