38,6880.32,7076.011,6928.089,6946.6997,7200.322,7152.9023,7061.7637,7046.4463,7046.4463,7076.011,7023.0015,7019.7847,7229.9556
39,7117.21,6965.3545,6980.659,7131.3096,7404.838,7097.8823,7079.339,7128.8,7128.8,6965.3545,7047.8003,7214.381,7394.0728
40,7429.72,6984.1846,7204.2812,7371.6304,7526.4,7051.7197,7164.387,7230.1304,7230.1304,6984.1846,7197.055,7405.8843,7493.8306
41,7550.9,7161.113,7424.682,7531.171,7624.9307,7102.563,7271.821,7323.9697,7323.9697,7161.113,7363.48,7525.6987,7593.98
42,7569.94,7363.975,7543.505,7623.7563,7728.163,7269.9736,7367.1274,7424.2173,7424.2173,7363.975,7488.5015,7631.037,7700.557
43,7679.87,7494.476,7629.3203,7706.6255,7790.8667,7446.394,7469.0396,7529.172,7529.172,7494.476,7601.1724,7735.6035,7764.92
44,7795.6,7588.6714,7719.309,7768.318,8264.314,7585.73,7575.383,7616.466,7616.466,7588.6714,7710.83,7795.149,8238.66
45,7807.06,7682.228,7774.475,8132.4263,8559.479,7674.2754,7663.739,7884.5215,7884.5215,7682.228,7781.146,8281.345,8465.402
46,8801.04,7750.8984,8262,8518.9,8774.107,7739.4385,7942.3574,8097.1294,8097.1294,7750.8984,8180.334,8540.932,8668.205
47,8658.55,8155.5054,8572.055,8760.042,8922.338,8019.843,8161.779,8312.575,8312.575,8155.5054,8439.508,8759.137,8832.496
48,8864.77,8458.876,8770.822,8910.088,8955.933,8269.28,8378.123,8510.577,8510.577,8458.876,8667.316,8918.357,8879.114
49,8988.6,8692.827,8913.309,8951.056,8945.328,8541.539,8573.475,8646.015,8646.015,8692.827,8846.803,8946.792,8902.35
50,8897.47,8849.632,8924.227,8925.281,8968.92,8830.194,8703.767,8743.772,8743.772,8849.632,8913.122,8943.168,8952.151
51,8912.65,8891.811,8907.617,8934.654,9107.308,8859.249,8795.816,8827.264,8827.264,8891.811,8934.544,8969.886,9098.656
52,9003.07,8905.667,8938.06,9053.265,9518.717,8923.148,8873.841,8939.589,8939.589,8905.667,8966.234,9108.963,9489.925
53,9268.76,8934.159,9093.052,9420.158,9760.867,8953.887,8983.126,9169.055,9169.055,8934.159,9082.3,9520.104,9673.749
54,9951.52,9061.0625,9529.285,9748.421,9741.419,9016.443,9216.522,9347.414,9347.414,9061.0625,9422.082,9736.252,9650.621
