,sharp_lstmrl_15_3
0,0.031458892
1,0.05111511
2,0.06543969
3,0.077872515
4,0.089559786
5,0.101115555
6,0.112962656
7,0.1254379
8,0.13881598
9,0.15327446
10,0.16877759
11,0.18485351
12,0.20031688
13,0.21329325
14,0.22215882
15,0.22694755
16,0.22915533
17,0.23017743
18,0.23070444
19,0.23100476
20,0.23118803
21,0.23130639
22,0.23138672
23,0.23144388
24,0.23148622
25,0.23151852
26,0.23154387
27,0.23156415
28,0.23158067
29,0.23159444
30,0.2316059
31,0.23161559
32,0.23162392
33,0.23163104
34,0.23163721
35,0.23164254
36,0.23164727
37,0.23165146
38,0.23165509
39,0.23165844
40,0.23166142
41,0.231664
42,0.23166639
43,0.23166849
44,0.23167053
45,0.23167226
46,0.23167394
47,0.23167545
48,0.23167679
49,0.23167801
50,0.23167932
51,0.2316803
52,0.23168147
53,0.23168236
54,0.23168337
55,0.2316841
56,0.231685
57,0.23168576
58,0.23168647
59,0.23168722
60,0.23168789
61,0.23168845
62,0.23168914
63,0.23168966
64,0.2316902
65,0.23169076
66,0.23169139
67,0.2316918
68,0.23169243
69,0.23169285
70,0.23169331
71,0.23169376
72,0.23169422
73,0.23169464
74,0.23169507
75,0.23169556
76,0.23169598
77,0.23169638
78,0.2316968
79,0.23169714
80,0.23169753
81,0.23169787
82,0.23169832
83,0.23169866
84,0.23169903
85,0.23169938
86,0.23169975
87,0.23170011
88,0.23170036
89,0.23170082
90,0.2317011
91,0.23170143
92,0.23170178
93,0.23170215
94,0.23170249
95,0.23170274
96,0.23170309
97,0.23170337
98,0.23170365
99,0.23170404
100,0.23170431
101,0.23170458
102,0.23170492
103,0.2317052
104,0.23170547
105,0.2317058
106,0.23170608
107,0.23170628
108,0.23170656
109,0.23170683
110,0.23170719
111,0.23170744
112,0.23170762
113,0.23170799
114,0.23170824
115,0.23170845
116,0.23170875
117,0.231709
118,0.23170924
119,0.23170948
120,0.23170978
121,0.23171008
122,0.23171026
123,0.23171052
124,0.2317108
125,0.23171106
126,0.23171124
127,0.23171158
128,0.2317118
129,0.23171204
130,0.23171237
131,0.23171252
132,0.23171276
133,0.23171301
134,0.23171325
135,0.23171356
136,0.23171379
137,0.23171407
138,0.23171428
139,0.23171452
140,0.23171479
141,0.231715
142,0.2317153
143,0.23171552
144,0.2317158
145,0.23171604
146,0.23171633
147,0.2317165
148,0.23171684
149,0.23171704
150,0.23171733
151,0.23171757
152,0.23171788
153,0.23171815
154,0.23171836
155,0.23171866
156,0.23171885
157,0.23171921
158,0.23171942
