,sharp_grurl_5_1
0,0.007778675
1,0.030722404
2,0.051098034
3,0.06938315
4,0.085951135
5,0.10110712
6,0.11510342
7,0.12814637
8,0.14040399
9,0.15201253
10,0.16308275
11,0.17370513
12,0.18395483
13,0.19389474
14,0.20357823
15,0.21305108
16,0.22235279
17,0.231518
18,0.24057777
19,0.24956016
20,0.25849107
21,0.26739496
22,0.27629542
23,0.2852156
24,0.29417884
25,0.3032093
26,0.3123318
27,0.3215724
28,0.33095834
29,0.3405185
30,0.35028324
31,0.36028442
32,0.37055546
33,0.38113126
34,0.3920484
35,0.40334436
36,0.41505828
37,0.4272301
38,0.43990058
39,0.45311093
40,0.46690217
41,0.48131448
42,0.4963859
43,0.51215047
44,0.5286348
45,0.54585415
46,0.56380445
47,0.58245397
48,0.6017314
49,0.6215159
50,0.6416333
51,0.66186947
52,0.6820133
53,0.7019306
54,0.72164935
55,0.7413902
56,0.7614918
57,0.7822522
58,0.8037882
59,0.82600045
60,0.8486539
61,0.87150633
62,0.89440644
63,0.9173212
64,0.9403064
65,0.9634612
66,0.9868865
67,1.0106578
68,1.0348101
69,1.0593327
70,1.0841775
71,1.1092795
72,1.1345881
73,1.1600957
74,1.1858426
75,1.2118893
76,1.2382652
77,1.2649269
78,1.2917587
79,1.3186132
80,1.3453707
81,1.3719743
82,1.3984158
83,1.4246927
84,1.4507756
85,1.4766126
86,1.5021623
87,1.5274103
88,1.5523467
89,1.5769209
90,1.6010269
91,1.6245413
92,1.6473904
93,1.6695839
94,1.6911871
95,1.7122643
96,1.732848
97,1.752959
98,1.772625
99,1.7918608
100,1.8106445
101,1.8289413
102,1.846761
103,1.8641701
104,1.8812526
105,1.8980815
106,1.914723
107,1.9312333
108,1.9476174
109,1.9638273
110,1.9798133
111,1.9955531
112,2.0110354
113,2.0262704
114,2.0413017
115,2.0561655
116,2.0708623
117,2.085389
118,2.0997365
119,2.1138892
120,2.1278641
121,2.1416972
122,2.155414
123,2.169037
124,2.1825595
125,2.1959434
126,2.2091541
127,2.2221665
128,2.23496
129,2.2475119
130,2.25977
131,2.2716982
132,2.283323
133,2.2947237
134,2.3059926
135,2.3171911
136,2.328348
137,2.3394496
138,2.3504517
139,2.3613164
140,2.372033
141,2.382598
142,2.3929904
143,2.40321
144,2.4133105
145,2.4233792
146,2.4334846
147,2.4436705
148,2.453965
149,2.4643853
150,2.4749346
151,2.4856112
152,2.4964085
153,2.5073059
154,2.5182753
155,2.529302
156,2.5403714
157,2.551461
158,2.5625474
159,2.5736144
160,2.5846512
161,2.595661
162,2.6066465
163,2.6175983
164,2.628494
165,2.6392913
166,2.6499383
167,2.6603866
168,2.6705909
169,2.680533
170,2.6902246
171,2.6996946
172,2.7089818
173,2.7181168
174,2.7271302
175,2.736054
176,2.744912
177,2.7537096
178,2.7624166
179,2.77089
180,2.7786028
181,2.7850485
182,2.7927198
183,2.8038125
184,2.810812
185,2.8172112
186,2.8272698
187,2.8337271
188,2.8411703
189,2.8504534
190,2.856976
191,2.8664322
192,2.8760774
193,2.8862903
194,2.9000683
195,2.9113407
196,2.9223297
197,2.9342897
198,2.9441917
199,2.9530468
200,2.9608727
201,2.9684594
202,2.9755623
203,2.982373
204,2.9891124
205,2.9953203
206,3.0009654
207,3.007098
208,3.013373
209,3.0195441
210,3.0254657
211,3.031148
212,3.037299
213,3.0431225
214,3.0487854
215,3.054266
216,3.059586
217,3.0649295
218,3.069855
219,3.0749066
220,3.0800347
221,3.0851958
222,3.0902705
223,3.0952368
224,3.1001906
225,3.1050768
226,3.1098256
227,3.1145878
228,3.1193323
229,3.1240683
230,3.1287253
231,3.133358
232,3.1380274
233,3.1426299
234,3.1471934
235,3.1516726
236,3.1561322
237,3.1605117
238,3.164848
239,3.1691618
240,3.1734576
241,3.177704
242,3.1819246
243,3.1861274
244,3.190334
245,3.1945212
246,3.198727
247,3.2029512
248,3.2072082
249,3.2115088
250,3.2158833
251,3.2203398
252,3.2248561
253,3.2294016
254,3.2339342
255,3.2383935
256,3.2427518
257,3.2470033
258,3.2511523
259,3.2552023
260,3.259165
261,3.2630558
262,3.2668831
263,3.270651
264,3.2743678
265,3.2780342
266,3.2816544
267,3.2852395
268,3.2887945
269,3.292322
270,3.2958224
271,3.2992947
272,3.3027415
273,3.306167
274,3.3095846
275,3.3130085
276,3.3164577
277,3.3199568
278,3.3235338
279,3.3272245
280,3.3310764
281,3.335144
282,3.3394935
283,3.3442
284,3.34933
285,3.35491
286,3.360841
287,3.3668327
288,3.3725266
289,3.3778372
290,3.3830497
291,3.3884645
292,3.3941565
293,3.4000976
294,3.406329
295,3.4129286
296,3.419904
297,3.4272637
298,3.435384
299,3.445546
300,3.4608347
301,3.4813654
302,3.4947925
303,3.499944
304,3.506355
305,3.5147493
306,3.5289676
307,3.5319448
308,3.5393674
309,3.5422974
310,3.5491776
311,3.553089
312,3.5582056
313,3.5625927
314,3.5658813
315,3.571098
316,3.5751827
317,3.5790312
