,sharp_lstmrl_5_2
403,1.6586534
404,1.6589547
405,1.6592549
406,1.6595526
407,1.6598485
408,1.6601428
409,1.6604345
410,1.6607243
411,1.661012
412,1.6612974
413,1.6615814
414,1.6618627
415,1.6621424
416,1.6624199
417,1.6626961
418,1.6629702
419,1.6632426
420,1.6635132
421,1.6637821
422,1.6640491
423,1.6643147
424,1.6645781
425,1.6648399
426,1.6650993
427,1.6653566
428,1.6656115
429,1.6658638
430,1.6661127
431,1.666358
432,1.6665996
433,1.6668369
434,1.6670696
435,1.6672977
436,1.6675215
437,1.6677414
438,1.6679586
439,1.6681737
440,1.6683877
441,1.6686012
442,1.6688143
443,1.6690269
444,1.6692381
445,1.6694483
446,1.6696577
447,1.6698654
448,1.6700728
449,1.6702791
450,1.6704847
451,1.6706896
452,1.6708935
453,1.6710962
454,1.6712974
455,1.6714973
456,1.671696
457,1.6718925
458,1.6720881
459,1.6722823
460,1.6724755
461,1.6726675
462,1.6728586
463,1.6730489
464,1.673238
465,1.6734265
466,1.6736139
467,1.6738006
468,1.6739861
469,1.6741706
470,1.6743542
471,1.6745367
472,1.6747186
473,1.6748997
474,1.6750798
475,1.675259
476,1.6754379
477,1.6756154
478,1.6757928
479,1.6759689
480,1.6761441
481,1.676319
482,1.676493
483,1.6766669
484,1.6768395
485,1.6770122
486,1.6771837
487,1.6773548
488,1.6775256
489,1.6776959
490,1.6778656
491,1.6780354
492,1.6782047
493,1.6783736
494,1.6785429
495,1.6787118
496,1.6788812
497,1.6790507
498,1.6792208
499,1.6793916
500,1.6795634
501,1.6797364
502,1.6799109
503,1.6800877
504,1.6802667
505,1.6804491
506,1.6806356
507,1.6808274
508,1.6810249
509,1.6812311
510,1.6814469
511,1.681676
512,1.681921
513,1.6821878
514,1.6824822
515,1.682812
516,1.6831863
517,1.6836158
518,1.6841083
519,1.6846652
520,1.6852754
521,1.6859127
522,1.6865455
523,1.6871555
524,1.6877475
525,1.6883459
526,1.6889733
527,1.6896298
528,1.6902896
529,1.6909207
530,1.6915177
531,1.6921082
532,1.6927243
533,1.6933745
534,1.6940455
535,1.6947246
536,1.6954118
537,1.6961193
538,1.6968594
539,1.6976389
540,1.6984605
541,1.6993241
542,1.7002252
543,1.7011503
544,1.7020838
545,1.7030193
546,1.7039493
547,1.7048612
548,1.7057384
549,1.7065771
550,1.707377
551,1.7081339
552,1.7088472
553,1.709526
554,1.710174
555,1.7107517
556,1.7110084
557,1.7095068
558,1.7016363
559,1.675612
560,1.6943907
561,1.7101746
562,1.7115241
563,1.7017493
564,1.7037609
565,1.7129617
566,1.696413
567,1.7037004
568,1.7091265
569,1.6969653
570,1.7143912
571,1.7084721
572,1.713859
573,1.7157142
574,1.7119439
575,1.7178364
