,Prices_10_3,Strategy_Returns_10_3,F_t_10_3
0,495.77,-0.04,0.0
1,487.92,3.3400002,1.0
2,491.3,12.5,1.0
3,500.46,-26.509998,1.0
4,461.45,-29.359999,1.0
5,458.6,-51.569996,1.0
6,436.39,-47.67,1.0
7,440.29,-40.749996,1.0
8,447.21,-40.319996,1.0
9,447.64,-30.199997,1.0
10,457.76,-38.579998,1.0
11,449.38,-50.199997,1.0
12,437.76,-51.559998,1.0
13,436.4,-54.479996,1.0
14,433.48,-58.999996,1.0
15,428.96,-49.14,1.0
16,438.82,-47.789997,1.0
17,440.17,-38.499996,1.0
18,449.46,-33.53,1.0
19,454.43,-49.07,1.0
20,438.89,-46.499996,1.0
21,441.46,-47.289997,1.0
22,440.67,-43.989998,1.0
23,443.97,-40.71,1.0
24,447.25,-39.899998,1.0
25,448.06,-39.059998,1.0
26,448.9,-41.699997,1.0
27,446.26,-41.78,1.0
28,446.18,-2.2399971,1.0
29,485.72,3.810003,1.0
30,491.77,36.620003,1.0
31,524.58,32.260006,1.0
32,520.22,37.180004,1.0
33,525.14,83.630005,1.0
34,571.59,95.46001,1.0
35,583.42,83.28001,1.0
36,571.24,89.100006,1.0
37,577.06,80.22,1.0
38,568.18,127.37,1.0
39,615.33,135.72,1.0
40,623.68,142.27,1.0
41,630.23,172.66,1.0
42,660.62,179.64,1.0
43,667.6,153.65001,1.0
44,641.61,171.3,1.0
45,659.26,165.74,1.0
46,653.7,167.01001,1.0
47,654.97,168.18001,1.0
48,656.14,161.20001,1.0
49,649.16,165.19,1.0
50,653.15,145.06001,1.0
51,633.02,98.990005,1.0
52,586.95,112.200005,1.0
53,600.16,89.40001,1.0
54,577.36,104.98001,1.0
55,592.94,104.23001,1.0
56,592.19,122.90001,1.0
57,610.86,120.00001,1.0
58,607.96,110.11001,1.0
59,598.07,106.19001,1.0
60,594.15,107.03001,1.0
61,594.99,114.310005,1.0
62,602.27,106.020004,1.0
63,593.98,94.40001,1.0
64,582.36,78.380005,1.0
65,566.34,93.18001,1.0
66,581.14,109.30001,1.0
67,597.26,108.59001,1.0
68,596.55,114.76001,1.0
69,602.72,151.84001,1.0
70,639.8,152.85,1.0
71,640.81,162.92001,1.0
72,650.88,157.20001,1.0
73,645.16,142.73001,1.0
74,630.69,143.50002,1.0
75,631.46,147.85,1.0
76,635.81,136.13,1.0
77,624.09,136.86002,1.0
78,624.82,136.55,1.0
79,624.51,128.8,1.0
80,616.76,144.04001,1.0
81,632.0,145.75002,1.0
82,633.71,138.54001,1.0
83,626.5,131.36002,1.0
84,619.32,133.63,1.0
85,621.59,128.84001,1.0
86,616.8,135.13,1.0
87,623.09,140.82,1.0
88,628.78,140.56001,1.0
89,628.52,135.94,1.0
90,623.9,134.25002,1.0
91,622.21,133.59001,1.0
92,621.55,131.45001,1.0
93,619.41,113.77001,1.0
94,601.73,113.13001,1.0
95,601.09,107.850006,1.0
96,595.81,105.89001,1.0
97,593.85,97.73001,1.0
98,585.69,96.76001,1.0
99,584.72,79.33001,1.0
100,567.29,98.27001,1.0
101,586.23,106.96001,1.0
102,594.92,101.37001,1.0
103,589.33,98.71001,1.0
104,586.67,100.82001,1.0
105,588.78,97.48001,1.0
106,585.44,96.69001,1.0
107,584.65,100.91001,1.0
108,588.87,104.62001,1.0
109,592.58,101.41001,1.0
110,589.37,103.100006,1.0
111,591.06,88.41001,1.0
112,576.37,81.68001,1.0
113,569.64,58.70001,1.0
114,546.66,18.01001,1.0
115,505.97,9.050011,1.0
116,497.01,31.750011,1.0
117,519.71,3.8400116,1.0
118,491.8,-26.499989,1.0
119,461.46,-2.7199879,1.0
120,485.24,24.020012,1.0
121,511.98,29.280012,1.0
122,517.24,26.080011,1.0
123,514.04,10.120012,1.0
124,498.08,20.330011,1.0
125,508.29,14.540012,1.0
126,502.5,23.610012,1.0
127,511.57,23.190012,1.0
128,511.15,19.860012,1.0
129,507.82,20.56001,1.0
130,508.52,16.290012,1.0
131,504.25,-10.199988,1.0
132,477.76,-13.0799885,1.0
133,474.88,-10.529988,1.0
134,477.43,-10.369988,1.0
135,477.59,1.7000116,1.0
136,489.66,-4.6199884,1.0
137,483.34,-3.1299884,1.0
138,484.83,-5.6799884,1.0
139,482.28,-13.359988,1.0
140,474.6,-12.699988,1.0
141,475.26,-8.599988,1.0
142,479.36,-8.209989,1.0
143,479.75,-10.209989,1.0
144,477.75,-8.959989,1.0
145,479.0,-10.069988,1.0
146,477.89,-12.589989,1.0
147,475.37,-21.899988,1.0
148,466.06,-30.629988,1.0
149,457.33,-63.51999,1.0
150,424.44,-93.15999,1.0
151,394.8,-79.05999,1.0
152,408.9,-89.139984,1.0
153,398.82,-85.80999,1.0
154,402.15,-52.169987,1.0
155,435.79,-64.75999,1.0
156,423.2,-76.389984,1.0
157,411.57,-83.539986,1.0
158,404.42,-88.43999,1.0
159,399.52,-110.77999,1.0
160,377.18,-112.48999,1.0
161,375.47,-101.01999,1.0
162,386.94,-104.34999,1.0
163,383.61,-112.889984,1.0
164,375.07,-128.44998,1.0
165,359.51,-159.08998,1.0
166,328.87,-167.44998,1.0
167,320.51,-157.87999,1.0
168,330.08,-151.76999,1.0
169,336.19,-135.01999,1.0
170,352.94,-122.929985,1.0
171,365.03,-126.39999,1.0
172,361.56,-125.65999,1.0
173,362.3,-109.40999,1.0
174,378.55,-97.54999,1.0
175,390.41,-87.08999,1.0
176,400.87,-93.18999,1.0
177,394.77,-105.39999,1.0
178,382.56,-104.19999,1.0
179,383.76,-96.51999,1.0
180,391.44,-98.40999,1.0
181,389.55,-105.109985,1.0
182,382.85,-101.47999,1.0
183,386.48,-104.79999,1.0
184,383.16,-129.54,1.0
185,358.42,-129.60999,1.0
186,358.35,-140.68999,1.0
187,347.27,-133.26,1.0
188,354.7,-134.96999,1.0
189,352.99,-130.33998,1.0
190,357.62,-152.37,1.0
191,335.59,-142.65999,1.0
192,345.3,-149.63998,1.0
193,338.32,-162.20999,1.0
194,325.75,-162.06999,1.0
195,325.89,-160.40999,1.0
196,327.55,-157.46999,1.0
197,330.49,-148.46999,1.0
198,339.49,-138.66998,1.0
199,349.29,-145.54,1.0
200,342.42,-142.46999,1.0
201,345.49,-124.69999,1.0
202,363.26,-121.039986,1.0
203,366.92,-120.25999,1.0
204,367.7,-64.39999,1.0
205,423.56,-67.22999,1.0
206,420.73,-90.139984,1.0
207,397.82,-111.82999,1.0
208,376.13,-100.07999,1.0
209,387.88,-100.54999,1.0
210,387.41,-112.75999,1.0
211,375.2,-107.40999,1.0
212,380.55,-130.11998,1.0
213,357.84,-137.10999,1.0
214,350.85,-135.03998,1.0
215,352.92,-120.389984,1.0
216,367.57,-111.05998,1.0
217,376.9,-112.609985,1.0
218,375.35,-119.58999,1.0
219,368.37,-118.289986,1.0
220,369.67,-111.50999,1.0
221,376.45,-112.469986,1.0
222,375.49,-109.90999,1.0
223,378.05,-108.719986,1.0
224,379.24,-106.639984,1.0
225,381.32,-112.94999,1.0
226,375.01,-118.359985,1.0
227,369.6,-111.109985,1.0
228,376.85,-113.16998,1.0
229,374.79,-112.859985,1.0
230,375.1,-126.04999,1.0
231,361.91,-135.73999,1.0
232,352.22,-141.59999,1.0
233,346.36,-137.44998,1.0
234,350.51,-135.41998,1.0
235,352.54,-140.57999,1.0
236,347.38,-136.32999,1.0
237,351.63,-142.60999,1.0
238,345.35,-160.89998,1.0
239,327.06,-168.18,1.0
240,319.78,-176.55998,1.0
241,311.4,-170.11998,1.0
242,317.84,-157.99998,1.0
243,329.96,-167.11998,1.0
244,320.84,-156.06999,1.0
245,331.89,-153.38998,1.0
246,334.57,-165.43,1.0
247,322.53,-168.94998,1.0
248,319.01,-160.03998,1.0
249,327.92,-172.09999,1.0
250,315.86,-170.71999,1.0
251,317.24,-175.29,1.0
252,312.67,-177.21999,1.0
253,310.74,-167.76999,1.0
254,320.19,-173.70999,1.0
255,314.25,-172.93,1.0
256,315.03,-206.87999,1.0
257,281.08,-223.75998,1.0
258,264.2,-213.48999,1.0
259,274.47,-201.76999,1.0
260,286.19,-193.61998,1.0
261,294.34,-204.60999,1.0
262,283.35,-197.54999,1.0
263,290.41,-213.15999,1.0
264,274.8,-222.29999,1.0
