,sharp_lstmrl_10_2
0,0.067684755
1,0.0808994
2,0.092210725
3,0.10233792
4,0.111703515
5,0.12058259
6,0.12916994
7,0.13761424
8,0.14603475
9,0.15452963
10,0.16318029
11,0.17205232
12,0.18119262
13,0.19062306
14,0.20032983
15,0.21024844
16,0.22024639
17,0.23011063
18,0.23955473
19,0.24826765
20,0.2560217
21,0.2628162
22,0.26896772
23,0.27505916
24,0.28177184
25,0.28969842
26,0.29921848
27,0.31050408
28,0.32367936
29,0.33899823
30,0.35681134
31,0.37727112
32,0.39998063
33,0.42388928
34,0.44764882
35,0.47034302
36,0.49208018
37,0.51395327
38,0.53734136
39,0.5626793
40,0.58775
41,0.60791963
42,0.6230852
43,0.6394938
44,0.65927964
45,0.6770943
46,0.6985153
47,0.7286401
48,0.75336987
49,0.77057326
50,0.7895428
51,0.8123966
52,0.837152
53,0.85816044
54,0.879126
55,0.91178995
56,0.93676776
57,0.96410596
58,0.99578786
59,1.0241044
60,1.0586109
61,1.0872723
62,1.1208872
63,1.1489305
64,1.1703048
65,1.1998202
66,1.2286663
67,1.2539436
68,1.2762595
69,1.2954656
70,1.3102802
71,1.3251317
72,1.3366137
73,1.3461114
74,1.3541939
75,1.3618724
76,1.3694777
77,1.3776054
78,1.3864721
79,1.3946166
80,1.4024365
81,1.4104416
82,1.4182013
83,1.4263052
84,1.4354136
85,1.4447913
86,1.4549444
87,1.4638668
88,1.4729422
89,1.4801167
90,1.4851608
91,1.4905181
92,1.4947224
93,1.4992269
94,1.5030477
95,1.5063555
96,1.5092745
97,1.5121803
98,1.5143684
99,1.5165573
100,1.5180193
101,1.5195938
102,1.5210838
103,1.5226982
104,1.5243217
105,1.5257591
106,1.5273018
107,1.5283519
108,1.529586
109,1.5309781
110,1.5322523
111,1.5331594
112,1.5341889
113,1.5352963
114,1.5367126
115,1.5378599
116,1.5387672
117,1.5398343
118,1.540901
119,1.5420306
120,1.5431613
121,1.5441281
122,1.5451756
123,1.5463054
124,1.5473313
125,1.5482519
126,1.5491401
127,1.549945
128,1.5506957
129,1.5514417
130,1.5521803
131,1.5528995
132,1.5535914
133,1.5542406
134,1.5548555
135,1.5554595
136,1.5560545
137,1.5566214
138,1.5571444
139,1.5576273
140,1.5580812
141,1.5585092
142,1.5589097
143,1.5592859
144,1.5596452
145,1.5599921
146,1.5603224
147,1.5606304
148,1.5609182
149,1.5611924
150,1.5614581
151,1.5617175
152,1.5619721
153,1.5622265
154,1.5624927
155,1.5627949
156,1.5631856
157,1.5637741
158,1.5646398
159,1.5657184
160,1.5669656
161,1.5680579
162,1.5691617
163,1.5701073
164,1.5706046
165,1.5707921
166,1.5706317
167,1.5708176
168,1.571875
169,1.5736781
170,1.5736332
171,1.5732344
172,1.5741479
173,1.5747843
174,1.5744339
175,1.5754617
176,1.5764562
177,1.5764623
178,1.5772513
179,1.577571
180,1.5778239
181,1.5783389
182,1.5785497
183,1.5790792
184,1.5793777
185,1.5796839
186,1.5801183
187,1.5805154
188,1.5810344
189,1.5814438
190,1.5821447
191,1.5828353
192,1.5840336
193,1.5855582
194,1.5881963
195,1.592266
196,1.5985
197,1.6057189
198,1.6038116
199,1.5828508
200,1.5990065
201,1.6085341
202,1.4849622
203,1.546391
204,1.4914631
205,1.4212105
206,1.3141192
207,1.3485979
208,1.5068827
209,1.5174754
210,1.2755067
211,1.3276119
212,1.3792609
213,1.5423539
214,1.5196462
215,1.5342442
216,1.5624555
217,1.570579
218,1.5875221
219,1.561538
220,1.5852331
221,1.596805
222,1.5994219
223,1.6035564
224,1.606112
225,1.6121505
226,1.6222495
227,1.6362189
228,1.6443439
229,1.6381569
230,1.6400816
231,1.6514796
232,1.6531986
233,1.6513989
234,1.653901
235,1.6565486
236,1.656841
237,1.6588157
238,1.6612904
239,1.6611043
240,1.6598084
