,sharp_rrl_15_1
408,3.0911741
409,3.0917585
410,3.0923285
411,3.0929112
412,3.0934649
413,3.0939925
414,3.0945747
415,3.095062
416,3.0956047
417,3.0961177
418,3.096616
419,3.0971208
420,3.0976136
421,3.0981047
422,3.0985703
423,3.0990598
424,3.0995135
425,3.0999744
426,3.1004353
427,3.1008766
428,3.101324
429,3.10176
430,3.1021945
431,3.102617
432,3.1030438
433,3.10346
434,3.1038704
435,3.104283
436,3.1046834
437,3.105084
438,3.105479
439,3.1058698
440,3.1062567
441,3.1066394
442,3.1070192
443,3.1073928
444,3.107766
445,3.108134
446,3.1084983
447,3.1088607
448,3.109218
449,3.109573
450,3.1099246
451,3.1102736
452,3.110619
453,3.110962
454,3.111302
455,3.111639
456,3.1119738
457,3.1123059
458,3.1126354
459,3.112962
460,3.1132867
461,3.1136086
462,3.1139286
463,3.114246
464,3.1145613
465,3.1148744
466,3.1151853
467,3.1154943
468,3.1158013
469,3.1161063
470,3.1164095
471,3.1167107
472,3.1170099
473,3.1173074
474,3.1176033
475,3.1178973
476,3.1181898
477,3.1184807
478,3.1187696
479,3.1190577
480,3.1193433
481,3.1196277
482,3.1199107
483,3.120192
484,3.120472
485,3.1207507
486,3.1210272
487,3.1213024
488,3.1215768
489,3.1218488
490,3.1221204
491,3.1223898
492,3.122658
493,3.122925
494,3.1231904
495,3.1234546
496,3.123717
497,3.123979
498,3.1242383
499,3.124498
500,3.124755
501,3.1250114
502,3.125266
503,3.1255205
504,3.1257734
505,3.1260257
506,3.1262772
507,3.1265273
508,3.1267776
509,3.127027
510,3.1272767
511,3.1275263
512,3.1277761
513,3.1280277
514,3.1282802
515,3.128537
516,3.128798
517,3.129067
518,3.1293466
519,3.1296456
520,3.1299727
521,3.1303442
522,3.1307735
523,3.1312544
524,3.13174
525,3.1321647
526,3.1325068
527,3.1328096
528,3.133129
529,3.1334865
530,3.13387
531,3.134263
532,3.1346548
533,3.1350417
534,3.1354377
535,3.1358798
536,3.1364536
537,3.1374469
538,3.1402032
539,3.1452308
540,3.1502497
541,3.1533358
542,3.1529229
543,3.1543884
544,3.1563416
545,3.1572003
546,3.1579285
547,3.1589596
548,3.1594753
549,3.1606526
550,3.161626
551,3.1628275
552,3.1635976
553,3.1644745
554,3.1647837
555,3.1654785
556,3.1658869
557,3.1666586
558,3.1675086
559,3.1682773
560,3.169251
561,3.169846
562,3.170693
563,3.1712835
564,3.1722164
565,3.1730943
566,3.1740773
567,3.1750665
568,3.1759012
569,3.176887
570,3.1777012
571,3.178586
572,3.1793172
573,3.180015
574,3.1806734
575,3.1813133
576,3.1819496
577,3.1825573
578,3.183152
579,3.1836932
580,3.1842363
581,3.184702
582,3.1851692
583,3.1855886
584,3.1859999
585,3.1864195
586,3.1868153
587,3.1872182
588,3.1875904
589,3.1879559
590,3.1883075
591,3.1886497
592,3.188983
593,3.1893003
594,3.1896122
595,3.1899102
596,3.1902115
597,3.1905038
598,3.1907952
599,3.1910815
600,3.1913593
601,3.1916378
602,3.1919096
603,3.1921816
604,3.1924496
605,3.1927168
606,3.1929817
607,3.1932466
608,3.19351
609,3.1937728
610,3.1940353
611,3.1942973
612,3.194561
613,3.194824
614,3.1950872
615,3.1953492
616,3.195611
617,3.195872
618,3.1961324
619,3.1963904
620,3.1966455
621,3.1968977
622,3.197146
623,3.1973915
624,3.197634
625,3.1978755
626,3.1981144
627,3.1983528
628,3.1985886
629,3.1988227
630,3.1990557
631,3.1992855
632,3.1995134
633,3.1997395
634,3.1999626
635,3.2001846
636,3.2004032
637,3.2006202
638,3.2008348
639,3.2010467
640,3.2012568
641,3.2014651
642,3.2016711
643,3.2018754
644,3.2020786
645,3.20228
646,3.2024808
647,3.2026803
648,3.2028794
649,3.203077
650,3.2032745
651,3.203471
652,3.2036674
653,3.203864
654,3.2040608
