,Prices_15_3,Strategy_Returns_15_3,F_t_15_3
0,458.6,-0.03999844,0.0
1,436.39,3.8598492,0.99996096
2,440.29,10.779579,0.99996096
3,447.21,11.209562,0.99996096
4,447.64,21.329166,0.99996096
5,457.76,12.949494,0.99996096
6,449.38,1.3299484,0.99996096
7,437.76,-0.029998597,0.99996096
8,436.4,-2.9498847,0.99996096
9,433.48,-7.4697084,0.99996096
10,428.96,2.3899062,0.99996096
11,438.82,3.7398534,0.99996096
12,440.17,13.029491,0.99996096
13,449.46,17.999296,0.99996096
14,454.43,2.4599032,0.99996096
15,438.89,5.029803,0.99996096
16,441.46,4.239834,0.99996096
17,440.67,7.539705,0.99996096
18,443.97,10.819577,0.99996096
19,447.25,11.629545,0.99996096
20,448.06,12.469512,0.99996096
21,448.9,9.829616,0.99996096
22,446.26,9.749619,0.99996096
23,446.18,49.288074,0.99996096
24,485.72,55.337837,0.99996096
25,491.77,88.14656,0.99996096
26,524.58,83.78673,0.99996096
27,520.22,88.706535,0.99996096
28,525.14,135.15472,0.99996096
29,571.59,146.98427,0.99996096
30,583.42,134.80473,0.99996096
31,571.24,140.62451,0.99996096
32,577.06,131.74486,0.99996096
33,568.18,178.89302,0.99996096
34,615.33,187.24269,0.99996096
35,623.68,193.79243,0.99996096
36,630.23,224.18124,0.99996096
37,660.62,231.16098,0.99996096
38,667.6,205.172,0.99996096
39,641.61,222.8213,0.99996096
40,659.26,217.26152,0.99996096
41,653.7,218.53146,0.99996096
42,654.97,219.70143,0.99996096
43,656.14,212.7217,0.99996096
44,649.16,216.71155,0.99996096
45,653.15,196.58232,0.99996096
46,633.02,150.51413,0.99996096
47,586.95,163.7236,0.99996096
48,600.16,140.9245,0.99996096
49,577.36,156.50389,0.99996096
50,592.94,155.75392,0.99996096
51,592.19,174.42319,0.99996096
52,610.86,171.5233,0.99996096
53,607.96,161.6337,0.99996096
54,598.07,157.71385,0.99996096
55,594.15,158.55382,0.99996096
56,594.99,165.83353,0.99996096
57,602.27,157.54385,0.99996096
58,593.98,145.9243,0.99996096
59,582.36,129.90494,0.99996096
60,566.34,144.70435,0.99996096
61,581.14,160.82373,0.99996096
62,597.26,160.11375,0.99996096
63,596.55,166.28351,0.99996096
64,602.72,203.36206,0.99996096
65,639.8,204.37202,0.99996096
66,640.81,214.44164,0.99996096
67,650.88,208.72186,0.99996096
68,645.16,194.25243,0.99996096
69,630.69,195.0224,0.99996096
70,631.46,199.37222,0.99996096
71,635.81,187.65268,0.99996096
72,624.09,188.38264,0.99996096
73,624.82,188.07266,0.99996096
74,624.51,180.32297,0.99996096
75,616.76,195.56238,0.99996096
76,632.0,197.27231,0.99996096
77,633.71,190.06259,0.99996096
78,626.5,182.88287,0.99996096
