,sharp_rrl_20_3
0,0.08234714
1,0.19539876
2,0.2726214
3,0.33904314
4,0.4044813
5,0.47023413
6,0.5317475
7,0.5840251
8,0.62621546
9,0.661806
10,0.6967377
11,0.737307
12,0.7877636
13,0.8474016
14,0.9083477
15,0.95939094
16,0.9994398
17,1.0419291
18,1.0921315
19,1.135644
20,1.1636719
21,1.1898408
22,1.2164371
23,1.2491925
24,1.2886792
25,1.3178786
26,1.3341596
27,1.3493721
28,1.3698634
29,1.3907291
30,1.4226365
31,1.4438927
32,1.4658519
33,1.4784555
34,1.4932501
35,1.5094562
36,1.5294889
37,1.5501522
38,1.569143
39,1.586456
40,1.6033726
41,1.6197202
42,1.6375464
43,1.6571938
44,1.6751374
45,1.694182
46,1.7006047
47,1.6734277
48,1.7650968
49,1.7206243
50,1.76587
51,1.7759769
52,1.825537
53,1.8111
54,1.8394928
55,1.8223401
56,1.8639973
57,1.8400801
58,1.8771658
59,1.8579118
60,1.8837752
61,1.8815502
62,1.8899938
63,1.8954854
64,1.9008949
65,1.9054437
66,1.9127793
67,1.914527
68,1.9239366
69,1.923386
70,1.935403
71,1.9311073
72,1.9423814
73,1.9438243
74,1.9526716
75,1.9580792
76,1.9613503
77,1.9717754
78,1.9747723
79,1.980313
80,1.9868071
81,1.9931408
82,1.9922014
83,1.9996201
84,2.0049248
85,2.0096438
86,2.0097346
87,2.0157049
88,2.02145
89,2.023052
90,2.0253599
91,2.0287554
92,2.0351362
93,2.0373642
94,2.039727
95,2.0405524
96,2.044665
97,2.0468187
98,2.0496988
99,2.0488815
100,2.0439174
101,2.0256696
102,2.0389476
103,2.0456662
104,2.0700495
105,2.079343
106,2.0735419
107,2.0586648
108,2.024399
109,2.0823705
110,2.0896733
111,2.059561
112,2.0750003
113,2.1010332
114,2.0976067
115,2.089492
116,2.1047795
117,2.1122136
118,2.1056552
119,2.1131926
120,2.1208198
121,2.1199155
122,2.120217
123,2.1245098
124,2.1323242
125,2.133875
126,2.1312966
127,2.1331134
128,2.1338077
129,2.1349492
130,2.1459577
131,2.1479912
132,2.1440816
133,2.1525354
134,2.155847
135,2.1558871
136,2.1576574
137,2.1589758
138,2.1620884
139,2.1651728
140,2.1674454
141,2.1696134
142,2.1707513
143,2.171483
144,2.1703546
145,2.1632974
146,2.149163
147,2.1256
148,2.15478
149,2.163293
150,2.1699002
151,2.1791587
152,2.169067
153,2.1763308
154,2.1786687
155,2.17655
156,2.1816008
157,2.1802797
158,2.1848164
159,2.1815522
160,2.187062
161,2.1849575
162,2.1878448
163,2.1875405
164,2.1885264
165,2.1892843
166,2.1897335
167,2.1909482
168,2.1911469
169,2.1914966
170,2.1923742
171,2.1922858
172,2.1933417
173,2.193525
174,2.1938057
175,2.1946075
176,2.1943548
177,2.1953528
178,2.195117
179,2.1958814
180,2.1958926
181,2.1963472
182,2.1966143
183,2.1967602
184,2.1971753
185,2.1972032
186,2.1976628
187,2.1976979
188,2.1980574
189,2.198149
190,2.1983974
191,2.1985555
192,2.198759
193,2.1989305
194,2.19914
195,2.1992686
196,2.1994843
197,2.1995833
198,2.1998007
199,2.199906
200,2.2001045
201,2.2002237
202,2.2003906
203,2.2005162
204,2.2006648
205,2.2007897
206,2.2009325
207,2.2010484
208,2.2011862
209,2.2012932
210,2.2014232
211,2.2015316
212,2.2016497
213,2.2017598
214,2.2018647
215,2.201976
216,2.2020738
217,2.2021813
218,2.202277
219,2.2023768
220,2.202473
221,2.2025676
222,2.2026625
223,2.2027562
224,2.2028506
225,2.2029474
226,2.2030458
227,2.2031503
228,2.203267
229,2.2034004
230,2.2035668
231,2.2037742
232,2.2040253
233,2.20429
234,2.2045176
235,2.2046814
236,2.2047963
237,2.2049093
238,2.2050536
239,2.2052326
240,2.2054193
241,2.2055907
242,2.2057345
243,2.2058556
244,2.2059658
245,2.2060745
246,2.20619
247,2.2063122
248,2.2064366
249,2.206559
250,2.2066727
251,2.2067761
252,2.2068698
253,2.2069578
254,2.2070434
255,2.2071297
256,2.207218
257,2.2073076
258,2.207396
259,2.2074819
260,2.2075655
261,2.207647
262,2.2077296
263,2.2078156
264,2.2079086
265,2.2080145
266,2.2081428
267,2.2083163
268,2.2085915
269,2.2091434
270,2.2104833
271,2.2123592
272,2.2138622
273,2.213975
274,2.2123833
275,2.1954968
276,2.0331683
277,1.6434373
278,1.4762362
279,1.5245861
280,1.6610802
281,1.7154363
282,1.2064483
283,1.6649281
284,1.5600846
285,1.6301636
286,1.5386025
287,1.4594768
288,1.5485975
289,1.6259742
290,1.6919835
291,1.7189527
292,1.6879611
293,1.6713679
294,1.7283368
295,1.7514396
296,1.7954205
297,1.8178174
298,1.8180283
299,1.823346
300,1.8258883
301,1.8234999
302,1.8240844
303,1.8290106
304,1.8349724
305,1.8483374
306,1.8544862
307,1.8557025
308,1.8687218
309,1.8726118
310,1.8748473
311,1.8847078
312,1.8918566
313,1.8976376
314,1.9026229
315,1.9091779
316,1.912497
317,1.91617
318,1.9209248
319,1.9286152
320,1.9393326
321,1.9571482
322,1.9732841
323,1.9709954
324,2.0036826
325,1.9935173
326,2.0127904
327,1.9953336
328,1.990706
329,2.0783281
330,2.0959423
331,2.081759
332,2.0669339
333,2.1070306
334,2.097928
335,2.132374
336,2.1574206
337,2.1174257
338,2.16882
339,2.1338866
340,2.1270049
341,2.098628
342,2.1305962
343,2.1235497
344,2.1157577
345,2.1818144
346,2.1672122
347,2.16433
348,2.1963289
349,2.1953278
350,2.2173522
351,2.2071881
352,2.2306063
353,2.2250838
354,2.2255437
355,2.240042
356,2.2324574
357,2.2422154
358,2.2387118
359,2.2446992
360,2.242259
361,2.2505584
362,2.2481656
363,2.2531695
364,2.2560282
365,2.2596385
366,2.262001
367,2.2681541
368,2.2704952
369,2.274221
370,2.2749324
371,2.279024
372,2.2813256
373,2.2832737
374,2.2847333
375,2.2842896
376,2.2861476
377,2.2861228
378,2.287617
379,2.2882698
380,2.2889197
381,2.2899814
382,2.2901824
383,2.2910922
384,2.2916641
385,2.2920568
386,2.2923641
387,2.2925873
388,2.2929103
389,2.29301
390,2.2932854
391,2.2937386
392,2.2939537
393,2.2941918
394,2.29447
395,2.2946267
396,2.294804
397,2.2949715
398,2.295121
399,2.2953155
400,2.2954593
401,2.2955596
402,2.2957015
403,2.2958374
404,2.2959352
405,2.2960443
406,2.2961621
407,2.2962604
408,2.2963622
409,2.2964694
410,2.2965539
411,2.2966275
412,2.29671
413,2.296789
414,2.2968552
415,2.296922
416,2.2969964
417,2.2970665
418,2.2971318
419,2.2971969
420,2.2972627
421,2.2973228
422,2.2973795
423,2.2974377
424,2.297497
425,2.2975545
426,2.2976108
427,2.2976701
428,2.2977326
429,2.2977934
430,2.2978523
431,2.2979116
432,2.2979722
433,2.2980292
434,2.2980833
435,2.298137
436,2.2981884
437,2.2982361
438,2.2982826
439,2.2983286
440,2.2983708
441,2.2984104
442,2.2984493
443,2.2984858
444,2.2985198
445,2.2985537
446,2.2985861
447,2.2986174
448,2.2986474
449,2.2986772
450,2.2987063
451,2.2987337
452,2.2987607
453,2.2987862
454,2.2988117
455,2.2988362
456,2.2988594
457,2.2988827
458,2.298905
459,2.2989268
460,2.2989483
461,2.2989693
462,2.29899
463,2.2990098
464,2.2990294
465,2.2990491
466,2.299068
467,2.299086
468,2.2991047
469,2.2991228
470,2.2991407
471,2.2991583
472,2.2991757
473,2.2991934
474,2.2992105
475,2.2992272
476,2.2992446
477,2.299262
478,2.2992802
479,2.2992985
480,2.299318
481,2.2993398
482,2.2993667
483,2.2994049
484,2.299478
485,2.299733
486,2.3020475
487,2.2911649
488,2.257033
489,2.2972276
490,2.2608738
491,2.287092
492,2.2727132
493,2.293119
494,2.2608635
495,2.2971063
496,2.257735
497,2.275007
498,2.1942635
499,2.2053423
500,2.2593784
501,2.2848175
502,2.1385212
503,1.9579327
504,2.0266569
505,2.2246203
506,2.0842583
507,1.9648855
508,2.1851344
509,1.961087
510,1.8393576
511,1.7098322
512,1.7915666
513,1.9567854
514,1.878266
515,1.8459952
516,1.7346447
517,1.7212298
518,1.7158605
519,1.7928016
520,1.761556
521,1.7898912
522,1.8469257
523,1.8337318
524,1.8351889
525,1.8779496
526,1.8974869
527,1.9495522
528,1.997421
529,2.1089385
530,2.1657634
531,2.2228138
532,2.1165433
533,2.2068925
534,2.228685
535,2.2163348
536,2.2097166
537,2.2372463
538,2.2297354
539,2.2457128
540,2.2674553
541,2.2886548
542,2.2994432
543,2.3162298
544,2.297208
545,2.3257391
546,2.3344555
547,2.3418777
548,2.3454816
549,2.3422585
550,2.348493
551,2.363501
552,2.341698
553,2.3859565
554,2.3844125
555,2.3885891
556,2.401002
557,2.4035928
558,2.4085462
559,2.4134684
560,2.4117007
561,2.4182773
562,2.4244492
563,2.4404802
564,2.451273
565,2.4524078
566,2.456497
567,2.4595828
568,2.4589026
569,2.464588
570,2.464359
571,2.4631643
572,2.4672217
573,2.469648
574,2.472453
575,2.4722872
576,2.4724023
577,2.473193
578,2.4741795
579,2.4756515
580,2.4770226
581,2.477807
582,2.478163
583,2.478415
584,2.478962
585,2.4799802
586,2.4817138
587,2.4839947
588,2.484815
589,2.4850736
590,2.4851983
591,2.4858108
592,2.4864078
593,2.4865324
594,2.4863982
595,2.4865308
596,2.486949
597,2.4871848
598,2.4872346
599,2.4873097
600,2.4875116
601,2.4877636
602,2.4878988
603,2.4879034
604,2.4879415
605,2.488117
606,2.4883587
607,2.4885612
608,2.4887102
609,2.4888744
610,2.4891505
611,2.489626
612,2.490377
613,2.4913304
614,2.4920492
615,2.4924285
616,2.4927902
617,2.4932625
618,2.494047
619,2.4955118
620,2.4975288
621,2.4991174
622,2.4999752
623,2.50046
624,2.5004468
625,2.5002544
626,2.5003903
627,2.5008287
628,2.5011702
629,2.5013561
630,2.5015857
631,2.5019326
632,2.5022905
633,2.5025449
634,2.502673
635,2.502725
636,2.502767
637,2.5028331
638,2.5029128
639,2.5029862
640,2.5030448
641,2.5030925
642,2.5031369
643,2.5031874
644,2.5032496
645,2.503327
646,2.503413
647,2.5034993
648,2.5035787
649,2.5036457
650,2.503702
651,2.5037494
652,2.5037923
653,2.5038345
654,2.5038762
655,2.5039177
656,2.503957
657,2.5039933
658,2.504027
659,2.5040586
660,2.5040917
661,2.5041292
662,2.5041728
663,2.5042286
664,2.5043018
665,2.5044074
666,2.5045853
667,2.5049546
668,2.5059104
669,2.5074992
670,2.5077415
671,2.5078793
672,2.5081844
673,2.5082042
674,2.5079665
675,2.5077977
676,2.507981
677,2.5083246
678,2.5084903
679,2.50844
680,2.5084586
681,2.508673
682,2.50888
683,2.5089593
684,2.5089495
685,2.5089338
686,2.5089688
687,2.5090513
688,2.5091393
689,2.5091915
690,2.5092006
691,2.509191
692,2.5091965
693,2.5092285
694,2.509272
695,2.5093079
696,2.5093238
697,2.5093253
698,2.5093248
699,2.509333
700,2.5093524
701,2.5093768
702,2.509398
703,2.5094125
704,2.5094209
705,2.5094285
706,2.509439
707,2.509454
708,2.5094714
709,2.509488
710,2.509502
711,2.509512
712,2.50952
713,2.509529
714,2.5095391
715,2.5095499
716,2.5095608
717,2.5095713
718,2.5095797
719,2.5095873
720,2.5095942
721,2.5096016
722,2.5096097
723,2.5096178
724,2.5096266
725,2.5096343
726,2.509642
727,2.5096493
728,2.5096562
729,2.5096633
730,2.509671
731,2.509679
732,2.5096865
733,2.5096936
734,2.509701
735,2.5097084
736,2.5097153
737,2.509723
738,2.50973
739,2.5097375
740,2.5097454
741,2.5097528
742,2.5097601
743,2.509768
744,2.5097756
745,2.5097835
746,2.509791
747,2.509799
748,2.5098069
749,2.509815
750,2.5098228
751,2.509831
752,2.509839
753,2.5098472
754,2.509855
755,2.5098631
756,2.509871
757,2.5098789
758,2.5098867
759,2.5098948
760,2.5099025
761,2.50991
762,2.5099175
763,2.5099254
764,2.5099328
765,2.50994
766,2.509947
767,2.5099545
768,2.5099616
769,2.509968
770,2.509975
771,2.5099819
772,2.5099883
773,2.5099947
774,2.5100014
775,2.5100079
776,2.5100138
777,2.51002
778,2.5100262
779,2.5100322
780,2.5100377
781,2.5100439
782,2.5100493
783,2.510055
784,2.5100603
785,2.5100658
786,2.510071
787,2.5100763
788,2.5100815
789,2.5100868
790,2.5100913
791,2.5100965
792,2.5101013
793,2.5101066
794,2.510111
795,2.5101159
796,2.5101202
797,2.510125
798,2.5101297
799,2.5101345
800,2.5101383
801,2.5101433
802,2.5101476
803,2.5101519
804,2.510156
805,2.5101604
806,2.5101645
807,2.5101686
808,2.510173
809,2.5101771
810,2.5101812
811,2.510185
812,2.5101895
813,2.5101936
814,2.5101976
815,2.5102017
816,2.5102053
817,2.5102098
818,2.5102134
819,2.5102181
820,2.5102222
821,2.5102262
822,2.5102308
823,2.510235
824,2.5102396
825,2.5102444
826,2.510249
827,2.5102541
828,2.5102596
829,2.5102654
830,2.5102718
831,2.5102787
832,2.5102868
833,2.5102963
834,2.510308
835,2.5103223
836,2.5103405
837,2.5103652
838,2.510398
839,2.5104403
840,2.510488
841,2.510532
842,2.5105643
843,2.5105903
844,2.5106158
845,2.5106452
846,2.5106728
847,2.510694
848,2.5107074
849,2.510715
850,2.5107203
851,2.5107274
852,2.5107374
853,2.5107505
854,2.510764
855,2.5107763
856,2.5107872
857,2.5107963
858,2.5108047
859,2.510814
860,2.5108242
861,2.5108366
862,2.5108502
863,2.5108645
864,2.5108805
865,2.510898
866,2.5109184
867,2.5109437
868,2.5109766
869,2.5110202
870,2.5110817
871,2.51117
872,2.5112953
873,2.5114646
874,2.5116556
875,2.5118103
876,2.5119028
877,2.5119905
878,2.5121138
879,2.512234
880,2.512317
881,2.5123737
882,2.5124362
883,2.5125222
884,2.5126176
885,2.5126936
886,2.5127368
887,2.5127532
888,2.5127656
889,2.5127912
890,2.5128276
891,2.5128596
892,2.5128784
893,2.5128863
894,2.5128977
895,2.5129204
896,2.5129495
897,2.512974
898,2.51299
899,2.5130002
900,2.513012
901,2.5130274
902,2.5130453
903,2.51306
904,2.513071
905,2.51308
906,2.5130892
907,2.5131001
908,2.5131125
909,2.5131242
910,2.5131342
911,2.5131426
912,2.5131502
913,2.513158
914,2.5131662
915,2.5131743
916,2.5131822
917,2.513189
918,2.5131955
919,2.5132017
920,2.5132077
921,2.5132139
922,2.5132198
923,2.513227
924,2.5132325
925,2.5132377
926,2.5132432
927,2.513248
928,2.5132532
929,2.513258
930,2.513263
931,2.5132678
932,2.5132723
933,2.5132766
934,2.5132806
935,2.513285
936,2.513289
937,2.5132933
938,2.5132973
939,2.5133014
940,2.5133054
941,2.513309
942,2.5133126
943,2.5133166
944,2.5133197
945,2.513323
946,2.5133266
947,2.5133302
948,2.5133336
949,2.5133371
950,2.5133402
951,2.513343
952,2.5133464
953,2.5133493
954,2.5133526
955,2.5133553
956,2.5133584
957,2.5133612
958,2.5133638
959,2.5133667
960,2.5133696
961,2.5133724
962,2.513375
963,2.5133777
964,2.5133803
965,2.513383
966,2.5133858
967,2.5133874
968,2.5133905
969,2.5133932
970,2.513395
971,2.5133977
972,2.5134003
973,2.5134022
974,2.5134046
975,2.5134072
976,2.5134096
977,2.5134113
978,2.5134137
979,2.5134158
980,2.5134182
981,2.5134203
982,2.5134223
983,2.5134244
984,2.5134265
985,2.5134287
986,2.5134306
987,2.5134327
988,2.513434
989,2.5134366
990,2.5134385
991,2.5134408
992,2.5134418
993,2.513444
994,2.5134463
995,2.513448
996,2.5134494
997,2.5134516
998,2.5134532
999,2.513455
