,sharp_lstmrl_20_2
0,0.06704186
1,0.08031179
2,0.09166243
3,0.101833366
4,0.11125444
5,0.120205194
6,0.12888704
7,0.13745883
8,0.14605506
9,0.15479608
10,0.16379362
11,0.17315279
12,0.18296722
13,0.19330291
14,0.20416276
15,0.21541354
16,0.22666232
17,0.23711044
18,0.24557352
19,0.2510403
20,0.2536782
21,0.25494102
22,0.25647777
23,0.25955874
24,0.26534846
25,0.2751153
26,0.28980398
27,0.30924767
28,0.33204094
29,0.3560948
30,0.3793688
31,0.40126467
32,0.4235246
33,0.44881985
34,0.47860062
35,0.51103103
36,0.54052764
37,0.5640903
38,0.586758
39,0.611702
40,0.63425606
41,0.6454184
42,0.6598638
43,0.6762367
44,0.6889034
45,0.7002763
46,0.70890504
47,0.72134227
48,0.73161066
49,0.7423979
50,0.75485134
51,0.76798886
52,0.78069586
53,0.7943345
54,0.8164589
55,0.8217756
56,0.83574677
57,0.84530896
58,0.8452164
59,0.8567443
60,0.8577563
61,0.86283773
62,0.8732725
63,0.87560374
64,0.88912386
65,0.8968076
66,0.9097387
67,0.92187124
68,0.93425834
69,0.946858
70,0.9594015
71,0.971522
72,0.9880542
73,1.0053551
74,1.0237458
75,1.0360631
76,1.0500598
77,1.0666742
78,1.0874804
79,1.1044176
80,1.1151457
81,1.1201959
82,1.1254435
83,1.135365
84,1.149436
85,1.1639533
86,1.130211
87,1.0709229
88,1.1766162
89,1.1376358
90,1.1576985
91,1.1743473
92,1.1493502
93,1.2001525
94,1.1943336
95,1.2072699
96,1.2368196
97,1.2317467
98,1.2436974
99,1.2708706
100,1.2609674
101,1.293365
102,1.2931334
103,1.3144424
104,1.3155757
105,1.3422179
106,1.359366
107,1.3820828
108,1.3966134
109,1.4202954
110,1.4414175
111,1.4578819
112,1.4936848
113,1.5014955
114,1.5232956
115,1.5443857
116,1.5750488
117,1.5806305
118,1.6119399
119,1.6226614
120,1.618583
121,1.627622
122,1.6454406
123,1.6649475
124,1.6778417
125,1.7169545
126,1.7196542
127,1.7050674
128,1.7110656
129,1.7041782
130,1.7418753
131,1.7726079
132,1.7595692
133,1.7844372
134,1.7255884
135,1.8008054
136,1.7940288
137,1.8132222
138,1.8517727
139,1.8321526
140,1.8358918
141,1.8666238
142,1.8962753
143,1.8897614
144,1.8929731
145,1.9086584
146,1.9188824
147,1.9168646
148,1.9412874
149,1.897729
150,1.9574007
151,1.9636309
152,1.9670758
153,1.9780589
154,1.9874197
155,1.9990563
156,2.0038087
157,2.0086439
158,2.0187428
159,2.028519
160,2.0312405
161,2.035133
162,2.0445704
163,2.0508015
164,2.0546272
165,2.060394
166,2.067679
167,2.0729415
168,2.0782013
169,2.084994
170,2.0889804
171,2.091485
172,2.0953476
173,2.098793
174,2.1019378
175,2.1054823
176,2.1080804
177,2.1099985
178,2.1127481
179,2.115886
180,2.118816
181,2.1221805
182,2.1273744
183,2.139726
184,2.1440206
185,2.166282
186,2.1676602
187,2.1828587
188,2.1833405
189,2.1849835
190,2.1884532
191,2.1880145
192,2.1912704
193,2.1937046
194,2.194437
195,2.1959581
196,2.199214
197,2.200293
198,2.201973
199,2.2041821
200,2.206016
201,2.2096288
202,2.2111444
203,2.2130582
204,2.2140296
205,2.2139735
206,2.215361
207,2.217355
208,2.2182615
209,2.2200596
210,2.2228408
211,2.2215235
212,2.1935606
