,sharp_lstmrl_5_3
0,0.025330568
1,0.043679796
2,0.056298792
3,0.0668031
4,0.076234385
5,0.085079834
6,0.093623996
7,0.102056585
8,0.110515326
9,0.11910436
10,0.12790164
11,0.13695918
12,0.14629959
13,0.15590614
14,0.16571058
15,0.17557698
16,0.18528971
17,0.19455202
18,0.20301059
19,0.21031353
20,0.21619861
21,0.2205754
22,0.22355612
23,0.22540876
24,0.22646408
25,0.22702871
26,0.22733742
27,0.22754408
28,0.22773443
29,0.22794493
30,0.22818244
31,0.2284382
32,0.22870067
33,0.2289601
34,0.22921334
35,0.22946388
36,0.22972201
37,0.23000379
38,0.23033215
39,0.230738
40,0.2312631
41,0.23196407
42,0.2329147
43,0.2342033
44,0.23591654
45,0.23810302
46,0.24072859
47,0.2436626
48,0.2467481
49,0.24994816
50,0.25350273
51,0.25807512
52,0.26491693
53,0.27580798
54,0.29201844
55,0.31260312
56,0.33472687
57,0.35576868
58,0.37290186
59,0.38305503
60,0.387379
61,0.3896913
62,0.3938415
63,0.40202132
64,0.41456258
65,0.43194717
66,0.45713878
67,0.49019805
68,0.5145347
69,0.5121396
70,0.514816
71,0.5379114
72,0.5770728
73,0.603658
74,0.6067081
75,0.6114559
76,0.63208354
77,0.6512812
78,0.6587333
79,0.660436
80,0.66164356
81,0.6633471
82,0.6651652
83,0.6667805
84,0.6680998
85,0.66915774
86,0.6700381
87,0.6708597
88,0.6718334
89,0.6735045
90,0.67721283
91,0.6796183
92,0.6770789
93,0.681942
94,0.68248034
95,0.68152136
96,0.68412346
97,0.6853022
98,0.6842514
99,0.6854887
100,0.6868731
101,0.6865882
102,0.686451
103,0.6875033
104,0.6879186
105,0.68776
106,0.68771863
107,0.6880752
108,0.68846256
109,0.6886294
110,0.68859744
111,0.6885503
112,0.6886704
113,0.68885916
114,0.68897414
115,0.6890096
116,0.6890081
117,0.6890085
118,0.689033
119,0.68908215
120,0.6891405
121,0.6891919
122,0.6892278
123,0.6892472
124,0.68925446
125,0.6892574
126,0.689264
127,0.6892786
128,0.6892992
129,0.68932074
130,0.6893388
131,0.6893519
132,0.6893605
133,0.6893664
134,0.68937093
135,0.6893756
136,0.68938124
137,0.68938786
138,0.6893954
139,0.68940336
140,0.689411
141,0.6894179
142,0.6894238
143,0.68942875
144,0.6894328
145,0.68943626
146,0.6894395
147,0.6894427
148,0.6894463
149,0.6894501
150,0.6894539
151,0.68945765
152,0.68946147
153,0.689465
154,0.68946826
155,0.6894712
156,0.6894739
157,0.6894765
158,0.68947893
159,0.6894814
160,0.6894837
161,0.6894863
162,0.68948865
163,0.6894911
164,0.68949354
165,0.6894958
166,0.68949807
167,0.68950033
168,0.6895023
169,0.6895044
170,0.68950635
171,0.68950826
172,0.6895102
173,0.6895121
174,0.6895139
175,0.6895157
176,0.6895174
177,0.68951935
178,0.689521
179,0.6895227
180,0.68952435
181,0.689526
182,0.68952763
183,0.68952924
184,0.6895307
185,0.68953234
186,0.6895338
187,0.68953526
188,0.6895367
189,0.6895382
190,0.6895397
