,sharp_lstmrl_10_3
0,0.032583278
1,0.05264121
2,0.06731996
3,0.08006681
4,0.092034966
5,0.10383921
6,0.11589064
7,0.12850216
8,0.14191976
9,0.15631002
10,0.17170471
11,0.187895
12,0.2042876
13,0.2198024
14,0.23301116
15,0.24271794
16,0.24875194
17,0.25216228
18,0.25452775
19,0.25724864
20,0.26138136
21,0.26761925
22,0.2759491
23,0.2852674
24,0.29394615
25,0.30117917
26,0.30763793
27,0.31547692
28,0.3285717
29,0.35258034
30,0.38820258
31,0.41964254
32,0.43231732
33,0.43555707
34,0.44044942
35,0.44954616
36,0.4621292
37,0.47679052
38,0.49136704
39,0.50151056
40,0.5048745
41,0.50570565
42,0.50984985
43,0.5204391
44,0.53750837
45,0.5607896
46,0.5738075
47,0.5694459
48,0.60917115
49,0.62757695
50,0.6336354
51,0.6581155
52,0.66737264
53,0.6676866
54,0.6819291
55,0.6862532
56,0.6856175
57,0.69060576
58,0.70252395
59,0.7052411
60,0.7117978
61,0.722598
62,0.72475237
63,0.72742295
64,0.73201364
65,0.73549795
66,0.7420604
67,0.750272
68,0.75728136
69,0.76202667
70,0.76472855
71,0.75995624
72,0.7700479
73,0.78028935
74,0.7914442
75,0.7888321
76,0.80083907
77,0.8113018
78,0.8140501
79,0.8071532
80,0.7731257
81,0.7978797
82,0.80108
83,0.82136446
84,0.7884756
85,0.79768854
86,0.7624894
87,0.8201125
88,0.7724532
89,0.82025814
90,0.82260257
91,0.8180097
92,0.81739414
93,0.8180476
94,0.82036626
95,0.82016134
96,0.820818
97,0.8227701
98,0.82187366
99,0.8234499
100,0.82339144
101,0.82356626
102,0.8245186
103,0.8241601
104,0.8253711
105,0.825552
106,0.82605433
107,0.8268895
108,0.8270569
109,0.82745624
110,0.8280049
111,0.82820696
112,0.82843655
113,0.8288506
114,0.82931894
115,0.8296084
116,0.8300827
117,0.8305973
118,0.8309402
119,0.83149284
120,0.831589
121,0.83201456
122,0.832388
123,0.8325712
124,0.833067
125,0.83370894
126,0.8332649
127,0.83255535
128,0.8328579
129,0.83425164
130,0.83519226
