,sharp_grurl_15_2
0,-0.08755123
1,-0.05729315
2,-0.012281934
3,0.055581603
4,0.106676586
5,0.13159736
6,0.14952922
7,0.16507486
8,0.17940615
9,0.19300053
10,0.20612033
11,0.21893734
12,0.23157895
13,0.2441522
14,0.25676167
15,0.26952672
16,0.2826006
17,0.296194
18,0.31059715
19,0.3261935
20,0.34345075
21,0.36287513
22,0.38491556
23,0.40982383
24,0.4375098
25,0.46747285
26,0.4988987
27,0.53093237
28,0.5629637
29,0.5946942
30,0.6259348
31,0.65636086
32,0.6854858
33,0.7129315
34,0.73887026
35,0.76411283
36,0.78930444
37,0.8140757
38,0.83723766
39,0.857646
40,0.8779479
41,0.90311515
42,0.9297725
43,0.9571518
44,0.98251665
45,1.0064389
46,1.0339489
47,1.0648019
48,1.0958393
49,1.1121792
50,1.1318204
51,1.1500679
52,1.1719915
53,1.188587
54,1.2052616
55,1.2266579
56,1.248337
57,1.2680321
58,1.2922282
59,1.3193676
60,1.3472922
61,1.3805326
62,1.4065286
63,1.4366595
64,1.4619031
65,1.4683689
66,1.4898459
67,1.4955236
68,1.5255123
69,1.5233
70,1.5502937
71,1.5637572
72,1.5875818
73,1.5794603
74,1.6149758
75,1.6409757
76,1.6301856
77,1.6665877
78,1.6912104
79,1.6596278
80,1.7074184
81,1.7100697
82,1.7186977
83,1.7349106
84,1.7496738
85,1.7611921
86,1.7752217
87,1.7932192
88,1.8097553
89,1.8245584
90,1.8438997
91,1.8488193
92,1.8612854
93,1.8130256
94,1.8831042
95,1.8672132
96,1.8715075
97,1.9391928
98,1.9233805
99,1.9300888
100,1.9388689
101,1.9700091
102,1.9754647
103,1.9800755
104,1.9887183
105,2.008214
106,2.026483
107,2.0303793
108,2.0090425
109,2.0521507
110,2.049077
111,2.0647054
112,2.0797224
113,2.090859
114,2.0994556
115,2.1083233
116,2.1178813
117,2.1242416
118,2.142269
119,2.1308782
120,2.1393917
121,2.151434
122,2.1516259
123,2.1666594
124,2.1665823
125,2.1780636
126,2.183753
127,2.1864922
128,2.193012
129,2.2001338
130,2.2008862
131,2.2086375
132,2.2133029
133,2.2170548
134,2.2195327
135,2.222791
136,2.2279444
137,2.2291842
138,2.2330544
139,2.237009
140,2.2394235
141,2.2420747
142,2.244331
143,2.2470002
144,2.2494924
145,2.2516627
146,2.254102
147,2.25707
148,2.2593994
149,2.2618852
150,2.2641556
151,2.2662103
152,2.2682922
153,2.2701066
154,2.2725115
155,2.274513
156,2.2764134
157,2.2781458
158,2.2797544
159,2.2811682
160,2.2825346
161,2.283942
162,2.2852697
163,2.286642
164,2.287884
165,2.2891314
166,2.290418
167,2.2917066
168,2.2932553
169,2.295178
170,2.2980845
171,2.3027728
172,2.308935
173,2.3148599
174,2.3192885
175,2.3232818
176,2.3260005
177,2.328767
178,2.3315933
179,2.3347173
180,2.3378735
181,2.3411527
182,2.3439553
183,2.3459818
184,2.3477006
185,2.3490427
186,2.3494031
187,2.3503058
188,2.3514814
189,2.3529055
190,2.3553886
191,2.3573306
192,2.3590355
193,2.3607807
194,2.3617928
195,2.3627415
196,2.3636382
197,2.364172
198,2.3647285
199,2.365375
200,2.3660688
201,2.3668559
202,2.367831
203,2.368703
204,2.3695383
205,2.370347
206,2.3710136
207,2.3715768
208,2.3721437
209,2.3727925
210,2.3734636
211,2.3742034
212,2.3754134
213,2.3767707
214,2.3780565
215,2.3793163
216,2.3802438
217,2.3808434
218,2.3813605
219,2.3818479
220,2.3824208
221,2.3827803
222,2.383029
223,2.383171
224,2.383409
225,2.3836493
226,2.3839371
227,2.3842688
228,2.3845994
229,2.3849447
230,2.385244
231,2.3855145
232,2.385768
233,2.385974
234,2.3861773
235,2.3863797
236,2.3865805
237,2.3867981
238,2.387001
239,2.3872023
240,2.3873935
