,sharp_lstmrl_20_1
0,-0.067975126
1,-0.04419551
2,-0.019999709
3,0.0032818834
4,0.024840385
5,0.044413112
6,0.06205941
7,0.07797962
8,0.09241497
9,0.10560048
10,0.117747396
11,0.1290382
12,0.13962865
13,0.14965066
14,0.1592166
15,0.16842313
16,0.1773551
17,0.18608889
18,0.19469535
19,0.20324302
20,0.21180022
21,0.22043775
22,0.22923166
23,0.23826416
24,0.24762498
25,0.25740692
26,0.26769593
27,0.27854446
28,0.2899196
29,0.30161667
30,0.31316066
31,0.323812
32,0.3329309
33,0.34074125
34,0.34869292
35,0.3586837
36,0.37192973
37,0.38850036
38,0.4074851
39,0.4274084
40,0.44675267
41,0.4646338
42,0.4813718
43,0.49831152
44,0.51684445
45,0.5373631
46,0.55865157
47,0.57835525
48,0.5954235
49,0.6118536
50,0.629579
51,0.64680576
52,0.6594094
53,0.67074686
54,0.68547153
55,0.6964801
56,0.7042315
57,0.7154824
58,0.7226008
59,0.73163915
60,0.74043685
61,0.74837166
62,0.75903696
63,0.7676697
64,0.7787362
65,0.7883674
66,0.7985241
67,0.8056832
68,0.8128106
69,0.81712025
70,0.82217956
71,0.8273188
72,0.8338267
73,0.84228444
74,0.8510714
75,0.8603348
76,0.8696667
77,0.87828356
78,0.8876224
79,0.8961956
80,0.9056713
81,0.9148235
82,0.92488617
83,0.9364696
84,0.9471451
85,0.9574589
86,0.96960354
87,0.97965556
88,0.988864
89,1.0012485
90,1.0121213
91,1.022117
92,1.0375172
93,1.0509564
94,1.0620998
95,1.0763543
96,1.086206
97,1.1075262
98,1.1028686
99,1.0726345
100,1.0171876
101,1.1012207
102,1.1114732
103,1.1296215
104,1.1749418
105,1.0384239
106,1.1749221
107,1.1648368
108,1.1772945
109,1.0797161
110,1.207406
111,1.207331
112,1.2312487
113,1.2627409
114,1.2319229
115,1.2566524
116,1.3214937
117,1.3138844
118,1.3096446
119,1.329011
120,1.3562797
121,1.3751998
122,1.3561738
123,1.4079983
124,1.4147413
125,1.4157515
126,1.4309129
127,1.4571038
128,1.4763522
129,1.4899918
130,1.5025927
131,1.516736
132,1.5329974
133,1.5511986
134,1.5679848
135,1.5830507
136,1.5985043
137,1.616161
138,1.6361693
139,1.6561346
140,1.6727251
141,1.6871595
142,1.7015829
143,1.7171025
144,1.7335888
145,1.7483379
146,1.7625065
147,1.7812669
148,1.7965784
149,1.8121587
150,1.8285165
151,1.8447822
152,1.8595945
153,1.8727458
154,1.8906612
155,1.9048725
156,1.9190474
157,1.9361852
158,1.9529519
159,1.9696898
160,1.9843541
161,2.0232089
162,2.0379071
163,2.0718431
164,2.1332824
165,2.154192
166,2.2120864
167,2.2294338
168,2.2555091
169,2.2809582
170,2.283305
171,2.3078496
172,2.321551
173,2.3521278
174,2.3660278
175,2.3963606
176,2.4181142
177,2.4490476
178,2.4710243
179,2.4876537
180,2.3794127
181,2.116892
182,1.9929849
183,1.9477797
184,1.9488451
185,1.9867799
186,1.997153
187,1.9965307
188,2.0003722
189,2.0417194
190,2.0523758
191,2.103808
192,2.1050825
193,2.1207721
194,2.1671345
195,2.1644604
196,2.1986735
197,2.1650002
198,2.2316008
199,2.2331676
200,2.2861886
201,2.2731678
202,2.3057337
203,2.302722
204,2.34374
205,2.3503463
206,2.349967
207,2.38374
208,2.3086467
209,2.3890321
210,2.401344
211,2.38418
212,2.4453561
213,2.4228837
214,2.4569378
215,2.4592712
216,2.4606705
217,2.489862
218,2.4785552
219,2.5062194
220,2.509498
221,2.5120685
222,2.534114
223,2.5294967
224,2.5477529
225,2.5596619
226,2.5582821
227,2.5767953
228,2.5917134
229,2.5918744
230,2.593788
231,2.5909438
232,2.6216137
233,2.6375313
234,2.6449437
235,2.6364532
236,2.5640585
237,2.6366096
238,2.6598551
239,2.6598678
240,2.6863475
241,2.6451006
242,2.5266378
243,2.644103
244,2.5051491
245,2.6740975
246,2.5837808
247,2.70424
248,2.6637998
249,2.7209094
250,2.716455
251,2.72547
252,2.7350483
253,2.7394528
254,2.7687032
255,2.7631397
256,2.7576892
257,2.781721
258,2.795221
259,2.7897491
260,2.7971575
261,2.8132107
262,2.8162653
263,2.8027437
264,2.771798
265,2.828258
266,2.830053
267,2.8217497
268,2.8416438
269,2.8401635
270,2.8423839
271,2.8333066
272,2.8627903
273,2.872695
274,2.878192
275,2.8808515
276,2.8733478
277,2.8484116
278,2.774483
279,2.8602989
280,2.7788951
281,2.8979425
282,2.7897074
283,2.9058805
284,2.8157008
285,2.9062033
286,2.8759637
287,2.9057553
288,2.896135
289,2.9405062
290,2.8664408
291,2.9394946
292,2.9258375
293,2.9189785
294,2.91311
295,2.9534287
296,2.8921492
297,2.9100788
298,2.8696253
299,2.9557781
300,2.8454616
301,2.9604769
302,2.8805468
303,2.9204025
304,2.9694595
305,2.9122357
306,2.958474
307,2.9601429
308,2.9821222
309,2.9507973
310,2.9374042
311,2.9782617
312,2.9569635
313,2.9594326
314,2.97622
315,2.996906
316,3.0017674
317,2.970042
318,2.9843132
319,2.9956303
320,2.9765182
321,2.9847257
322,3.0048704
323,3.004235
324,3.0178318
325,2.983381
326,2.9994447
327,2.988745
328,3.0092695
329,2.998987
330,3.0355632
331,2.9993746
332,3.0396278
333,3.0072808
