,Prices_20_3,Strategy_Returns_20_3,F_t_20_3
0,457.76,-0.039999988,0.0
1,449.38,-11.659996,0.9999997
2,437.76,-13.019996,0.9999997
3,436.4,-15.939994,0.9999994
4,433.48,-20.459993,0.9999997
5,428.96,-10.599999,0.9999993
6,438.82,-9.25,0.9999997
7,440.17,0.039997075,0.99999964
8,449.46,5.009995,0.9999996
9,454.43,-10.530001,0.9999997
10,438.89,-7.9600015,0.9999996
11,441.46,-8.750001,0.9999997
12,440.67,-5.4500027,0.9999996
13,443.97,-2.170004,0.9999996
14,447.25,-1.3600043,0.99999964
15,448.06,-0.5200046,0.99999964
16,448.9,-3.1600037,0.99999964
17,446.26,-3.2400038,0.9999997
18,446.18,36.29998,0.99999964
19,485.72,42.34998,0.9999996
20,491.77,75.15997,0.99999964
21,524.58,70.79997,0.99999964
22,520.22,75.71997,0.99999964
23,525.14,122.16995,0.9999997
24,571.59,133.99995,0.9999995
25,583.42,121.819954,0.9999997
26,571.24,127.63995,0.9999996
27,577.06,118.75996,0.99999964
28,568.18,165.90994,0.9999997
29,615.33,174.25993,0.9999994
30,623.68,180.80994,0.9999997
31,630.23,211.19992,0.99999964
32,660.62,218.17992,0.9999996
33,667.6,192.18993,0.99999976
34,641.61,209.83992,0.99999946
35,659.26,204.27992,0.9999997
36,653.7,205.54991,0.9999996
37,654.97,206.71991,0.9999995
38,656.14,199.73991,0.9999997
39,649.16,203.72992,0.9999995
40,653.15,183.59991,0.9999997
41,633.02,137.52994,0.99999964
42,586.95,150.73993,0.9999996
43,600.16,127.93994,0.99999964
44,577.36,143.51993,0.9999995
45,592.94,142.76993,0.9999995
46,592.19,161.43993,0.99999964
47,610.86,158.53993,0.9999997
48,607.96,148.64993,0.9999996
49,598.07,144.72993,0.99999976
50,594.15,145.56993,0.99999946
51,594.99,152.84993,0.99999964
52,602.27,144.55994,0.99999964
53,593.98,132.93994,0.9999993
54,582.36,116.919945,0.99999976
55,566.34,131.71994,0.99999946
56,581.14,147.83994,0.9999997
57,597.26,147.12993,0.99999964
58,596.55,153.29993,0.9999996
59,602.72,190.37991,0.9999997
60,639.8,191.38992,0.9999996
61,640.81,201.45992,0.9999997
62,650.88,195.73991,0.9999997
63,645.16,181.26993,0.99999964
64,630.69,182.03992,0.99999964
65,631.46,186.38992,0.9999995
66,635.81,174.66992,0.99999964
67,624.09,175.39992,0.9999996
68,624.82,175.08992,0.99999964
69,624.51,167.33992,0.9999997
70,616.76,182.57991,0.9999996
71,632.0,184.28992,0.9999997
72,633.71,177.07993,0.9999996
73,626.5,169.89992,0.99999964
74,619.32,172.16992,0.99999964
75,621.59,167.37993,0.99999964
76,616.8,173.66992,0.99999964
77,623.09,179.35992,0.99999964
78,628.78,179.09991,0.99999964
79,628.52,174.47992,0.99999964
80,623.9,172.78992,0.99999964
81,622.21,172.12993,0.99999964
82,621.55,169.98993,0.99999964
83,619.41,152.30994,0.9999996
84,601.73,151.66994,0.99999964
85,601.09,146.38994,0.99999964
86,595.81,144.42993,0.9999996
87,593.85,136.26993,0.99999964
88,585.69,135.29994,0.9999996
89,584.72,117.86994,0.99999964
90,567.29,136.80994,0.99999964
91,586.23,145.49992,0.99999964
92,594.92,139.90993,0.9999996
93,589.33,137.24994,0.99999964
94,586.67,139.35994,0.99999964
95,588.78,136.01993,0.99999964
96,585.44,135.22993,0.99999964
97,584.65,139.44994,0.99999964
98,588.87,143.15993,0.99999964
99,592.58,139.94994,0.9999996
100,589.37,141.63994,0.9999997
101,591.06,126.949936,0.99999964
102,576.37,120.21994,0.99999964
103,569.64,97.23995,0.99999964
104,546.66,56.549965,0.9999996
105,505.97,47.58997,0.99999964
106,497.01,70.289955,0.9999995
107,519.71,42.379967,0.99999964
108,491.8,12.039979,0.99999964
109,461.46,35.819973,0.99999964
110,485.24,62.559963,0.9999997
111,511.98,67.81996,0.9999996
112,517.24,64.619965,0.99999964
113,514.04,48.65997,0.99999964
114,498.08,58.869965,0.99999964
115,508.29,53.079967,0.99999964
116,502.5,62.149963,0.99999964
117,511.57,61.729965,0.99999964
118,511.15,58.399967,0.9999996
119,507.82,59.099964,0.9999997
120,508.52,54.829967,0.9999996
121,504.25,28.339975,0.9999997
122,477.76,25.459976,0.99999964
123,474.88,28.009975,0.9999996
124,477.43,28.169975,0.99999964
125,477.59,40.239967,0.9999995
126,489.66,33.91997,0.9999997
127,483.34,35.40997,0.99999964
128,484.83,32.85997,0.99999964
129,482.28,25.179974,0.9999997
130,474.6,25.839973,0.99999964
131,475.26,29.939972,0.9999996
132,479.36,30.329971,0.99999964
133,479.75,28.329971,0.9999996
134,477.75,29.579971,0.99999964
135,479.0,28.469973,0.9999997
136,477.89,25.949972,0.9999996
137,475.37,16.639975,0.9999997
138,466.06,7.90998,0.9999996
139,457.33,-24.98001,0.99999964
140,424.44,-54.619995,0.99999964
141,394.8,-40.52,0.9999996
142,408.9,-50.6,0.99999964
143,398.82,-47.27,0.9999996
144,402.15,-13.630012,0.99999964
145,435.79,-26.220007,0.99999964
146,423.2,-37.850002,0.9999997
147,411.57,-45.0,0.99999964
148,404.42,-49.899998,0.99999964
149,399.52,-72.23999,0.99999964
150,377.18,-73.94999,0.99999946
151,375.47,-62.479996,0.9999997
152,386.94,-65.80999,0.99999946
153,383.61,-74.34999,0.9999997
154,375.07,-89.90999,0.9999997
155,359.51,-120.54997,0.9999996
156,328.87,-128.90997,0.9999997
157,320.51,-119.33997,0.99999946
158,330.08,-113.22997,0.99999964
159,336.19,-96.47998,0.9999996
160,352.94,-84.389984,0.9999996
161,365.03,-87.859985,0.99999976
162,361.56,-87.11999,0.99999964
163,362.3,-70.869995,0.9999997
164,378.55,-59.01,0.99999964
165,390.41,-48.550003,0.9999995
166,400.87,-54.649998,0.99999964
167,394.77,-66.85999,0.99999964
168,382.56,-65.659996,0.9999997
169,383.76,-57.979996,0.99999964
170,391.44,-59.869995,0.99999964
171,389.55,-66.56999,0.99999964
172,382.85,-62.939995,0.9999996
173,386.48,-66.259995,0.99999964
174,383.16,-90.999985,0.99999964
175,358.42,-91.069984,0.99999964
176,358.35,-102.14998,0.99999964
177,347.27,-94.719986,0.99999964
178,354.7,-96.429985,0.99999964
