,sharp_rrl_5_2
0,-0.017397184
1,0.116699584
2,0.20798387
3,0.27051258
4,0.32006535
5,0.363202
6,0.40238884
7,0.43840364
8,0.47127482
9,0.50077593
10,0.5267733
11,0.54945624
12,0.5693886
13,0.58738226
14,0.60428995
15,0.62084585
16,0.63761437
17,0.6550206
18,0.6733847
19,0.69287634
20,0.7133331
21,0.7339838
22,0.75334543
23,0.769746
24,0.78257775
25,0.79325294
26,0.80432516
27,0.8172803
28,0.83138627
29,0.84454054
30,0.8550636
31,0.8629524
32,0.86973953
33,0.87714076
34,0.8857038
35,0.89462423
36,0.90271044
37,0.9095754
38,0.9160072
39,0.9232284
40,0.9318547
41,0.9415009
42,0.9512449
43,0.96055764
44,0.9698624
45,0.9800067
46,0.9911667
47,1.0025804
48,1.0134665
49,1.0239848
50,1.0349215
51,1.0461751
52,1.0562443
53,1.0646831
54,1.0733511
55,1.08321
56,1.0931116
57,1.1020083
58,1.1101924
59,1.1180594
60,1.1250987
61,1.1309353
62,1.1361216
63,1.1412457
64,1.1461741
65,1.1505965
66,1.1546576
67,1.1587483
68,1.1630396
69,1.1673226
70,1.1713289
71,1.175286
72,1.1795858
73,1.1839782
74,1.1881548
75,1.1925107
76,1.1974221
77,1.2026685
78,1.2080417
79,1.2137196
80,1.2197943
81,1.2262049
82,1.2330152
83,1.2401875
84,1.2474881
85,1.2549514
86,1.2628087
87,1.2708254
88,1.2784706
89,1.2856207
90,1.2924343
91,1.2988613
92,1.3047652
93,1.3101903
94,1.3152556
95,1.3200456
96,1.3245516
97,1.3287162
98,1.332645
99,1.336558
100,1.3405792
101,1.3447492
102,1.3491024
103,1.3537817
104,1.3590953
105,1.3652155
106,1.3718002
107,1.3779612
108,1.3835146
109,1.3895229
110,1.3963794
111,1.4032434
112,1.409561
113,1.416073
114,1.4220568
115,1.4277073
116,1.4338224
117,1.4400058
118,1.4457304
119,1.4516416
120,1.4584966
121,1.4662029
122,1.4750897
123,1.4833139
124,1.4921356
125,1.4991953
126,1.5052454
127,1.5095128
128,1.5126507
129,1.5154706
130,1.5174894
131,1.5198839
132,1.5219699
133,1.5243336
134,1.526689
135,1.52876
136,1.5307778
137,1.5325869
138,1.5341134
139,1.5354567
140,1.5367328
141,1.5378343
142,1.5389113
143,1.5400345
144,1.5410616
145,1.542104
146,1.5431844
