,sharp_grurl_5_2
0,-0.08389258
1,-0.056597125
2,-0.019967688
3,0.027856646
4,0.07673509
5,0.11235887
6,0.13580076
7,0.15318356
8,0.1677382
9,0.18085305
10,0.193174
11,0.20504324
12,0.21666667
13,0.22818324
14,0.23969658
15,0.25129077
16,0.2630387
17,0.27500716
18,0.2872597
19,0.2998591
20,0.31286886
21,0.326355
22,0.34038624
23,0.355034
24,0.37036973
25,0.38646096
26,0.403366
27,0.4211278
28,0.43977097
29,0.45929834
30,0.47968787
31,0.5008857
32,0.52279514
33,0.54526037
34,0.5680532
35,0.590864
36,0.6133102
37,0.6349787
38,0.6555219
39,0.6747896
40,0.69291955
41,0.71029526
42,0.7273573
43,0.7444016
44,0.7615072
45,0.7786072
46,0.79558843
47,0.8123282
48,0.8286831
49,0.84448165
50,0.8595404
51,0.873699
52,0.8868385
53,0.898874
54,0.9097435
55,0.9194318
56,0.9280248
57,0.93572325
58,0.9427971
59,0.9495296
60,0.9562004
61,0.96308774
62,0.97045785
63,0.97857404
64,0.98775417
65,0.99826646
66,1.0094644
67,1.018819
68,1.0257815
69,1.0355376
70,1.0488311
71,1.0597795
72,1.0665342
73,1.0734684
74,1.0837338
75,1.0958452
76,1.1064351
77,1.1168567
78,1.1307414
79,1.1461024
80,1.1594124
81,1.1719913
82,1.1857778
83,1.1989465
84,1.2097254
85,1.2193761
86,1.2292043
87,1.2379867
88,1.2449529
89,1.2516629
90,1.2585665
91,1.2648914
92,1.2713637
93,1.2794358
94,1.289009
95,1.295762
96,1.3014905
97,1.3089306
98,1.3131733
99,1.3164754
100,1.321359
101,1.3255187
102,1.3286123
103,1.332559
104,1.3366686
105,1.3395884
106,1.3425113
107,1.3458604
108,1.3488938
109,1.351662
110,1.3544805
111,1.3577077
112,1.3610284
113,1.3642229
114,1.3679065
115,1.3721637
116,1.3766922
117,1.3815982
118,1.3870002
119,1.3926586
120,1.3970596
121,1.4004637
122,1.4059956
123,1.4103526
124,1.4136719
125,1.4197046
126,1.4237278
127,1.428729
128,1.4308292
129,1.4360696
130,1.4380789
131,1.4405887
132,1.4438616
133,1.4451696
134,1.4482099
135,1.4496173
136,1.4524138
137,1.4543601
138,1.4567825
139,1.4589585
140,1.4607263
141,1.463268
142,1.4649168
143,1.4673479
144,1.4697659
145,1.4713444
146,1.4730473
147,1.4752758
148,1.4776096
149,1.479757
150,1.481703
151,1.4835218
152,1.4852024
153,1.4864732
154,1.4869528
155,1.4866422
156,1.4905213
157,1.497626
158,1.502617
159,1.5039939
160,1.5020287
161,1.5020075
162,1.516288
163,1.5203415
164,1.517598
165,1.5270175
166,1.5284551
167,1.5285604
168,1.5342382
169,1.5324414
170,1.53833
171,1.5381702
172,1.5420209
173,1.5427971
174,1.5440857
175,1.5461845
176,1.5461069
177,1.5489728
178,1.5487568
179,1.5512843
