,sharp_grurl_15_1
408,2.9638078
409,2.9639356
410,2.9640632
411,2.9641883
412,2.964311
413,2.9644306
414,2.9645467
415,2.9646604
416,2.964773
417,2.964883
418,2.9649928
419,2.9651008
420,2.9652069
421,2.9653108
422,2.965413
423,2.9655142
424,2.9656134
425,2.9657114
426,2.9658084
427,2.9659038
428,2.965997
429,2.9660892
430,2.9661796
431,2.9662695
432,2.966357
433,2.9664433
434,2.9665291
435,2.9666128
436,2.9666958
437,2.9667778
438,2.9668584
439,2.9669378
440,2.9670162
441,2.9670937
442,2.9671702
443,2.9672456
444,2.96732
445,2.9673939
446,2.967466
447,2.9675374
448,2.9676085
449,2.9676783
450,2.967747
451,2.967815
452,2.9678824
453,2.9679494
454,2.968015
455,2.96808
456,2.9681444
457,2.9682078
458,2.96827
459,2.9683318
460,2.9683936
461,2.9684541
462,2.9685137
463,2.9685733
464,2.9686317
465,2.9686894
466,2.9687464
467,2.9688032
468,2.9688594
469,2.9689145
470,2.9689693
471,2.9690232
472,2.969077
473,2.96913
474,2.9691825
475,2.9692345
476,2.9692855
477,2.9693365
478,2.9693868
479,2.9694366
480,2.969486
481,2.9695349
482,2.969583
483,2.969631
484,2.9696784
485,2.969726
486,2.969772
487,2.969818
488,2.9698644
489,2.9699092
490,2.969954
491,2.9699988
492,2.9700427
493,2.9700863
494,2.9701302
495,2.9701731
496,2.970215
497,2.9702575
498,2.9702995
499,2.9703412
500,2.9703822
501,2.9704237
502,2.970464
503,2.9705043
504,2.9705446
505,2.9705842
506,2.9706235
507,2.9706628
508,2.9707017
509,2.9707406
510,2.9707787
511,2.970817
512,2.9708555
513,2.9708931
514,2.9709306
515,2.970968
516,2.9710052
517,2.9710424
518,2.9710789
519,2.971116
520,2.9711523
521,2.9711888
522,2.971225
523,2.9712615
524,2.9712977
525,2.9713337
526,2.9713697
527,2.9714057
528,2.9714422
529,2.971478
530,2.9715142
531,2.9715502
532,2.9715867
533,2.9716234
534,2.9716604
535,2.9716973
536,2.971734
537,2.971772
538,2.9718096
539,2.9718478
540,2.9718876
541,2.9719272
542,2.9719677
543,2.9720085
544,2.9720511
545,2.9720945
546,2.9721394
547,2.972186
548,2.9722342
549,2.9722848
550,2.9723382
551,2.9723942
552,2.9724545
553,2.9725187
554,2.972588
555,2.9726644
556,2.972748
557,2.972842
558,2.9729483
559,2.9730701
560,2.973212
561,2.9733806
562,2.973584
563,2.973835
564,2.9741511
565,2.9745586
566,2.9750946
567,2.9758155
568,2.9767954
569,2.9781163
570,2.979815
571,2.9817693
572,2.9836402
573,2.9851818
574,2.9866388
575,2.988489
576,2.99082
577,2.9923987
578,2.9934857
579,2.994444
580,2.9952922
581,2.9960475
582,2.9967384
583,2.9973552
584,2.997893
585,2.998374
586,2.9988225
587,2.999235
588,2.999596
589,2.9999025
590,3.0000498
591,3.0004785
592,3.0007296
593,3.0009024
594,3.0010507
595,3.0011935
596,3.0013306
597,3.0014515
598,3.0015416
599,3.0015912
600,3.001615
601,3.001646
602,3.0017354
603,3.0018454
604,3.0019162
605,3.0019639
606,3.002003
607,3.00204
608,3.00208
609,3.002122
610,3.002164
611,3.0022037
612,3.0022395
613,3.0022714
614,3.002303
615,3.0023367
616,3.0023725
617,3.0024073
618,3.0024402
619,3.0024703
620,3.0024989
621,3.002526
622,3.002552
623,3.0025775
624,3.0026028
625,3.0026274
626,3.002652
627,3.0026762
628,3.0027003
629,3.0027242
630,3.0027473
631,3.0027697
632,3.0027924
633,3.0028143
634,3.0028362
635,3.0028582
636,3.002879
637,3.0029004
638,3.0029209
639,3.0029407
640,3.002961
641,3.0029802
642,3.0029998
643,3.0030189
644,3.0030375
645,3.0030568
646,3.0030754
647,3.0030935
648,3.0031114
649,3.0031292
650,3.0031474
651,3.003164
652,3.003182
653,3.003199
654,3.003216
655,3.0032337
656,3.0032506
657,3.0032675
658,3.0032837
659,3.0033004
660,3.003317
661,3.0033329
662,3.0033493
663,3.0033655
664,3.003382
665,3.003398
666,3.0034137
667,3.00343
668,3.0034456
669,3.0034611
670,3.0034769
671,3.0034926
672,3.003508
673,3.003523
674,3.0035388
675,3.0035543
676,3.0035698
677,3.0035856
678,3.003601
679,3.0036163
680,3.0036323
681,3.0036473
682,3.003663
683,3.003679
684,3.0036943
685,3.0037105
686,3.0037265
687,3.0037427
688,3.0037587
689,3.0037754
690,3.0037918
691,3.0038087
692,3.0038257
693,3.0038433
694,3.003861
695,3.0038788
696,3.003897
697,3.003916
698,3.0039358
699,3.003956
700,3.003977
701,3.0039992
702,3.0040216
703,3.0040457
704,3.004071
705,3.0040972
706,3.004126
707,3.0041564
708,3.00419
709,3.004226
710,3.0042653
711,3.004309
712,3.004358
713,3.004412
714,3.004474
715,3.0045452
716,3.004627
717,3.0047224
718,3.004835
719,3.004967
720,3.0051248
721,3.0053132
722,3.0055382
723,3.0058064
724,3.006124
725,3.006495
726,3.006921
727,3.0073998
728,3.0079236
729,3.008478
730,3.0090463
731,3.0096138
732,3.0101633
733,3.0106838
734,3.0111656
735,3.0116055
736,3.0120015
737,3.0123553
738,3.012669
739,3.0129468
740,3.0131917
741,3.013408
742,3.0135987
743,3.0137682
744,3.0139198
745,3.0140562
746,3.0141811
747,3.0142963
748,3.0144038
749,3.014505
750,3.0146
751,3.0146916
752,3.0147798
753,3.0148664
754,3.0149515
755,3.0150373
756,3.0151236
757,3.0152116
758,3.0153027
759,3.0153973
760,3.015496
761,3.0156019
762,3.0157144
763,3.0158365
764,3.0159707
765,3.0161202
766,3.0162878
767,3.0164797
768,3.016703
769,3.0169654
770,3.0172806
771,3.0176651
772,3.0181434
773,3.0187478
774,3.0195246
775,3.020536
776,3.0218623
777,3.0235927
778,3.0258076
779,3.0285292
780,3.031668
781,3.0349593
782,3.0382373
783,3.041503
784,3.0443158
785,3.046498
786,3.0482762
787,3.0497458
788,3.0509794
789,3.051972
790,3.0527194
791,3.0533037
792,3.0537913
793,3.0541973
794,3.05453
795,3.0548112
796,3.0550587
797,3.0552764
798,3.0554733
799,3.055701
800,3.0563734
801,3.0573845
802,3.0570781
803,3.057491
804,3.0578465
805,3.0579634
806,3.0579875
807,3.0580015
808,3.0580454
809,3.0581312
810,3.0582469
811,3.0583658
812,3.0584645
813,3.0585344
814,3.0585787
815,3.058609
816,3.0586383
817,3.0586762
818,3.0587246
819,3.0587811
820,3.0588415
821,3.0588994
822,3.058951
823,3.0589943
824,3.0590305
825,3.0590615
826,3.0590909
827,3.0591178
828,3.0591447
829,3.059171
830,3.0591974
831,3.0592225
832,3.0592453
833,3.0592673
834,3.0592885
835,3.059309
836,3.0593293
837,3.05935
838,3.0593703
839,3.05939
840,3.0594084
841,3.059426
842,3.059443
843,3.0594592
844,3.0594752
845,3.0594912
846,3.059506
847,3.0595212
848,3.0595353
849,3.0595493
850,3.0595624
851,3.059575
852,3.059588
853,3.0596008
854,3.0596128
855,3.0596251
856,3.0596373
857,3.0596495
858,3.0596614
859,3.0596724
860,3.0596836
861,3.0596945
862,3.0597055
863,3.0597165
864,3.0597267
865,3.0597377
866,3.059748
867,3.0597582
868,3.0597684
869,3.0597785
870,3.0597882
871,3.0597975
872,3.0598078
873,3.059817
874,3.0598266
875,3.0598361
876,3.0598457
877,3.059855
878,3.0598638
879,3.0598733
880,3.059882
881,3.059891
882,3.0598998
883,3.0599086
884,3.0599174
885,3.0599253
886,3.0599344
887,3.059943
888,3.059951
889,3.0599594
890,3.0599678
891,3.0599763
892,3.059984
893,3.0599926
894,3.06
895,3.0600083
896,3.0600164
897,3.0600238
898,3.0600317
899,3.0600395
900,3.0600474
901,3.060055
902,3.0600624
903,3.0600693
904,3.0600772
905,3.0600843
906,3.060092
907,3.060099
908,3.0601058
909,3.0601134
910,3.0601203
911,3.060128
912,3.0601342
913,3.0601413
914,3.0601482
915,3.0601554
916,3.060162
917,3.0601687
918,3.0601754
919,3.0601816
920,3.0601888
921,3.0601952
922,3.060202
923,3.0602083
924,3.0602152
925,3.0602214
926,3.0602276
927,3.060234
928,3.0602403
929,3.0602467
930,3.0602534
931,3.0602593
932,3.0602648
933,3.0602713
934,3.0602775
935,3.0602834
936,3.0602894
937,3.0602956
938,3.0603013
939,3.0603075
940,3.0603127
941,3.0603185
942,3.0603244
943,3.0603306
944,3.0603359
945,3.0603418
946,3.0603468
947,3.0603528
948,3.0603583
949,3.0603638
950,3.0603695
951,3.0603752
952,3.0603807
953,3.0603857
954,3.0603912
955,3.0603967
956,3.0604017
957,3.060407
958,3.0604124
959,3.0604177
960,3.060423
961,3.060428
962,3.0604334
963,3.060438
964,3.0604436
965,3.0604486
966,3.0604532
967,3.0604584
968,3.0604637
969,3.0604687
970,3.0604737
971,3.0604784
972,3.060483
973,3.0604877
974,3.060493
975,3.060498
976,3.0605025
977,3.0605073
978,3.0605116
979,3.0605166
980,3.0605214
981,3.0605257
982,3.0605304
983,3.0605352
984,3.0605402
985,3.0605443
986,3.060549
987,3.0605536
988,3.060558
989,3.0605626
990,3.0605664
991,3.060571
992,3.0605757
993,3.0605798
994,3.0605845
995,3.060589
996,3.0605931
997,3.0605977
998,3.0606015
999,3.0606058
