,sharp_rrl_10_3
0,-0.1156226
1,0.07187369
2,0.1868668
3,0.25550827
4,0.3125919
5,0.36657402
6,0.41985872
7,0.47186032
8,0.52045923
9,0.5636968
10,0.60115653
11,0.6343624
12,0.6663065
13,0.70060366
14,0.74049705
15,0.78753257
16,0.8398859
17,0.89169097
18,0.93626285
19,0.9729715
20,1.0089294
21,1.0510678
22,1.099546
23,1.1463119
24,1.1812658
25,1.2082624
26,1.2420852
27,1.2811022
28,1.3103112
29,1.3297935
30,1.359433
31,1.4028418
32,1.441344
33,1.4677618
34,1.4945685
35,1.52052
36,1.5379974
37,1.5630115
38,1.5856085
39,1.6031973
40,1.6264434
41,1.6527326
42,1.6779915
43,1.7046916
44,1.7268914
45,1.7467774
46,1.7705362
47,1.7919401
48,1.8102981
49,1.8336533
50,1.8579079
51,1.886115
52,1.9189246
53,1.953654
54,1.9836674
55,2.007481
56,2.0344584
57,2.0575676
58,2.0800614
59,2.0977783
60,2.1143508
61,2.137678
62,2.1532836
63,2.1643965
64,2.1787388
65,2.1927955
66,2.206197
67,2.2172594
68,2.2333443
69,2.2443857
70,2.2603796
71,2.2755692
72,2.300376
73,2.3263543
74,2.3473763
75,2.3640857
76,2.3786774
77,2.390195
78,2.4012563
79,2.414748
80,2.427881
81,2.4372962
82,2.446484
83,2.4589083
84,2.4713793
85,2.482362
86,2.4989643
87,2.5329795
88,2.548243
89,2.5597878
90,2.566954
91,2.5735593
92,2.5854309
93,2.5921402
94,2.5990582
95,2.607311
96,2.6108034
97,2.6178129
98,2.6237168
99,2.6273718
100,2.6346967
101,2.639064
102,2.6426969
103,2.6463456
104,2.650562
105,2.654847
106,2.6584172
107,2.6630604
108,2.6679177
109,2.6725233
110,2.676545
111,2.681121
112,2.6846364
113,2.6878905
114,2.6913836
115,2.6949537
116,2.6983848
117,2.700794
118,2.702946
119,2.7048154
120,2.7062905
121,2.70687
122,2.7003405
123,2.672451
124,2.7147098
125,2.6916106
126,2.6831312
127,2.689328
128,2.719129
129,2.7008007
130,2.7055745
131,2.6954503
132,2.7188153
133,2.714586
134,2.7217875
135,2.725122
136,2.724848
137,2.7363381
138,2.7409403
139,2.7419512
140,2.757966
141,2.7531621
142,2.761602
143,2.7610564
144,2.766001
145,2.762029
146,2.7705364
147,2.768593
148,2.7710755
149,2.7757528
150,2.774969
151,2.7763765
152,2.7776482
153,2.7791479
154,2.7800715
155,2.780609
156,2.7824225
157,2.7828727
158,2.7838666
159,2.7840447
160,2.7850661
161,2.7856512
162,2.7858305
163,2.7865832
164,2.787152
165,2.7878616
166,2.7881138
167,2.788226
168,2.788672
169,2.789087
170,2.789388
171,2.789707
172,2.7899058
173,2.7901268
174,2.7904415
175,2.7906804
176,2.7909002
177,2.7911532
178,2.7913506
179,2.7915523
180,2.7918034
181,2.7920315
182,2.7922533
183,2.7925005
184,2.7927155
185,2.7928975
186,2.7930965
187,2.7933128
188,2.7935283
189,2.7937498
190,2.7939699
191,2.7941792
192,2.7943957
193,2.794623
194,2.7948432
195,2.795065
196,2.7952864
197,2.795494
198,2.7957022
199,2.7959142
200,2.7961156
201,2.7963147
202,2.7965105
203,2.7966964
204,2.7968817
205,2.7970634
206,2.797242
207,2.7974234
208,2.7976053
209,2.7977924
210,2.7979996
211,2.7982457
212,2.7985768
213,2.799041
214,2.7994537
215,2.7997918
216,2.8000517
217,2.8002152
218,2.8004863
219,2.800682
220,2.8008766
221,2.801082
222,2.8012536
223,2.801458
224,2.801611
225,2.8017209
226,2.8018246
227,2.8018968
228,2.8019938
229,2.802122
230,2.8022385
231,2.8023565
232,2.802465
233,2.8025546
234,2.802647
235,2.8027394
236,2.802823
237,2.802905
238,2.8029833
