,Prices_10_3,Strategy_Returns_10_3,F_t_10_3
0,495.77,-0.039999995,0.0
1,487.92,3.34,0.99999994
2,491.3,12.499999,0.99999994
3,500.46,-26.509989,0.9999997
4,461.45,-29.359987,0.99999964
5,458.6,-51.56998,0.99999976
6,436.39,-47.66998,0.99999994
7,440.29,-40.74998,0.99999994
8,447.21,-40.31998,0.9999997
9,447.64,-30.199982,0.99999994
10,457.76,-38.579983,0.99999994
11,449.38,-50.19998,0.99999994
12,437.76,-51.55998,0.9999999
13,436.4,-54.47998,0.99999976
14,433.48,-58.999977,0.99999994
15,428.96,-49.13998,0.99999994
16,438.82,-47.78998,0.99999994
17,440.17,-38.49998,0.99999994
18,449.46,-33.529984,0.99999994
19,454.43,-49.06998,0.99999994
20,438.89,-46.49998,0.9999999
21,441.46,-47.28998,0.99999994
22,440.67,-43.989983,0.99999994
23,443.97,-40.70998,0.99999994
24,447.25,-39.899982,0.99999994
25,448.06,-39.059982,0.99999994
26,448.9,-41.69998,0.9999999
27,446.26,-41.779984,0.99999994
28,446.18,-2.2399848,0.9999999
29,485.72,3.8100145,0.9999999
30,491.77,36.62001,0.99999994
31,524.58,32.260014,0.99999994
32,520.22,37.18001,0.99999994
33,525.14,83.63001,0.99999994
34,571.59,95.46001,0.9999998
35,583.42,83.28001,0.99999994
36,571.24,89.100006,0.9999999
37,577.06,80.22001,0.99999994
38,568.18,127.37,0.99999994
39,615.33,135.72,0.99999976
40,623.68,142.27,0.9999999
41,630.23,172.66,0.9999998
42,660.62,179.64,0.99999994
43,667.6,153.65,0.99999994
44,641.61,171.29999,0.9999997
45,659.26,165.73999,0.9999998
46,653.7,167.01,0.99999994
47,654.97,168.18,0.99999994
48,656.14,161.2,0.99999994
49,649.16,165.18999,0.9999997
50,653.15,145.06,0.99999994
51,633.02,98.99,0.99999994
52,586.95,112.2,0.99999976
53,600.16,89.4,0.9999998
54,577.36,104.98,0.99999994
55,592.94,104.23,0.9999999
56,592.19,122.9,0.99999994
57,610.86,120.0,0.99999994
58,607.96,110.11,0.9999999
59,598.07,106.19,0.99999994
60,594.15,107.03,0.99999976
61,594.99,114.31,0.99999994
62,602.27,106.02,0.99999994
63,593.98,94.4,0.9999998
64,582.36,78.380005,0.99999994
65,566.34,93.18,0.9999999
66,581.14,109.3,0.99999994
67,597.26,108.590004,0.99999976
68,596.55,114.76,0.99999994
69,602.72,151.84,0.99999994
70,639.8,152.84999,0.99999994
71,640.81,162.92,0.99999994
72,650.88,157.2,0.9999998
73,645.16,142.73,0.9999999
74,630.69,143.5,0.99999994
75,631.46,147.85,0.99999994
76,635.81,136.13,0.9999999
77,624.09,136.86,0.9999998
78,624.82,136.55,0.99999994
79,624.51,128.8,0.99999994
80,616.76,144.04,0.9999997
81,632.0,145.75,0.99999994
82,633.71,138.54,0.9999999
83,626.5,131.36,0.99999994
84,619.32,133.62999,0.99999994
85,621.59,128.84,0.99999994
86,616.8,135.12999,0.9999999
87,623.09,140.81999,0.99999994
88,628.78,140.56,0.99999994
89,628.52,135.94,0.99999994
90,623.9,134.25,0.99999994
91,622.21,133.59,0.9999998
92,621.55,131.45,0.9999999
93,619.41,113.77,0.99999994
