,Prices_10_2,Strategy_Returns_10_2,F_t_10_2
0,495.77,-0.039999995,0.0
1,487.92,3.3399997,0.9999999
2,491.3,12.499997,0.99999994
3,500.46,-26.509356,0.9999835
4,461.45,-29.359346,0.99999666
5,458.6,-51.569344,0.99999994
6,436.39,-47.669346,0.9999999
7,440.29,-40.749344,1.0
8,447.21,-40.319344,0.9999985
9,447.64,-30.199347,0.99999994
10,457.76,-38.579346,0.9999999
11,449.38,-50.199345,0.9999998
12,437.76,-51.55934,1.0
13,436.4,-54.479343,0.9999996
14,433.48,-58.99934,1.0
15,428.96,-49.139343,0.9999999
16,438.82,-47.789345,1.0
17,440.17,-38.499344,0.99999994
18,449.46,-33.529346,0.9999998
19,454.43,-49.069344,0.99999994
20,438.89,-46.499344,0.99999994
21,441.46,-47.289345,0.99999994
22,440.67,-43.989346,0.99999994
23,443.97,-40.709347,0.99999994
24,447.25,-39.899345,0.9999999
25,448.06,-39.059345,0.99999994
26,448.9,-41.699345,0.9999999
27,446.26,-41.779346,0.9999999
28,446.18,-2.2393482,0.99999994
29,485.72,3.810651,0.9999999
30,491.77,36.62065,1.0
31,524.58,32.260654,0.99999994
32,520.22,37.180653,0.99999994
33,525.14,83.63065,1.0
34,571.59,95.460655,0.9999999
35,583.42,83.280655,0.99999994
36,571.24,89.100655,1.0
37,577.06,80.22066,0.9999996
38,568.18,127.37066,1.0
39,615.33,135.72063,0.9999954
40,623.68,142.27061,0.99999994
41,630.23,172.66061,0.99999994
42,660.62,179.64061,0.99999976
43,667.6,153.65062,1.0
44,641.61,171.30061,0.9999998
45,659.26,165.74062,0.9999998
46,653.7,167.01062,1.0
47,654.97,168.18062,0.99999976
48,656.14,161.2006,1.0
49,649.16,165.19061,0.9999999
50,653.15,145.06062,0.9999998
51,633.02,98.99062,0.9999998
52,586.95,112.20062,0.9999999
53,600.16,89.400635,0.9999996
54,577.36,104.98064,1.0
55,592.94,104.23064,0.99999976
56,592.19,122.90063,0.99999964
57,610.86,120.000626,0.99999994
58,607.96,110.11063,0.9999997
59,598.07,106.19063,0.99999994
60,594.15,107.03063,0.99999994
61,594.99,114.31062,0.99999964
62,602.27,106.02063,1.0
63,593.98,94.40063,0.99999976
64,582.36,78.38063,1.0
65,566.34,93.180626,0.99999976
66,581.14,109.30062,0.99999994
67,597.26,108.59062,0.9999997
68,596.55,114.76063,0.99999994
69,602.72,151.84062,0.99999994
70,639.8,152.85062,0.99999994
