,sharp_grurl_10_2
0,-0.09089584
1,-0.06264041
2,-0.022390854
3,0.047540758
4,0.10108881
5,0.12193848
6,0.13703844
7,0.15000926
8,0.1617618
9,0.17273948
10,0.18321805
11,0.19338855
12,0.20339315
13,0.21334343
14,0.22333203
15,0.2334407
16,0.2437453
17,0.25432053
18,0.26524404
19,0.27659902
20,0.28847763
21,0.30098334
22,0.3142326
23,0.32835442
24,0.3434885
25,0.35977793
26,0.3773582
27,0.39633617
28,0.41676167
29,0.43858773
30,0.4616274
31,0.4855177
32,0.50972
33,0.53358656
34,0.55650216
35,0.5780539
36,0.59812444
37,0.6168422
38,0.63444597
39,0.65118253
40,0.6672994
41,0.6830935
42,0.6989516
43,0.71534634
44,0.7327932
45,0.7517357
46,0.7722728
47,0.7937356
48,0.8147507
49,0.8351013
50,0.8572655
51,0.88324344
52,0.9113115
53,0.9379563
54,0.96184355
55,0.9819036
56,0.99629307
57,1.007975
58,1.0195984
59,1.0302179
60,1.0415533
61,1.056001
62,1.0717256
63,1.0857302
64,1.0989385
65,1.1139694
66,1.1287614
67,1.1440753
68,1.1614181
69,1.1777266
70,1.1929939
71,1.2075871
72,1.219526
73,1.231206
74,1.2424561
75,1.2524971
76,1.261799
77,1.2697511
78,1.277132
79,1.284642
80,1.2920433
81,1.2994974
82,1.3071923
83,1.3147221
84,1.3221663
85,1.3292819
86,1.3359184
87,1.3427963
88,1.3502086
89,1.3573921
90,1.3641108
91,1.3700783
92,1.3754344
93,1.3803784
94,1.3852109
95,1.3898287
96,1.3942839
97,1.3986964
98,1.4032038
99,1.4075822
100,1.4118457
101,1.4162295
102,1.420558
103,1.4248083
104,1.4287755
105,1.4324639
106,1.4360132
107,1.4396209
108,1.4433519
109,1.4469892
110,1.4504293
111,1.4536769
112,1.4570315
113,1.4605534
114,1.4641662
115,1.4676849
116,1.4710912
117,1.4746438
118,1.4784355
119,1.4823949
120,1.4863467
121,1.4902107
122,1.4940506
123,1.4979358
124,1.5018668
125,1.5058377
126,1.509817
127,1.5138643
128,1.5180397
129,1.5224525
130,1.5272743
131,1.5329063
132,1.540283
133,1.5514616
134,1.5697842
135,1.5950263
136,1.6197299
137,1.6426783
138,1.6540601
139,1.6586621
140,1.6765922
141,1.6980612
142,1.7094021
143,1.7149578
144,1.7223958
145,1.735338
146,1.746807
147,1.7579814
148,1.7636096
149,1.7714168
150,1.7803226
151,1.7904712
152,1.7963307
153,1.800679
154,1.809864
155,1.817506
156,1.8236727
157,1.8286135
158,1.8344293
159,1.8398546
160,1.846022
161,1.8505678
162,1.8547941
163,1.8592085
164,1.863538
165,1.8678423
166,1.8728092
167,1.8786603
168,1.8870621
169,1.8977618
170,1.9073396
171,1.915216
172,1.9258069
173,1.9359971
174,1.9404632
175,1.9457864
176,1.9526305
177,1.9595594
178,1.9649634
179,1.9677134
180,1.9716548
181,1.9756874
182,1.9780287
183,1.9809105
184,1.9835982
185,1.986206
186,1.987825
187,1.9893259
188,1.9908723
189,1.9932886
190,1.9961779
191,2.0005882
192,2.0076056
193,2.023758
194,2.0513842
195,2.0716343
196,2.1001503
197,2.1268454
198,2.13609
199,2.1543958
200,2.1652877
201,2.1326277
202,2.1824193
203,2.1405225
204,2.1427958
205,2.1488252
206,2.2159321
207,2.1455386
208,2.2087839
209,2.1355295
210,2.1892257
211,2.2338026
212,2.1948805
213,2.2537467
214,2.240819
215,2.2198563
216,2.265446
217,2.2601674
218,2.270852
219,2.286658
220,2.2781045
221,2.2838418
222,2.2966466
223,2.29047
224,2.294903
225,2.3001707
226,2.3048806
227,2.3162937
228,2.3223035
229,2.3256881
230,2.3250258
231,2.3299456
232,2.3369732
233,2.3416498
234,2.3474965
235,2.351415
236,2.3503315
237,2.3562758
238,2.3592575
239,2.3629708
240,2.3634605
241,2.3647254
242,2.3670835
243,2.3689654
244,2.37207
245,2.3735862
246,2.3750339
247,2.3768299
248,2.3777378
249,2.3796518
250,2.3808172
251,2.3822532
252,2.3839252
253,2.384859
254,2.3861678
255,2.3871808
256,2.3878438
257,2.388893
258,2.3896801
259,2.3904307
260,2.3913667
261,2.3919983
262,2.392595
263,2.393297
264,2.3938093
265,2.3943446
266,2.3949642
267,2.3954523
268,2.3959217
269,2.3964443
270,2.3968732
271,2.3972695
272,2.3977032
273,2.398083
274,2.3984158
275,2.398775
276,2.3991203
277,2.3994277
278,2.3997495
279,2.4000823
280,2.4003928
281,2.4007027
282,2.4010355
283,2.401388
284,2.4017956
285,2.4023101
286,2.402976
287,2.4038973
288,2.4051588
289,2.406788
290,2.4086163
291,2.4102979
292,2.4117384
293,2.4130285
294,2.4140503
295,2.414826
296,2.415424
297,2.4158814
298,2.4162524
299,2.4165897
300,2.4168968
301,2.4171686
302,2.4174068
303,2.417621
304,2.4178164
305,2.417995
306,2.4181554
307,2.4183047
308,2.4184463
309,2.418582
310,2.4187105
311,2.418831
312,2.4189458
313,2.4190545
314,2.419155
315,2.4192493
316,2.41934
317,2.419427
318,2.4195113
319,2.4195926
320,2.4196715
321,2.4197488
322,2.4198234
