,Prices_20_1,Strategy_Returns_20_1,F_t_20_1
0,457.76,-0.039999172,0.0
1,449.38,-11.659759,0.9999793
2,437.76,-13.019732,0.9999804
3,436.4,-15.939686,0.9999841
4,433.48,-20.459633,0.9999881
5,428.96,-10.59974,0.9999891
6,438.82,-9.249757,0.99998766
7,440.17,0.040108517,0.9999855
8,449.46,5.0100455,0.99998736
9,454.43,-10.529752,0.99998695
10,438.89,-7.959783,0.99998766
11,441.46,-8.749775,0.9999896
12,440.67,-5.4498105,0.9999892
13,443.97,-2.1698425,0.99999034
14,447.25,-1.3598515,0.9999889
15,448.06,-0.5198617,0.99998796
16,448.9,-3.1598272,0.99998695
17,446.26,-3.2398262,0.99998647
18,446.18,36.29967,0.9999873
19,485.72,42.349598,0.9999879
20,491.77,75.15913,0.99998564
21,524.58,70.79917,0.99998915
22,520.22,75.7191,0.9999859
23,525.14,122.168594,0.99998903
24,571.59,133.99844,0.9999868
25,583.42,121.81865,0.9999829
26,571.24,127.63857,0.9999875
27,577.06,118.758675,0.999989
28,568.18,165.90811,0.999988
29,615.33,174.25803,0.9999894
30,623.68,180.8079,0.99998385
31,630.23,211.19756,0.9999884
32,660.62,218.17747,0.99998754
33,667.6,192.18784,0.99998605
34,641.61,209.83763,0.99998856
35,659.26,204.2777,0.9999898
36,653.7,205.54767,0.99998426
37,654.97,206.71765,0.9999855
38,656.14,199.73778,0.9999828
39,649.16,203.7277,0.99998397
40,653.15,183.598,0.9999854
41,633.02,137.52875,0.9999839
42,586.95,150.73856,0.9999856
43,600.16,127.93884,0.9999873
44,577.36,143.5186,0.99998397
45,592.94,142.7686,0.99998885
46,592.19,161.43828,0.9999828
47,610.86,158.53833,0.9999836
48,607.96,148.64853,0.99997973
49,598.07,144.72859,0.99998397
50,594.15,145.56857,0.99998504
51,594.99,152.84848,0.9999856
52,602.27,144.55858,0.99998707
53,593.98,132.93874,0.99998695
54,582.36,116.91893,0.9999876
55,566.34,131.71875,0.9999876
56,581.14,147.83856,0.99998814
57,597.26,147.12857,0.9999861
58,596.55,153.2985,0.9999881
59,602.72,190.37814,0.99999046
60,639.8,191.38814,0.9999906
61,640.81,201.45801,0.9999878
62,650.88,195.73807,0.9999891
63,645.16,181.26826,0.9999867
64,630.69,182.03825,0.9999873
65,631.46,186.3882,0.9999873
66,635.81,174.66835,0.9999868
67,624.09,175.39835,0.99998784
68,624.82,175.08835,0.9999891
69,624.51,167.33844,0.99998736
70,616.76,182.57826,0.9999877
71,632.0,184.28824,0.9999889
72,633.71,177.07832,0.99998784
73,626.5,169.8984,0.9999888
74,619.32,172.16838,0.99998766
75,621.59,167.37845,0.999986
76,616.8,173.66835,0.9999846
77,623.09,179.35826,0.99998504
78,628.78,179.09827,0.99998283
79,628.52,174.47835,0.9999837
80,623.9,172.78836,0.99998635
81,622.21,172.12837,0.9999881
82,621.55,169.9884,0.99998844
83,619.41,152.30861,0.99998826
84,601.73,151.66861,0.99998796
85,601.09,146.38867,0.999989
86,595.81,144.4287,0.99998754
87,593.85,136.2688,0.99998784
88,585.69,135.29881,0.99998695
89,584.72,117.86903,0.9999872
90,567.29,136.80878,0.9999865
91,586.23,145.49867,0.99998873
92,594.92,139.90875,0.99998605
93,589.33,137.2488,0.9999875
94,586.67,139.35876,0.9999877
95,588.78,136.01881,0.9999868
96,585.44,135.22882,0.99998635
97,584.65,139.44876,0.99998724
98,588.87,143.15872,0.9999875
99,592.58,139.94876,0.99998736
100,589.37,141.63873,0.9999877
101,591.06,126.948906,0.9999886
102,576.37,120.21898,0.99998856
103,569.64,97.23922,0.9999897
104,546.66,56.549694,0.9999884
105,505.97,47.589787,0.9999895
106,497.01,70.289566,0.9999902
107,519.71,42.379913,0.9999876
108,491.8,12.040365,0.99998504
109,461.46,35.8201,0.99998873
110,485.24,62.559757,0.99998724
111,511.98,67.81967,0.9999832
112,517.24,64.61971,0.99998546
113,514.04,48.659916,0.99998736
114,498.08,58.86979,0.9999875
115,508.29,53.079857,0.99998814
116,502.5,62.149727,0.9999854
117,511.57,61.72973,0.99998724
118,511.15,58.399776,0.99998605
119,507.82,59.09977,0.9999881
120,508.52,54.829815,0.999989
121,504.25,28.340086,0.99998987
122,477.76,25.460112,0.99999106
123,474.88,28.010092,0.99999225
124,477.43,28.17009,0.99998975
125,477.59,40.239952,0.9999886
126,489.66,33.92002,0.99998885
127,483.34,35.410004,0.9999883
128,484.83,32.860035,0.99998766
129,482.28,25.180159,0.99998397
130,474.6,25.840149,0.9999852
131,475.26,29.940098,0.9999877
132,479.36,30.330093,0.9999878
133,479.75,28.330118,0.99998736
134,477.75,29.580103,0.99998695
135,479.0,28.470118,0.9999869
136,477.89,25.950151,0.99998677
137,475.37,16.640266,0.99998754
138,466.06,7.910369,0.99998826
139,457.33,-24.979279,0.99998933
140,424.44,-54.618973,0.9999896
141,394.8,-40.519104,0.99999064
142,408.9,-50.598988,0.9999887
143,398.82,-47.269043,0.99998415
144,402.15,-13.629473,0.9999872
145,435.79,-26.219296,0.9999859
146,423.2,-37.849117,0.9999845
147,411.57,-44.99904,0.9999892
148,404.42,-49.89898,0.9999882
149,399.52,-72.2387,0.99998766
150,377.18,-73.948685,0.999987
151,375.47,-62.478817,0.9999882
152,386.94,-65.80877,0.99998635
153,383.61,-74.34865,0.9999859
154,375.07,-89.90846,0.9999876
155,359.51,-120.548096,0.99998826
156,328.87,-128.908,0.99998957
157,320.51,-119.3381,0.9999913
158,330.08,-113.22815,0.99999046
159,336.19,-96.47833,0.99998945
160,352.94,-84.38847,0.9999882
161,365.03,-87.85842,0.9999852
162,361.56,-87.11843,0.99998516
163,362.3,-70.86866,0.9999862
164,378.55,-59.00882,0.99998647
165,390.41,-48.54895,0.9999875
166,400.87,-54.64888,0.9999888
167,394.77,-66.85874,0.99998885
168,382.56,-65.65876,0.9999898
169,383.76,-57.97884,0.9999892
170,391.44,-59.868816,0.9999872
171,389.55,-66.56873,0.99998724
172,382.85,-62.938766,0.9999895
