,sharp_lstmrl_5_1
0,-0.062174994
1,-0.04064978
2,-0.01908413
3,0.0016522737
4,0.021053316
5,0.03893596
6,0.055308577
7,0.070279084
8,0.0839965
9,0.09661805
10,0.108293705
11,0.119159915
12,0.12933768
13,0.13893244
14,0.1480357
15,0.15672626
16,0.16507195
17,0.17313117
18,0.1809549
19,0.18858747
20,0.19606803
21,0.20343107
22,0.2107076
23,0.21792549
24,0.22511022
25,0.2322851
26,0.23947161
27,0.24669011
28,0.25395954
29,0.261298
30,0.26872298
31,0.2762511
32,0.28389868
33,0.29168165
34,0.29961574
35,0.30771643
36,0.3159992
37,0.32447937
38,0.3331725
39,0.34209403
40,0.35125935
41,0.3606843
42,0.37038428
43,0.3803752
44,0.3906725
45,0.401292
46,0.412249
47,0.42355853
48,0.43523505
49,0.447293
50,0.4597452
51,0.47260365
52,0.48587874
53,0.49957925
54,0.5137116
55,0.52828026
56,0.5432873
57,0.5587324
58,0.57461387
59,0.59092873
60,0.6076728
61,0.62484306
62,0.6424359
63,0.6604476
64,0.67887306
65,0.6977043
66,0.71692806
67,0.7365257
68,0.75647336
69,0.77674335
70,0.7973079
71,0.81814075
72,0.83921826
73,0.86052006
74,0.8820269
75,0.90371734
76,0.92556685
77,0.9475462
78,0.9696221
79,0.9917589
80,1.013922
81,1.0360807
82,1.0582104
83,1.0802946
84,1.102326
85,1.1243055
86,1.1462432
87,1.1681571
88,1.1900728
89,1.212023
90,1.2340453
91,1.2561783
92,1.2784547
93,1.3008869
94,1.3234582
95,1.3461303
96,1.3688852
97,1.3917631
98,1.4148048
99,1.4379386
100,1.4610128
101,1.4839811
102,1.5069164
103,1.5297922
104,1.5524527
105,1.5748931
106,1.5972214
107,1.6193352
108,1.6411661
109,1.6628447
110,1.6843411
111,1.7056191
112,1.7268326
113,1.7479478
114,1.7689542
115,1.7899219
116,1.8107374
117,1.8314495
118,1.851974
119,1.8722416
120,1.8922575
121,1.9120234
122,1.9316792
123,1.9512718
124,1.970881
125,1.9905286
126,2.0101116
127,2.029545
128,2.0486805
129,2.0674748
130,2.0859134
131,2.1039565
132,2.1216116
133,2.1389248
134,2.15602
135,2.172999
136,2.1897857
137,2.2061884
138,2.2219503
139,2.2375915
140,2.253928
141,2.2700822
142,2.284798
143,2.2992125
144,2.3148386
145,2.3306212
146,2.3455448
147,2.3605206
148,2.376471
149,2.3932402
150,2.4097269
151,2.4257088
152,2.4414084
153,2.456913
154,2.4722633
155,2.4870493
156,2.5009434
157,2.5138674
158,2.5259264
159,2.537144
160,2.547551
161,2.5579617
162,2.5693333
163,2.5809917
164,2.590999
165,2.5995977
166,2.6085978
167,2.6186786
168,2.6284776
169,2.636835
170,2.644703
171,2.6534088
172,2.6624525
173,2.6706903
174,2.6781425
175,2.6857572
176,2.6940367
177,2.7020981
178,2.7095265
179,2.7167914
180,2.724342
181,2.7323215
182,2.7402167
183,2.7478635
184,2.7553687
185,2.7628076
186,2.7703733
187,2.7778444
188,2.7860715
189,2.7946026
190,2.8038402
191,2.8128877
192,2.8215861
193,2.8299494
194,2.8378553
195,2.845425
196,2.8522513
197,2.8615649
198,2.8714912
199,2.880627
200,2.887501
201,2.8940375
202,2.903068
203,2.911926
204,2.9191601
205,2.9265785
206,2.9354722
207,2.9448347
208,2.9530604
209,2.9610436
210,2.9696841
211,2.977649
212,2.9846318
213,2.9920475
214,2.9999382
215,3.007341
216,3.0140224
217,3.020667
218,3.0277994
219,3.0354304
220,3.043558
221,3.0517962
222,3.060038
223,3.068363
224,3.0767574
225,3.0853903
226,3.094146
227,3.1028166
228,3.111129
229,3.1190188
230,3.1265671
231,3.134115
232,3.1421227
233,3.1507378
234,3.1590908
235,3.1655657
236,3.1700144
237,3.1721284
238,3.1722612
239,3.1738951
240,3.1889162
241,3.196767
242,3.1963184
243,3.2032793
244,3.208632
245,3.213082
246,3.2181497
247,3.2184956
248,3.2258267
249,3.230824
250,3.2309213
251,3.2377696
252,3.2413487
253,3.2441435
254,3.2479625
255,3.2514696
256,3.255649
257,3.2573833
258,3.2617314
259,3.2648814
260,3.267561
261,3.27081
262,3.2737775
263,3.2772892
264,3.2794154
265,3.2827744
266,3.2856894
267,3.2885475
268,3.2912743
269,3.2938008
270,3.2969651
271,3.2995143
272,3.3022535
273,3.3047595
274,3.3073132
275,3.310166
276,3.3126187
277,3.3152132
278,3.3176537
279,3.320079
280,3.322736
281,3.3252058
282,3.3278074
283,3.3303742
284,3.332863
285,3.3354838
286,3.338025
287,3.3406584
288,3.3433099
289,3.3458052
290,3.3476076
291,3.3470457
292,3.3362138
293,3.34567
294,3.3460057
295,3.3660138
296,3.3539586
297,3.315518
298,3.3508873
299,3.2801783
300,3.3536358
301,3.3357584
302,3.3709688
303,3.3235164
304,3.3762486
305,3.3568463
306,3.3876393
307,3.3515058
308,3.39602
309,3.3662248
310,3.4037962
311,3.3715496
312,3.4073935
313,3.3911982
314,3.4065602
315,3.3999941
316,3.4132807
317,3.4054403
318,3.4179416
319,3.4130564
320,3.4198487
321,3.4217918
322,3.4228058
323,3.4270587
324,3.4284654
325,3.431824
326,3.431655
327,3.438459
328,3.4357688
329,3.4421594
330,3.4418967
331,3.445612
332,3.4466588
333,3.4505262
334,3.451179
335,3.4544764
336,3.4566348
337,3.4583495
338,3.4615557
339,3.4631765
340,3.4661477
341,3.4683433
342,3.4710658
343,3.4733696
344,3.4764333
345,3.4786866
346,3.4814126
347,3.4842763
348,3.4863946
349,3.4897573
350,3.491839
351,3.4949296
352,3.4974976
353,3.5001602
354,3.503113
355,3.505652
356,3.508694
357,3.5113897
358,3.5143273
359,3.5173087
360,3.5201411
361,3.5232856
362,3.5261743
363,3.5291317
364,3.5321786
365,3.534912
366,3.537724
367,3.5405066
368,3.5430348
369,3.5456212
370,3.5481608
371,3.5505111
372,3.5529168
373,3.5552924
374,3.5575297
375,3.5598068
376,3.5620713
377,3.5642142
378,3.5663555
379,3.5684962
380,3.57054
381,3.572545
382,3.5745568
383,3.5765076
384,3.5783975
385,3.5802846
386,3.5821478
387,3.5839527
388,3.58573
389,3.587501
390,3.5892353
391,3.590922
392,3.592594
393,3.5942476
394,3.595855
395,3.5974283
396,3.5989833
397,3.6005054
398,3.6019874
