,sharp_lstmrl_15_1
0,-0.067102894
1,-0.043655206
2,-0.019805346
3,0.0031371792
4,0.02438626
5,0.043683503
6,0.06108468
7,0.07678484
8,0.09102004
9,0.10402086
10,0.11599455
11,0.12712026
12,0.13755007
13,0.14741237
14,0.15681529
15,0.16585074
16,0.17459792
17,0.18312602
18,0.1914969
19,0.19976705
20,0.20798874
21,0.21621169
22,0.2244832
23,0.23284847
24,0.24134973
25,0.25002354
26,0.258896
27,0.2679747
28,0.2772379
29,0.28661922
30,0.29599828
31,0.30520797
32,0.3140887
33,0.32260302
34,0.33097565
35,0.33974147
36,0.34961113
37,0.36120015
38,0.37478688
39,0.3902106
40,0.4069309
41,0.42421806
42,0.44142312
43,0.45824268
44,0.47485375
45,0.49179605
46,0.5096436
47,0.5286465
48,0.54848593
49,0.568288
50,0.5871529
51,0.6051096
52,0.62326133
53,0.6419859
54,0.65974283
55,0.67608565
56,0.6935588
57,0.7117661
58,0.72759575
59,0.7439188
60,0.7589617
61,0.77074754
62,0.7824995
63,0.79015714
64,0.7978774
65,0.80489254
66,0.8136702
67,0.82294834
68,0.8299366
69,0.83800954
70,0.84720427
71,0.85952175
72,0.87230396
73,0.8829595
74,0.89280355
75,0.8994644
76,0.92142016
77,0.9256046
78,0.9295061
79,0.939441
80,0.9614716
81,0.9396235
82,0.9674636
83,0.92164296
84,0.9904524
85,0.96084684
86,1.002002
87,1.014998
88,1.01035
89,1.0111986
90,1.0250808
91,1.0469489
92,1.0617605
93,1.0686235
94,1.0601308
95,1.0858123
96,1.0913066
97,1.0981789
98,1.1063185
99,1.1112489
100,1.1229653
101,1.1394835
102,1.1527544
103,1.1671151
104,1.1728245
105,1.1789235
106,1.1878139
107,1.2027026
108,1.213309
109,1.2178221
110,1.2260638
111,1.2346197
112,1.2422378
113,1.2477249
114,1.2536345
115,1.2618932
116,1.2707338
117,1.2774642
118,1.2857926
119,1.294115
120,1.3024217
121,1.3120687
122,1.3202469
123,1.3286524
124,1.338354
125,1.3484981
126,1.3589673
127,1.3691769
128,1.3755401
129,1.3823953
130,1.4054027
131,1.4227449
132,1.4362437
133,1.4397125
134,1.4415132
135,1.4628675
136,1.4211692
137,1.4879977
138,1.4527651
