,sharp_grurl_15_3
0,0.07966267
1,0.10521204
2,0.12544747
3,0.14292197
4,0.15872654
5,0.17339057
6,0.1871375
7,0.19997816
8,0.21175896
9,0.22221906
10,0.23108606
11,0.23821592
12,0.24373446
13,0.24810693
14,0.2521065
15,0.2567548
16,0.2633507
17,0.2735995
18,0.289625
19,0.31343526
20,0.34565362
21,0.38441262
22,0.42594376
23,0.46685636
24,0.5059212
25,0.5437065
26,0.5811519
27,0.6185215
28,0.65490943
29,0.6902097
30,0.7225557
31,0.7444894
32,0.7586513
33,0.7732811
34,0.7877882
35,0.8048438
36,0.8272537
37,0.82423997
38,0.8533496
39,0.87790465
40,0.8992885
41,0.9278382
42,0.9725601
43,1.0038432
44,1.023623
45,1.0445391
46,1.0390345
47,1.0560064
48,1.0964383
49,1.1356003
50,1.1751472
51,1.2148256
52,1.2450902
53,1.2732524
54,1.3131369
55,1.3544182
56,1.381791
57,1.401531
58,1.4278407
59,1.4560903
60,1.4786801
61,1.4988874
62,1.5217952
63,1.546412
64,1.5670745
65,1.5851196
66,1.6044053
67,1.6255478
68,1.6434458
69,1.661621
70,1.6863893
71,1.7021329
72,1.712996
73,1.6898217
74,1.7370144
75,1.639835
76,1.6669673
77,1.6286038
78,1.6940705
79,1.6793001
80,1.8002611
81,1.7387717
82,1.7207243
83,1.731316
84,1.7549777
85,1.8190929
86,1.7544202
87,1.7510568
88,1.7551606
89,1.767168
90,1.7720296
91,1.8051436
92,1.8372742
93,1.8248
94,1.8611982
95,1.863938
96,1.9134164
97,1.8039268
98,1.8977461
99,1.8017914
100,1.9323983
101,1.9663031
102,1.95222
103,1.9760984
104,1.9777606
105,2.0451734
106,1.9292147
107,1.8983426
108,1.8937109
109,1.9555714
110,1.9140085
111,1.9130079
112,1.9367772
113,1.9761926
114,2.03571
115,1.8931336
116,1.9914246
117,2.010939
118,1.8275633
119,1.8300303
120,1.9713057
121,2.0535862
122,2.0335178
123,2.0147438
124,2.006749
125,2.0283697
126,2.0351703
127,2.0538583
128,2.0791907
129,2.016477
130,1.9849067
131,1.9516724
132,1.9510432
133,1.9681635
134,1.995784
135,2.0168972
136,2.0415587
137,2.0444257
138,2.063408
139,2.049432
140,2.0642946
141,2.0599804
142,2.078993
143,2.0839176
144,2.0957944
145,2.0842555
146,2.0967662
147,2.0865486
148,2.1101387
149,2.114907
150,2.1266522
151,2.1181543
152,2.1147203
153,2.120329
154,2.130245
155,2.1300275
156,2.1312373
157,2.1336355
158,2.1334925
159,2.137601
160,2.1394553
161,2.1421497
162,2.1439266
163,2.1434517
164,2.1438086
165,2.1444948
166,2.1454527
167,2.1476505
168,2.1488147
169,2.1498299
170,2.1510704
171,2.1524224
172,2.1542552
173,2.157065
174,2.159461
175,2.1613636
176,2.162653
177,2.1638792
178,2.1654472
179,2.1668084
180,2.167879
181,2.1684222
182,2.1688905
183,2.1697795
184,2.170897
185,2.1718602
186,2.172787
187,2.1734095
188,2.1739419
189,2.174361
190,2.1748064
191,2.175243
192,2.175638
193,2.1760135
194,2.1763065
195,2.1765635
196,2.1767943
197,2.1770048
198,2.1772425
199,2.177487
200,2.1777253
201,2.17796
202,2.1781642
203,2.1783395
204,2.1785038
205,2.1786554
206,2.1788006
207,2.1789463
208,2.179085
209,2.1792111
210,2.1793284
211,2.1794357
212,2.1795325
213,2.179625
214,2.1797192
215,2.179814
216,2.1799102
217,2.1800103
218,2.1801128
219,2.1802182
220,2.180331
221,2.1804585
222,2.1806195
223,2.1808634
224,2.1813781
225,2.1833856
226,2.203505
227,2.225169
228,2.1506605
229,2.1300423
230,2.1138031
231,2.1559882
232,2.103452
233,2.131367
234,2.1464548
235,2.1556034
236,2.1927066
237,2.1538496
238,2.1566274
239,2.1403966
240,2.1196947
241,2.1587915
242,2.1404135
243,2.1456249
244,2.1689017
245,2.104701
246,2.0878403
247,2.100821
248,2.094898
249,2.0972583
250,2.1476183
251,1.9835594
252,1.9952879
253,2.0735636
254,2.0769033
255,2.089275
256,2.0258875
257,2.0193937
258,2.0400884
259,2.0517802
260,2.0351822
261,2.1276915
262,2.0488508
263,2.059144
264,2.0630462
265,2.01029
266,2.0713573
267,2.0867605
268,2.1082294
269,2.1543198
270,2.1563625
271,2.1439576
272,2.1382687
273,2.1346738
274,2.1403074
275,2.1597488
276,2.1612835
277,2.1913521
278,2.1654663
279,2.172001
280,2.1249943
281,2.1369572
282,2.1383474
283,2.1448822
284,2.1761003
285,2.1677685
286,2.1845713
287,2.192745
288,2.196473
289,2.1848133
290,2.192794
291,2.1964054
292,2.1979773
293,2.1970294
294,2.1996925
295,2.2024152
296,2.2036524
297,2.2042346
298,2.2035637
299,2.2074337
300,2.2356782
301,2.2261496
302,2.2225418
