,Prices_15_1,Strategy_Returns_15_1,F_t_15_1
210,352.92,-68.859985,1.0
211,367.57,-59.529987,1.0
212,376.9,-61.079987,1.0
213,375.35,-68.05999,1.0
214,368.37,-66.75999,1.0
215,369.67,-59.97999,1.0
216,376.45,-60.939987,1.0
217,375.49,-58.37999,1.0
218,378.05,-57.189987,1.0
219,379.24,-55.10999,1.0
220,381.32,-61.419987,1.0
221,375.01,-66.82999,1.0
222,369.6,-59.579987,1.0
223,376.85,-61.639988,1.0
224,374.79,-61.329987,1.0
225,375.1,-74.51999,1.0
226,361.91,-84.209984,1.0
227,352.22,-90.069984,1.0
228,346.36,-85.91999,1.0
229,350.51,-83.889984,1.0
230,352.54,-89.04999,1.0
231,347.38,-84.79999,1.0
232,351.63,-91.07999,1.0
233,345.35,-109.36999,1.0
234,327.06,-116.64999,1.0
235,319.78,-125.02999,1.0
236,311.4,-118.58999,1.0
237,317.84,-106.469986,1.0
238,329.96,-115.58999,1.0
239,320.84,-104.539986,1.0
240,331.89,-101.859985,1.0
241,334.57,-113.89999,1.0
242,322.53,-117.41999,1.0
243,319.01,-108.50999,1.0
244,327.92,-120.56999,1.0
245,315.86,-119.18999,1.0
246,317.24,-123.75999,1.0
247,312.67,-125.68999,1.0
248,310.74,-116.23999,1.0
249,320.19,-122.17999,1.0
250,314.25,-121.39999,1.0
251,315.03,-155.34999,1.0
252,281.08,-172.23,1.0
253,264.2,-161.95999,1.0
254,274.47,-150.23999,1.0
255,286.19,-142.08998,1.0
256,294.34,-153.07999,1.0
257,283.35,-146.01999,1.0
258,290.41,-161.62999,1.0
259,274.8,-170.76999,1.0
260,265.66,-168.62999,1.0
261,267.8,-210.56999,1.0
262,225.86,-258.33,1.0
263,178.1,-226.58998,1.0
264,209.84,-228.32999,1.0
265,208.1,-237.16998,1.0
266,199.26,-226.08998,1.0
267,210.34,-221.56999,1.0
268,214.86,-225.10999,1.0
269,211.32,-209.52998,1.0
270,226.9,-203.01999,1.0
271,233.41,-203.54999,1.0
272,232.88,-188.57999,1.0
273,247.85,-182.70999,1.0
274,253.72,-162.95999,1.0
275,273.47,-172.94998,1.0
276,263.48,-202.51999,1.0
277,233.91,-202.91998,1.0
278,233.51,-209.99998,1.0
279,226.43,-218.96999,1.0
280,217.46,-209.45999,1.0
281,226.97,-198.19998,1.0
282,238.23,-209.15999,1.0
283,227.27,-209.57999,1.0
284,226.85,-219.31999,1.0
285,217.11,-214.15999,1.0
286,222.27,-208.67998,1.0
287,227.75,-213.01999,1.0
288,223.41,-216.31999,1.0
289,220.11,-216.58998,1.0
290,219.84,-217.24998,1.0
291,219.18,-214.66998,1.0
292,221.76,-200.99998,1.0
293,235.43,-179.10999,1.0
294,257.32,-201.60999,1.0
295,234.82,-202.58998,1.0
296,233.84,-192.81999,1.0
297,243.61,-200.09999,1.0
298,236.33,-196.14998,1.0
299,240.28,-192.64998,1.0
300,243.78,-191.89998,1.0
301,244.53,-200.44998,1.0
302,235.98,-197.53998,1.0
303,238.89,-197.68999,1.0
304,238.74,-198.95999,1.0
305,237.47,-199.99998,1.0
306,236.43,-182.59999,1.0
307,253.83,-182.16998,1.0
308,254.26,-176.22998,1.0
309,260.2,-160.75998,1.0
310,275.67,-154.72998,1.0
311,281.7,-163.33998,1.0
312,273.09,-160.24998,1.0
313,276.18,-163.70999,1.0
314,272.72,-160.16998,1.0
315,276.26,-162.07999,1.0
316,274.35,-146.81999,1.0
317,289.61,-144.66998,1.0
318,291.76,-140.04999,1.0
319,296.38,-142.07999,1.0
320,294.35,-151.08998,1.0
321,285.34,-154.53998,1.0
322,281.89,-150.03998,1.0
323,286.39,-145.83998,1.0
324,290.59,-150.91998,1.0
325,285.51,-180.12999,1.0
326,256.3,-175.49998,1.0
327,260.93,-174.67998,1.0
328,261.75,-176.40999,1.0
329,260.02,-168.46999,1.0
330,267.96,-169.68999,1.0
331,266.74,-190.82999,1.0
332,245.6,-190.22998,1.0
333,246.2,-187.89998,1.0
334,248.53,-189.39998,1.0
335,247.03,-183.62999,1.0
336,252.8,-193.71999,1.0
337,242.71,-188.89998,1.0
338,247.53,-192.20998,1.0
339,244.22,-189.15999,1.0
340,247.27,-183.41998,1.0
341,253.01,-182.10999,1.0
342,254.32,-182.72998,1.0
343,253.7,-175.82999,1.0
344,260.6,-180.93999,1.0
345,255.49,-183.24998,1.0
346,253.18,-191.40999,1.0
347,245.02,-192.74998,1.0
348,243.68,-200.35999,1.0
349,236.07,-199.87999,1.0
350,236.55,-200.27998,1.0
351,236.15,-211.83998,1.0
352,224.59,-217.26999,1.0
353,219.16,-212.59999,1.0
354,223.83,-207.85999,1.0
355,228.57,-213.54999,1.0
356,222.88,-213.06998,1.0
357,223.36,-213.82999,1.0
358,222.6,-211.79999,1.0
359,224.63,-201.15999,1.0
360,235.27,-202.24998,1.0
361,234.18,-199.96999,1.0
362,236.46,-205.15999,1.0
363,231.27,-210.03998,1.0
364,226.39,-216.99998,1.0
365,219.43,-207.13998,1.0
366,229.29,-210.57999,1.0
367,225.85,-210.61998,1.0
368,225.81,-200.27998,1.0
369,236.15,-204.34999,1.0
370,232.08,-201.49998,1.0
371,234.93,-196.06999,1.0
372,240.36,-197.40999,1.0
373,239.02,-200.30998,1.0
374,236.12,-206.64998,1.0
375,229.78,-199.09999,1.0
376,237.33,-192.56999,1.0
377,243.86,-194.59999,1.0
378,241.83,-196.12999,1.0
379,240.3,-194.26999,1.0
380,242.16,-195.31999,1.0
381,241.11,-200.04999,1.0
382,236.38,-199.49998,1.0
383,236.93,-198.82999,1.0
384,237.6,-200.27998,1.0
385,236.15,-199.62999,1.0
386,236.8,-203.29999,1.0
387,233.13,-204.47998,1.0
388,231.95,-202.40999,1.0
389,234.02,-201.08998,1.0
390,235.34,-196.07999,1.0
391,240.35,-197.55998,1.0
392,238.87,-195.47998,1.0
393,240.95,-199.31998,1.0
394,237.11,-199.30998,1.0
395,237.12,-199.14998,1.0
396,237.28,-199.01999,1.0
397,237.41,-199.32999,1.0
398,237.1,-203.07999,1.0
399,233.35,-206.23999,1.0
400,230.19,-213.49998,1.0
401,222.93,-210.62999,1.0
402,225.8,-210.55998,1.0
403,225.87,-212.10999,1.0
404,224.32,-211.47998,1.0
405,224.95,-210.80998,1.0
406,225.62,-213.54999,1.0
407,222.88,-207.93999,1.0
408,228.49,-207.37999,1.0
409,229.05,-207.62999,1.0
410,228.8,-206.71999,1.0
411,229.71,-206.44998,1.0
412,229.98,-204.02998,1.0
413,232.4,-202.88998,1.0
414,233.54,-199.60999,1.0
415,236.82,-185.52998,1.0
416,250.9,-187.14998,1.0
417,249.28,-187.41998,1.0
418,249.01,-191.81999,1.0
419,244.61,-191.21999,1.0
420,245.21,-192.48999,1.0
421,243.94,-189.43999,1.0
422,246.99,-192.12999,1.0
423,244.3,-195.91998,1.0
424,240.51,-193.62999,1.0
425,242.8,-192.83998,1.0
426,243.59,-185.43999,1.0
427,250.99,-187.41998,1.0
428,249.01,-179.36998,1.0
429,257.06,-173.35999,1.0
430,263.07,-177.80998,1.0
431,258.62,-181.01999,1.0
432,255.41,-180.08998,1.0
433,256.34,-175.53998,1.0
434,260.89,-164.51999,1.0
435,271.91,-167.39998,1.0
436,269.03,-170.21999,1.0
437,266.21,-165.63998,1.0
438,270.79,-167.19998,1.0
439,269.23,-151.53998,1.0
440,284.89,-143.31998,1.0
441,293.11,-125.55998,1.0
442,310.87,-144.37999,1.0
443,292.05,-148.96999,1.0
444,287.46,-150.59998,1.0
445,285.83,-158.33998,1.0
446,278.09,-156.95998,1.0
447,279.47,-161.52998,1.0
448,274.9,-162.81998,1.0
449,273.61,-157.44998,1.0
450,278.98,-160.59998,1.0
451,275.83,-159.20998,1.0
452,277.22,-160.37999,1.0
453,276.05,-148.14998,1.0
454,288.28,-147.72998,1.0
455,288.7,-143.73999,1.0
456,292.69,-142.80998,1.0
457,293.62,-141.99998,1.0
458,294.43,-146.83998,1.0
459,289.59,-148.70998,1.0
460,287.72,-151.77998,1.0
461,284.65,-154.82999,1.0
462,281.6,-153.81998,1.0
463,282.61,-155.19998,1.0
464,281.23,-151.20998,1.0
465,285.22,-154.54999,1.0
466,281.88,-157.84999,1.0
467,278.58,-156.84999,1.0
468,279.58,-175.42998,1.0
469,261.0,-171.34999,1.0
470,265.08,-171.95998,1.0
471,264.47,-166.03998,1.0
472,270.39,-170.04999,1.0
473,266.38,-172.34999,1.0
474,264.08,-170.74998,1.0
475,265.68,-174.87999,1.0
476,261.55,-177.91998,1.0
477,258.51,-178.44998,1.0
478,257.98,-225.34999,1.0
479,211.08,-209.74998,1.0
480,226.68,-201.07999,1.0
481,235.35,-203.85999,1.0
482,232.57,-206.03998,1.0
483,230.39,-208.25998,1.0
484,228.17,-225.93999,1.0
485,210.49,-214.81999,1.0
486,221.61,-210.59999,1.0
487,225.83,-211.65999,1.0
488,224.77,-205.02998,1.0
489,231.4,-206.64998,1.0
490,229.78,-207.66998,1.0
491,228.76,-206.36998,1.0
492,230.06,-208.30998,1.0
493,228.12,-207.14998,1.0
494,229.28,-209.24998,1.0
495,227.18,-206.12999,1.0
496,230.3,-201.40999,1.0
497,235.02,-196.58998,1.0
498,239.84,-196.57999,1.0
499,239.85,-192.81999,1.0
500,243.61,-198.25998,1.0
501,238.17,-197.94998,1.0
