,sharp_grurl_10_3
0,0.08280858
1,0.108352795
2,0.1287541
3,0.1464472
4,0.16251546
5,0.1775428
6,0.19185373
7,0.2056068
8,0.21885294
9,0.23159811
10,0.24388728
11,0.25592023
12,0.2682
13,0.2816724
14,0.29770926
15,0.31767598
16,0.34189904
17,0.36871934
18,0.39563304
19,0.4226477
20,0.45292035
21,0.48800525
22,0.523208
23,0.55200076
24,0.5778177
25,0.6025722
26,0.61976796
27,0.6259221
28,0.6290766
29,0.64187396
30,0.6687556
31,0.69463986
32,0.7067652
33,0.7234146
34,0.74679387
35,0.7575314
36,0.7637075
37,0.78096545
38,0.79832506
39,0.80922115
40,0.8318662
41,0.8516008
42,0.8637066
43,0.8797369
44,0.8883455
45,0.89133644
46,0.89961
47,0.90629333
48,0.91636884
49,0.9331341
50,0.9513609
51,0.97488815
52,0.9914146
53,0.99088717
54,1.0085927
55,1.0315126
56,1.0451034
57,1.0560949
58,1.0732448
59,1.1029147
60,1.1291813
61,1.1470056
62,1.1761162
63,1.2096653
64,1.2285297
65,1.2425382
66,1.2633765
67,1.2795138
68,1.298099
69,1.3213297
70,1.3408043
71,1.3591176
72,1.3736657
73,1.3886964
74,1.4058195
75,1.4194535
76,1.4321691
77,1.4420341
78,1.4491583
79,1.4545698
80,1.46019
81,1.4656736
82,1.4699763
83,1.4747758
84,1.4788215
85,1.482743
86,1.4865543
87,1.491957
88,1.4984578
89,1.5022804
90,1.5051684
91,1.5079252
92,1.510257
93,1.5129523
94,1.5158867
95,1.5184053
96,1.5207828
97,1.5231135
98,1.5249335
99,1.5263058
100,1.5278857
101,1.5293585
102,1.5307752
103,1.5324987
104,1.5341556
105,1.5359333
106,1.538263
107,1.5386094
108,1.5387778
109,1.5376168
110,1.536607
111,1.5410196
112,1.5468342
113,1.5223039
114,1.5452327
115,1.5424994
116,1.5381898
117,1.5436336
118,1.546627
119,1.5497785
120,1.5355293
121,1.5500432
122,1.5498729
123,1.5457006
124,1.5356704
125,1.5501221
126,1.552813
127,1.5429816
128,1.552764
129,1.5551858
130,1.5564034
131,1.5552899
132,1.5559702
133,1.5571557
134,1.5587195
135,1.5600618
136,1.5610476
137,1.5623044
138,1.5665606
139,1.5558383
140,1.5728619
141,1.5650946
142,1.563412
143,1.5599387
144,1.5630355
145,1.5654433
146,1.5732325
147,1.5518554
148,1.5530715
149,1.5783514
150,1.5678393
151,1.5665151
152,1.5662743
153,1.5669631
154,1.5685745
155,1.573402
156,1.5678582
157,1.5643002
158,1.5784379
159,1.5683558
160,1.558847
161,1.5664102
162,1.568055
163,1.5692981
164,1.5723205
165,1.5685108
166,1.5742946
167,1.5730762
168,1.5789245
169,1.5691904
170,1.577158
171,1.5749971
172,1.5827212
