,sharp_rrl_15_3
0,0.08097769
1,0.1933026
2,0.27044842
3,0.33719867
4,0.4029879
5,0.46862066
6,0.52934486
7,0.58047813
8,0.6216432
9,0.65659386
10,0.69127315
11,0.73177224
12,0.78204376
13,0.8411584
14,0.9012585
15,0.95134026
16,0.9899052
17,1.0290813
18,1.0741229
19,1.1128358
20,1.1352936
21,1.1509113
22,1.1678003
23,1.1853793
24,1.2058299
25,1.2276571
26,1.2494856
27,1.2741781
28,1.2995048
29,1.32377
30,1.3495353
31,1.3764985
32,1.3965029
33,1.4104404
34,1.4301426
35,1.4557508
36,1.486023
37,1.5187794
38,1.5483056
39,1.570156
40,1.5852747
41,1.6016115
42,1.6277822
43,1.6614143
44,1.6906103
45,1.7103711
46,1.7345669
47,1.7567784
48,1.7616336
49,1.783244
50,1.795562
51,1.8115424
52,1.8332149
53,1.8514663
54,1.8764647
55,1.8907119
56,1.9065924
57,1.915782
58,1.9291146
59,1.943071
60,1.966384
61,1.968216
62,1.9502577
63,1.9916104
64,1.9086999
65,1.9698818
66,1.9336965
67,2.0263705
68,1.9542791
69,2.0523608
70,2.011883
71,2.0518534
72,2.0653949
73,2.0396717
74,2.0779102
75,2.0850964
76,2.077402
77,2.099626
78,2.1029036
79,2.1108322
80,2.1099527
81,2.1340032
82,2.1223512
83,2.1391475
84,2.145499
85,2.1464844
86,2.1544058
87,2.1691763
88,2.167596
89,2.1814227
90,2.1908987
91,2.1942017
92,2.204152
93,2.2088857
94,2.2162054
95,2.223794
96,2.2318258
97,2.245877
98,2.2454615
99,2.2270005
100,2.1795983
101,2.2474356
102,2.1481247
103,2.178907
104,2.1898263
105,2.1941817
106,2.2066863
107,2.2749605
108,2.2104125
109,2.2581494
110,2.3086798
111,2.2928522
112,2.2755892
113,2.3147752
114,2.3296568
115,2.3182142
116,2.3364973
117,2.340647
118,2.3623264
119,2.3251216
120,2.380731
121,2.3710048
122,2.3842475
123,2.4219146
124,2.386594
125,2.424954
126,2.4018962
127,2.4403172
128,2.432775
129,2.4528797
130,2.4620109
131,2.4397979
132,2.4707997
133,2.461619
134,2.492359
135,2.4753213
136,2.4780836
137,2.499421
138,2.5012164
139,2.5061255
140,2.5215044
141,2.5211778
142,2.5333648
143,2.5387821
144,2.5480642
145,2.5548842
146,2.5578294
147,2.566354
148,2.5768301
149,2.577727
150,2.5750473
151,2.5709946
152,2.5763257
153,2.5917454
154,2.5966506
155,2.5924616
156,2.5981019
157,2.6064513
158,2.6027052
159,2.6106267
160,2.621112
161,2.6208365
162,2.6182377
163,2.6353698
164,2.6440868
165,2.6499264
166,2.6530716
167,2.6522171
168,2.654697
169,2.653546
170,2.6541512
171,2.6484783
172,2.6489391
173,2.6490822
174,2.6688774
175,2.678601
176,2.6749754
177,2.6777098
178,2.6837244
179,2.6830366
180,2.683669
181,2.688862
182,2.6884232
183,2.6896524
184,2.6927953
185,2.6920567
186,2.69395
187,2.6954336
188,2.6955116
189,2.697416
190,2.6974268
191,2.6989632
192,2.6997268
193,2.7010298
194,2.7029853
195,2.7070653
196,2.7111642
197,2.7118266
198,2.712299
199,2.7119987
200,2.712723
201,2.7130282
202,2.7136924
203,2.7141669
204,2.7146585
205,2.7150214
206,2.715544
207,2.715698
208,2.7162135
209,2.7165914
210,2.71692
211,2.7172198
212,2.7176425
213,2.7179055
214,2.7182093
215,2.7185464
216,2.7188735
217,2.7192142
218,2.7195544
219,2.7199004
220,2.720177
221,2.7204697
222,2.7207258
223,2.7209675
224,2.7212055
225,2.7214582
226,2.7217195
227,2.7219713
228,2.7222655
229,2.7225802
230,2.7229183
231,2.7233245
232,2.7238455
233,2.7245805
234,2.7255588
235,2.726564
236,2.727387
237,2.72809
238,2.7287107
239,2.729191
240,2.7297688
241,2.7305005
242,2.7312934
243,2.7322035
244,2.733435
245,2.7356591
246,2.7421432
247,2.742784
248,2.7237334
249,2.7376492
250,2.7541325
251,2.7442691
252,2.6655412
253,2.5951617
254,2.7515411
255,2.4924
256,2.7532625
257,2.4150083
258,2.6270666
259,2.5374057
260,2.5909042
261,2.569939
262,2.7084408
263,2.5592217
264,2.5759523
265,2.6435277
266,2.6301374
267,2.5695539
268,2.657425
269,2.6066256
270,2.711306
271,2.7595632
272,2.7220588
273,2.6679027
274,2.721524
275,2.74446
276,2.7495575
277,2.7738073
278,2.7818735
279,2.773183
280,2.7903428
281,2.7874947
282,2.7936208
